省份,运营商,192 号段
上海,广电,1920130
上海,广电,1920131
上海,广电,1920132
上海,广电,1920133
上海,广电,1920134
上海,广电,1920135
上海,广电,1920136
上海,广电,1920137
上海,广电,1920138
上海,广电,1920139
上海,广电,1920140
上海,广电,1920141
上海,广电,1920142
上海,广电,1920143
上海,广电,1920144
上海,广电,1920145
上海,广电,1920146
上海,广电,1920147
上海,广电,1920148
上海,广电,1920149
上海,广电,1920210
上海,广电,1920211
上海,广电,1920212
上海,广电,1920213
上海,广电,1920214
上海,广电,1920215
上海,广电,1920216
上海,广电,1920217
上海,广电,1920218
上海,广电,1920219
上海,广电,1921130
上海,广电,1921131
上海,广电,1921132
上海,广电,1921133
上海,广电,1921134
上海,广电,1921135
上海,广电,1921136
上海,广电,1921137
上海,广电,1921138
上海,广电,1921139
上海,广电,1921210
上海,广电,1921211
上海,广电,1921212
上海,广电,1921213
上海,广电,1921214
上海,广电,1921215
上海,广电,1921216
上海,广电,1921217
上海,广电,1921218
上海,广电,1921219
上海,广电,1922210
上海,广电,1922211
上海,广电,1922212
上海,广电,1922213
上海,广电,1922214
上海,广电,1922215
上海,广电,1922216
上海,广电,1922217
上海,广电,1922218
上海,广电,1922219
上海,广电,1922290
上海,广电,1922291
上海,广电,1922292
上海,广电,1922293
上海,广电,1922294
上海,广电,1922295
上海,广电,1922296
上海,广电,1922297
上海,广电,1922298
上海,广电,1922299
上海,广电,1922306
上海,广电,1922321
上海,广电,1922421
上海,广电,1922422
上海,广电,1922810
上海,广电,1922811
上海,广电,1922812
上海,广电,1922813
上海,广电,1922814
上海,广电,1922815
上海,广电,1922816
上海,广电,1922817
上海,广电,1922818
上海,广电,1922819
上海,广电,1922820
上海,广电,1922821
上海,广电,1922822
上海,广电,1922823
上海,广电,1922824
上海,广电,1922825
上海,广电,1922826
上海,广电,1922827
上海,广电,1922828
上海,广电,1922829
上海,广电,1922980
上海,广电,1922981
上海,广电,1922982
上海,广电,1922983
上海,广电,1922984
上海,广电,1922985
上海,广电,1922986
上海,广电,1922987
上海,广电,1922988
上海,广电,1922989
上海,广电,1923000
上海,广电,1923001
上海,广电,1923002
上海,广电,1923003
上海,广电,1923004
上海,广电,1923005
上海,广电,1923006
上海,广电,1923007
上海,广电,1923008
上海,广电,1923009
上海,广电,1923070
上海,广电,1923071
上海,广电,1923072
上海,广电,1923073
上海,广电,1923074
上海,广电,1923075
上海,广电,1923076
上海,广电,1923077
上海,广电,1923078
上海,广电,1923079
上海,广电,1923210
上海,广电,1923211
上海,广电,1923212
上海,广电,1923213
上海,广电,1923214
上海,广电,1923215
上海,广电,1923216
上海,广电,1923217
上海,广电,1923218
上海,广电,1923219
上海,广电,1924040
上海,广电,1924041
上海,广电,1924042
上海,广电,1924043
上海,广电,1924044
上海,广电,1924045
上海,广电,1924046
上海,广电,1924047
上海,广电,1924048
上海,广电,1924049
上海,广电,1924120
