省份,运营商,133 号段,149 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
上海,电信,1330018,1490500,1530040,1621140,1730160,1770160,1800160,1810005,1890160,1900140,1910160,1930110,1990160
上海,电信,1330019,1490501,1530041,1621141,1730161,1770161,1800161,1810006,1890161,1900141,1910161,1930111,1990161
上海,电信,1330050,1490502,1530042,1621142,1730162,1770162,1800162,1810007,1890162,1900142,1910162,1930112,1990162
上海,电信,1330051,1490503,1530043,1621143,1730163,1770163,1800163,1810008,1890163,1900143,1910163,1930113,1990163
上海,电信,1330052,1490504,1530044,1621144,1730164,1770164,1800164,1810009,1890164,1900144,1910164,1930114,1990164
上海,电信,1330053,1490505,1530045,1621145,1730165,1770165,1800165,1810160,1890165,1900145,1910165,1930115,1990165
上海,电信,1330054,1490506,1530046,1621146,1730166,1770166,1800166,1810161,1890166,1900146,1910166,1930116,1990166
上海,电信,1330063,1490507,1530047,1621147,1730167,1770167,1800167,1810162,1890167,1900147,1910167,1930117,1990167
上海,电信,1330064,1490508,1530048,1621148,1730168,1770168,1800168,1810163,1890168,1900148,1910168,1930118,1990168
上海,电信,1330066,1490509,1530049,1621149,1730169,1770169,1800169,1810164,1890169,1900149,1910169,1930119,1990169
上海,电信,1330080,1490510,1530050,1621150,1730170,1770170,1800170,1810165,1890170,1900190,1910170,1930120,1990170
上海,电信,1330081,1490511,1530051,1621151,1730171,1770171,1800171,1810166,1890171,1900191,1910171,1930121,1990171
上海,电信,1330082,1490512,1530052,1621152,1730172,1770172,1800172,1810167,1890172,1900192,1910172,1930122,1990172
上海,电信,1330083,1490513,1530053,1621153,1730173,1770173,1800173,1810168,1890173,1900193,1910173,1930123,1990173
上海,电信,1330084,1490514,1530054,1621154,1730174,1770174,1800174,1810169,1890174,1900194,1910174,1930124,1990174
上海,电信,1330085,1490515,1530055,1621155,1730175,1770175,1800175,1810170,1890175,1900195,1910175,1930125,1990175
上海,电信,1330086,1490516,1530056,1621156,1730176,1770176,1800176,1810171,1890176,1900196,1910176,1930126,1990176
上海,电信,1330087,1490517,1530057,1621157,1730177,1770177,1800177,1810172,1890177,1900197,1910177,1930127,1990177
上海,电信,1330088,1490518,1530058,1621158,1730178,1770178,1800178,1810173,1890178,1900198,1910178,1930128,1990178
上海,电信,1330089,1490519,1530059,1621159,1730179,1770179,1800179,1810174,1890179,1900199,1910179,1930129,1990179
上海,电信,1330098,1490520,1530060,1621160,1730180,1770180,1800180,1810175,1890180,1900210,1910180,1930130,1990180
上海,电信,1330160,1490521,1530061,1621161,1730181,1770181,1800181,1810176,1890181,1900211,1910181,1930131,1990181
上海,电信,1330161,1490522,1530062,1621162,1730182,1770182,1800182,1810177,1890182,1900212,1910182,1930132,1990182
上海,电信,1330162,1490523,1530063,1621163,1730183,1770183,1800183,1810178,1890183,1900213,1910183,1930133,1990183
上海,电信,1330163,1490524,1530064,1621164,1730184,1770184,1800184,1810179,1890184,1900214,1910184,1930134,1990184
上海,电信,1330164,1490525,1530065,1621165,1730185,1770185,1800185,1810180,1890185,1900215,1910185,1930135,1990185
上海,电信,1330165,1490526,1530066,1621166,1730186,1770186,1800186,1810181,1890186,1900216,1910186,1930136,1990186
上海,电信,1330166,1490527,1530067,1621167,1730187,1770187,1800187,1810182,1890187,1900217,1910187,1930137,1990187
上海,电信,1330167,1490528,1530068,1621168,1730188,1770188,1800188,1810183,1890188,1900218,1910188,1930138,1990188
上海,电信,1330168,1490529,1530069,1621169,1730189,1770189,1800189,1810184,1890189,1900219,1910189,1930139,1990189
上海,电信,1330169,1490530,1530070,1621210,1730210,1770210,1800190,1810185,1890190,,1910190,1930140,1990190
上海,电信,1330170,1490531,1530071,1621211,1730211,1770211,1800191,1810186,1890191,,1910191,1930141,1990191
上海,电信,1330171,1490532,1530072,1621212,1730212,1770212,1800192,1810187,1890192,,1910192,1930142,1990192
上海,电信,1330172,1490533,1530073,1621213,1730213,1770213,1800193,1810188,1890193,,1910193,1930143,1990193
上海,电信,1330173,1490534,1530074,1621214,1730214,1770214,1800194,1810189,1890194,,1910194,1930144,1990194
上海,电信,1330174,1490535,1530075,1621215,1730215,1770215,1800195,1810190,1890195,,1910195,1930145,1990195
上海,电信,1330175,1490536,1530076,1621216,1730216,1770216,1800196,1810191,1890196,,1910196,1930146,1990196
上海,电信,1330176,1490537,1530077,1621217,1730217,1770217,1800197,1810192,1890197,,1910197,1930147,1990197
上海,电信,1330177,1490538,1530078,1621218,1730218,1770218,1800198,1810193,1890198,,1910198,1930148,1990198
上海,电信,1330178,1490539,1530079,1621219,1730219,1770219,1800199,1810194,1890199,,1910199,1930149,1990199
上海,电信,1330179,1490540,1530080,1622040,1731630,1771700,1801600,1810195,1891600,,1910210,1930160,1991650
上海,电信,1330180,1490541,1530081,1622041,1731631,1771701,1801601,1810196,1891601,,1910211,1930161,1991651
上海,电信,1330181,1490542,1530082,1622042,1731632,1771702,1801602,1810197,1891602,,1910212,1930162,1991652
上海,电信,1330182,1490543,1530083,1622043,1731633,1771703,1801603,1810198,1891603,,1910213,1930163,1991653
上海,电信,1330183,1490544,1530084,1622044,1731634,1771704,1801604,1810199,1891604,,1910214,1930164,1991654
上海,电信,1330184,1490545,1530085,1622045,1731635,1771705,1801605,1811600,1891605,,1910215,1930165,1991655
上海,电信,1330185,1490546,1530086,1622046,1731636,1771706,1801606,1811601,1891606,,1910216,1930166,1991656
上海,电信,1330186,1490547,1530087,1622047,1731637,1771707,1801607,1811602,1891607,,1910217,1930167,1991657
上海,电信,1330187,1490548,1530088,1622048,1731638,1771708,1801608,1811603,1891608,,1910218,1930168,1991658
上海,电信,1330188,1490549,1530089,1622049,1731639,1771709,1801609,1811604,1891609,,1910219,1930169,1991659
上海,电信,1330189,1490550,1530090,1622050,1731640,1771720,1801620,1811605,1891610,,1911630,1930170,1991660
上海,电信,1330190,1490551,1530091,1622051,1731641,1771721,1801621,1811606,1891611,,1911631,1930171,1991661
上海,电信,1330191,1490552,1530092,1622052,1731642,1771722,1801622,1811607,1891612,,1911632,1930172,1991662
上海,电信,1330192,1490553,1530093,1622053,1731643,1771723,1801623,1811608,1891613,,1911633,1930173,1991663
上海,电信,1330193,1490554,1530094,1622054,1731644,1771724,1801624,1811609,1891614,,1911634,1930174,1991664
上海,电信,1330194,1490555,1530095,1622055,1731645,1771725,1801625,1811610,1891615,,1911635,1930175,1991665
上海,电信,1330195,1490556,1530096,1622056,1731646,1771726,1801626,1811611,1891616,,1911636,1930176,1991666
上海,电信,1330196,1490557,1530097,1622057,1731647,1771727,1801627,1811612,1891617,,1911637,1930177,1991667
上海,电信,1330197,1490558,1530098,1622058,1731648,1771728,1801628,1811613,1891618,,1911638,1930178,1991668
上海,电信,1330198,1490559,1530099,1622059,1731649,1771729,1801629,1811614,1891619,,1911639,1930179,1991669
上海,电信,1330199,1490560,1530160,1622060,1731650,1771730,1801630,1811615,1891620,,1911640,1930180,1991670
上海,电信,1331000,1490561,1530161,1622061,1731651,1771731,1801631,1811616,1891621,,1911641,1930181,1991671
上海,电信,1331001,1490562,1530162,1622062,1731652,1771732,1801632,1811617,1891622,,1911642,1930182,1991672
上海,电信,1331002,1490563,1530163,1622063,1731653,1771733,1801633,1811618,1891623,,1911643,1930183,1991673
上海,电信,1331003,1490564,1530164,1622064,1731654,1771734,1801634,1811619,1891624,,1911644,1930184,1991674
上海,电信,1331004,1490565,1530165,1622065,1731655,1771735,1801635,1811620,1891625,,1911645,1930185,1991675
上海,电信,1331005,1490566,1530166,1622066,1731656,1771736,1801636,1811621,1891626,,1911646,1930186,1991676
上海,电信,1331006,1490567,1530167,1622067,1731657,1771737,1801637,1811622,1891627,,1911647,1930187,1991677
