省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
上海,移动,1340200,1350160,1360160,1370160,1380021,1390013,1470210,1480100,1500000,1510210,1520170,1570180,1580030,1590040,1650021,1700005,1720118,1780000,1830170,1840210,1870170,1880020,1950210,1971021,1980210
上海,移动,1340201,1350161,1360161,1370161,1380160,1390014,1470211,1480101,1500001,1510211,1520171,1570181,1580031,1590041,1650146,1700006,1720119,1780001,1830171,1840211,1870171,1880021,1950211,1972021,1980211
上海,移动,1340202,1350162,1360162,1370162,1380161,1390016,1470212,1480102,1500002,1510212,1520172,1570182,1580032,1590042,1650210,1700007,1720480,1780002,1830172,1840212,1870172,1880022,1950212,1972336,1980212
上海,移动,1340203,1350163,1360163,1370163,1380162,1390017,1470213,1480103,1500003,1510213,1520173,1570183,1580033,1590043,1650212,1700008,1720481,1780003,1830173,1840213,1870173,1880023,1950213,1972337,1980213
上海,移动,1340204,1350164,1360164,1370164,1380163,1390018,1470214,1480104,1500004,1510214,1520174,1570184,1580034,1590044,1650213,1700009,1720484,1780004,1830174,1840214,1870174,1880024,1950214,1972338,1980214
上海,移动,1340205,1350165,1360165,1370165,1380164,1390019,1470215,1480105,1500005,1510215,1520175,1570185,1580035,1590045,1650214,1700160,1720485,1780005,1830175,1840215,1870175,1880025,1950215,1972339,1980215
上海,移动,1340206,1350166,1360166,1370166,1380165,1390160,1470216,1480106,1500006,1510216,1520176,1570186,1580036,1590046,1650215,1700161,1720487,1780006,1830176,1840216,1870176,1880026,1950216,1972720,1980216
上海,移动,1340207,1350167,1360167,1370167,1380166,1390161,1470217,1480107,1500007,1510217,1520177,1570187,1580037,1590047,1650216,1700162,1720489,1780007,1830177,1840217,1870177,1880027,1950217,1972721,1980217
上海,移动,1340208,1350168,1360168,1370168,1380167,1390162,1470218,1480108,1500008,1510218,1520178,1570188,1580038,1590048,1650217,1700163,1720490,1780008,1830178,1840218,1870178,1880028,1950218,1972840,1980218
上海,移动,1340209,1350169,1360169,1370169,1380168,1390163,1470219,1480109,1500009,1510219,1520179,1570189,1580039,1590049,1650218,1700164,1720491,1780009,1830179,1840219,1870179,1880029,1950219,1972841,1980219
上海,移动,1340210,1350170,1360170,1370170,1380169,1390164,1472100,1480110,1500010,1512100,1520180,1570210,1580040,1590050,1650219,1700165,1720492,1780210,1830180,1840800,1870180,1880030,1951200,1972842,1980400
