省份,运营商,192 号段
云南,广电,1920690
云南,广电,1920691
云南,广电,1920692
云南,广电,1920693
云南,广电,1920694
云南,广电,1920695
云南,广电,1920696
云南,广电,1920697
云南,广电,1920698
云南,广电,1920699
云南,广电,1920870
云南,广电,1920871
云南,广电,1920872
云南,广电,1920873
云南,广电,1920874
云南,广电,1920875
云南,广电,1920876
云南,广电,1920877
云南,广电,1920878
云南,广电,1920879
云南,广电,1920880
云南,广电,1920881
云南,广电,1920882
云南,广电,1920883
云南,广电,1920884
云南,广电,1920885
云南,广电,1920886
云南,广电,1920887
云南,广电,1920888
云南,广电,1920889
云南,广电,1921870
云南,广电,1921871
云南,广电,1921872
云南,广电,1921873
云南,广电,1921874
云南,广电,1921875
云南,广电,1921876
云南,广电,1921877
云南,广电,1921878
云南,广电,1921879
云南,广电,1921880
云南,广电,1921881
云南,广电,1921882
云南,广电,1921883
云南,广电,1921884
云南,广电,1921885
云南,广电,1921886
云南,广电,1921887
云南,广电,1921888
云南,广电,1921889
云南,广电,1922386
云南,广电,1922387
云南,广电,1922408
云南,广电,1922487
云南,广电,1922870
云南,广电,1922871
云南,广电,1922872
云南,广电,1922873
云南,广电,1922874
云南,广电,1922875
云南,广电,1922876
云南,广电,1922877
云南,广电,1922878
云南,广电,1922879
云南,广电,1923690
云南,广电,1923691
云南,广电,1923692
云南,广电,1923693
云南,广电,1923694
云南,广电,1923695
云南,广电,1923696
云南,广电,1923697
云南,广电,1923698
云南,广电,1923699
云南,广电,1923870
云南,广电,1923871
云南,广电,1923872
云南,广电,1923873
云南,广电,1923874
云南,广电,1923875
云南,广电,1923876
云南,广电,1923877
云南,广电,1923878
云南,广电,1923879
云南,广电,1923880
云南,广电,1923881
云南,广电,1923882
云南,广电,1923883
云南,广电,1923884
云南,广电,1923885
云南,广电,1923886
云南,广电,1923887
云南,广电,1923888
云南,广电,1923889
云南,广电,1924670
云南,广电,1924671
云南,广电,1924672
云南,广电,1924673
云南,广电,1924674
云南,广电,1924675
云南,广电,1924676
云南,广电,1924677
云南,广电,1924678
云南,广电,1924679
云南,广电,1924690
云南,广电,1924691
云南,广电,1924692
云南,广电,1924693
云南,广电,1924694
云南,广电,1924695
云南,广电,1924696
云南,广电,1924697
云南,广电,1924698
云南,广电,1924699
云南,广电,1924870
云南,广电,1924871
云南,广电,1924872
云南,广电,1924873
云南,广电,1924874
云南,广电,1924875
云南,广电,1924876
云南,广电,1924877
云南,广电,1924878
云南,广电,1924879
云南,广电,1925690
云南,广电,1925691
云南,广电,1925692
云南,广电,1925693
云南,广电,1925694
云南,广电,1925695
云南,广电,1925696
云南,广电,1925697
云南,广电,1925698
云南,广电,1925699
云南,广电,1925870
云南,广电,1925871
云南,广电,1925872
云南,广电,1925873
云南,广电,1925874
云南,广电,1925875
云南,广电,1925876
云南,广电,1925877
云南,广电,1925878
云南,广电,1925879
云南,广电,1926690
云南,广电,1926691
云南,广电,1926692
云南,广电,1926693
云南,广电,1926694
云南,广电,1926695
云南,广电,1926696
云南,广电,1926697
云南,广电,1926698
云南,广电,1926699
云南,广电,1926880
云南,广电,1926881
云南,广电,1926882
云南,广电,1926883
云南,广电,1926884
云南,广电,1926885
云南,广电,1926886
云南,广电,1926887
云南,广电,1926888
云南,广电,1926889
云南,广电,1927870
云南,广电,1927871
云南,广电,1927872
云南,广电,1927873
云南,广电,1927874
云南,广电,1927875
云南,广电,1927877
云南,广电,1927878
云南,广电,1927879
云南,广电,1927880
云南,广电,1927881
云南,广电,1927882
云南,广电,1927883
云南,广电,1927884
云南,广电,1927885
云南,广电,1927886
云南,广电,1927887
云南,广电,1927888
云南,广电,1927889
云南,广电,1928690
云南,广电,1928691
云南,广电,1928692
云南,广电,1928693
云南,广电,1928694
云南,广电,1928695
云南,广电,1928696
云南,广电,1928697
云南,广电,1928698
云南,广电,1928699
云南,广电,1928870
云南,广电,1928871
云南,广电,1928872
云南,广电,1928873
云南,广电,1928874
云南,广电,1928875
云南,广电,1928877
云南,广电,1928878
云南,广电,1928879
云南,广电,1928880
云南,广电,1928881
云南,广电,1928882
云南,广电,1928883
云南,广电,1928884
云南,广电,1928885
云南,广电,1928886
云南,广电,1928887
云南,广电,1928888
云南,广电,1928889
云南,广电,1929690
云南,广电,1929691
云南,广电,1929692
云南,广电,1929693
云南,广电,1929694
云南,广电,1929695
云南,广电,1929696
云南,广电,1929697
云南,广电,1929698
云南,广电,1929699
云南,广电,1929870
云南,广电,1929871
云南,广电,1929872
云南,广电,1929873
云南,广电,1929874
云南,广电,1929875
云南,广电,1929876
云南,广电,1929877
云南,广电,1929878
云南,广电,1929879
云南,广电,1929880
云南,广电,1929881
云南,广电,1929882
云南,广电,1929883
云南,广电,1929884
云南,广电,1929885
云南,广电,1929886
云南,广电,1929887
云南,广电,1929888
云南,广电,1929889
