省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
云南,电信,1330870,1530870,1621870,1730009,1770040,1800870,1810088,1890870,1900690,1910690,1930690,1990870
云南,电信,1330871,1530871,1621871,1730040,1770041,1800871,1810089,1890871,1900691,1910691,1930691,1990871
云南,电信,1330872,1530872,1621872,1730041,1770042,1800872,1810870,1890872,1900692,1910692,1930692,1990872
云南,电信,1330873,1530873,1621873,1730042,1770043,1800873,1810871,1890873,1900693,1910693,1930693,1990873
云南,电信,1330874,1530874,1621874,1730043,1770044,1800874,1810872,1890874,1900694,1910694,1930694,1990874
云南,电信,1330875,1530875,1621875,1730044,1770045,1800875,1810873,1890875,1900695,1910695,1930695,1990875
云南,电信,1330876,1530876,1621876,1730045,1770046,1800876,1810874,1890876,1900696,1910696,1930696,1990876
云南,电信,1330877,1530877,1621877,1730046,1770047,1800877,1810875,1890877,1900697,1910697,1930697,1990877
云南,电信,1330878,1530878,1621878,1730047,1770048,1800878,1810876,1890878,1900698,1910698,1930698,1990878
云南,电信,1330879,1530879,1622870,1730048,1770049,1800879,1810877,1890879,1900699,1910699,1930699,1990879
云南,电信,1330880,1530880,1622871,1730049,1770870,1800880,1810878,1890880,1900870,1910870,1930870,1990880
云南,电信,1330881,1530881,1622872,1730870,1770871,1800881,1810879,1890881,1900871,1910871,1930871,1990881
云南,电信,1330882,1530882,1622873,1730871,1770872,1800882,1810880,1890882,1900872,1910872,1930872,1990882
云南,电信,1330883,1530883,1622874,1730872,1770873,1800883,1810881,1890883,1900873,1910873,1930873,1990883
云南,电信,1330884,1530884,1622875,1730873,1770874,1800884,1810882,1890884,1900874,1910874,1930874,1990884
云南,电信,1330885,1530885,1622876,1730874,1770875,1800885,1810883,1890885,1900875,1910875,1930875,1990885
云南,电信,1330886,1530886,1628710,1730875,1770876,1800886,1810884,1890886,1900876,1910876,1930876,1990886
云南,电信,1330887,1530887,1628712,1730876,1770877,1800887,1810885,1890887,1900877,1910877,1930877,1990887
云南,电信,1330888,1530888,1628713,1730877,1770878,1800888,1810886,1890888,1900878,1910878,1930878,1990888
云南,电信,1330889,1530889,1628714,1730878,1770879,1800889,1810887,1890889,1900879,1910879,1930879,1990889
云南,电信,1331250,1533131,1628715,1730879,1770880,1806480,1810888,1898700,1900880,1910880,1930880,1991270
云南,电信,1331251,1533140,1628716,1730880,1770881,1806481,1810889,1898701,1900881,1910881,1930881,1991271
云南,电信,1331252,1533141,1628717,1730881,1770882,1806482,1816460,1898702,1900882,1910882,1930882,1991272
云南,电信,1331253,1533142,1628718,1730882,1770883,1806483,1816461,1898703,1900883,1910883,1930883,1991273
