省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
云南,移动,1340490,1350870,1360870,1370060,1380087,1390087,1470870,1482567,1500870,1510860,1520870,1570690,1580860,1590690,1650870,1700870,1720690,1780690,1820670,1830690,1840011,1870870,1880690,1950690,1970691,1980690
云南,移动,1340491,1350871,1360871,1370061,1380870,1390088,1470871,1485779,1500871,1510861,1520871,1570691,1580861,1590691,1650871,1700871,1720691,1780691,1820671,1830691,1840012,1870871,1880691,1950691,1970692,1980691
云南,移动,1340492,1350872,1360872,1370062,1380871,1390870,1470872,1485782,1500872,1510862,1520872,1570692,1580862,1590692,1650872,1700872,1720692,1780692,1820672,1830692,1840680,1870872,1880692,1950692,1970870,1980692
云南,移动,1340493,1350873,1360873,1370063,1380872,1390871,1470873,1485783,1500873,1510863,1520873,1570693,1580863,1590693,1651870,1700873,1720693,1780693,1820673,1830693,1840681,1870873,1880693,1950693,1970871,1980693
云南,移动,1340494,1350874,1360874,1370064,1380873,1390872,1470874,1487641,1500874,1510864,1520874,1570694,1580864,1590694,1651871,1700874,1720694,1780694,1820674,1830694,1840682,1870874,1880694,1950694,1970872,1980694
云南,移动,1340495,1350875,1360875,1370065,1380874,1390873,1470875,1487642,1500875,1510865,1520875,1570695,1580865,1590695,1651872,1700875,1720695,1780695,1820675,1830695,1840683,1870875,1880695,1950695,1970873,1980695
云南,移动,1340496,1350876,1360876,1370066,1380875,1390874,1470876,1487643,1500876,1510866,1520876,1570696,1580866,1590696,1651879,1700876,1720696,1780696,1820676,1830696,1840684,1870876,1880696,1950696,1970874,1980696
云南,移动,1340497,1350877,1360877,1370067,1380876,1390875,1470877,1487644,1500877,1510867,1520877,1570697,1580867,1590697,1652040,1700877,1720697,1780697,1820677,1830697,1840685,1870877,1880697,1950697,1970875,1980697
云南,移动,1340498,1350878,1360878,1370068,1380877,1390876,1470878,1487645,1500878,1510868,1520878,1570698,1580868,1590698,1652656,1700878,1720698,1780698,1820678,1830698,1840686,1870878,1880698,1950698,1970876,1980698
云南,移动,1340499,1350879,1360879,1370069,1380878,1390877,1470879,1487646,1500879,1510869,1520879,1570699,1580869,1590699,1653920,1700879,1720699,1780699,1820679,1830699,1840687,1870879,1880699,1950699,1970877,1980699
云南,移动,1340870,1350880,1360880,1370840,1380879,1390878,1470880,1487647,1500880,1510870,1520880,1570870,1580870,1590870,1658478,1701900,1721342,1780870,1820680,1830870,1840688,1870880,1880870,1950870,1970878,1980870
云南,移动,1340871,1350881,1360881,1370841,1388700,1390879,1470881,1487648,1500881,1510871,1520881,1570871,1580871,1590871,1658529,1701901,1721343,1780871,1820681,1830871,1840689,1870881,1880871,1950871,1970879,1980871
云南,移动,1340872,1350882,1360882,1370842,1388701,1390880,1470882,1487649,1500882,1510872,1520882,1570872,1580872,1590872,1658572,1701902,1721344,1780872,1820682,1830872,1840690,1870882,1880872,1950872,1971069,1980872
云南,移动,1340873,1350883,1360883,1370843,1388702,1390881,1470883,1487795,1500883,1510873,1520883,1570873,1580873,1590873,1658582,1701903,1721345,1780873,1820683,1830873,1840691,1870883,1880873,1950873,1971087,1980873
