省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
云南,联通,1300860,1310850,1320870,1452880,1550870,1560870,1660690,1670094,1711920,1750870,1760690,1850870,1860870,1960690
云南,联通,1300861,1310851,1320871,1452881,1550871,1560871,1660691,1670271,1711921,1750871,1760691,1850871,1860871,1960691
云南,联通,1300862,1310852,1320872,1452882,1550872,1560872,1660692,1670348,1711922,1750872,1760692,1850872,1860872,1960692
云南,联通,1300863,1310853,1320873,1452883,1550873,1560873,1660693,1670425,1711923,1750873,1760693,1850873,1860873,1960693
云南,联通,1300864,1310854,1320874,1452884,1550874,1560874,1660694,1670604,1711924,1750874,1760694,1850874,1860874,1960694
云南,联通,1300865,1310855,1320875,1452885,1550875,1560875,1660695,1673890,1711925,1750875,1760695,1850875,1860875,1960695
云南,联通,1300866,1310856,1320876,1452886,1550876,1560876,1660696,1673891,1711926,1750876,1760696,1850876,1860876,1960696
云南,联通,1300867,1310857,1320877,1452887,1550877,1560877,1660697,1673892,1711927,1750877,1760697,1850877,1860877,1960697
云南,联通,1300868,1310858,1320878,1452888,1550878,1560878,1660698,1673893,1711928,1750878,1760698,1850878,1860878,1960698
云南,联通,1300869,1310859,1320879,1452889,1550879,1560879,1660699,1673894,1711929,1750879,1760699,1850879,1860879,1960699
云南,联通,1301086,1310860,1320880,1452890,1550880,1560880,1660870,1673895,1713870,1750880,1760870,1850880,1860880,1960870
云南,联通,1301330,1310861,1320881,1452891,1550881,1560881,1660871,1673896,1713871,1750881,1760871,1850881,1860881,1960871
云南,联通,1301331,1310862,1320882,1452892,1550882,1560882,1660872,1673897,1713872,1750882,1760872,1850882,1860882,1960872
云南,联通,1301332,1310863,1320883,1452893,1550883,1560883,1660873,1673898,1713873,1750883,1760873,1850883,1860883,1960873
云南,联通,1301333,1310864,1320884,1452894,1550884,1560884,1660874,1673899,1713874,1750884,1760874,1850884,1860884,1960874
云南,联通,1301334,1310865,1320885,1452895,1550885,1560885,1660875,1673900,1713875,1750885,1760875,1850885,1860885,1960875
云南,联通,1301335,1310866,1320886,1452896,1550886,1560886,1660876,1673901,1713876,1750886,1760876,1850886,1860886,1960876
云南,联通,1301336,1310867,1320887,1452897,1550887,1560887,1660877,1673902,1713877,1750887,1760877,1850887,1860887,1960877
云南,联通,1301337,1310868,1320888,1452898,1550888,1560888,1660878,1673903,1713878,1750888,1760878,1850888,1860888,1960878
云南,联通,1301338,1310869,1320889,1452899,1550889,1560889,1660879,1673904,1713879,1750889,1760879,1850889,1860889,1960879
云南,联通,1301339,1310870,1321160,1453860,1555960,1568700,1660880,1673905,1714692,1751742,1760880,1858700,1866900,
云南,联通,1301340,1310871,1321161,1453861,1555961,1568701,1660881,1673907,1714870,1751743,1760881,1858701,1866901,
云南,联通,1301341,1310872,1321162,1453862,1555962,1568702,1660882,1673908,1714871,1751744,1760882,1858702,1866902,
云南,联通,1301342,1310873,1321163,1453863,1555963,1568703,1660883,1673909,1714872,1751745,1760883,1858703,1866903,
云南,联通,1301343,1310874,1321164,1453864,1555964,1568704,1660884,1675308,1714873,1751746,1760884,1858704,1866904,
云南,联通,1301344,1310875,1321165,1453865,1555965,1568705,1660885,1675309,1714874,1751747,1760885,1858705,1866905,
云南,联通,1301345,1310876,1321166,1453866,1555966,1568706,1660886,1675320,1714875,1751748,1760886,1858706,1866906,
云南,联通,1301346,1310877,1321167,1453867,1555967,1568707,1660887,1675321,1714876,1751749,1760887,1858707,1866907,
云南,联通,1301347,1310878,1321168,1453868,1555968,1568708,1660888,1675322,1714877,1758410,1760888,1858708,1866908,
云南,联通,1301348,1310879,1321169,1453869,1555969,1568709,1660889,1675440,1714878,1758411,1760889,1858709,1866909,
云南,联通,1301349,1310880,1321170,1453870,1555970,1568710,1666900,1675441,1714883,1758412,1764900,1858710,1866910,
云南,联通,1303330,1310881,1321171,1453871,1555971,1568711,1666901,1675442,1714886,1758413,1764902,1858711,1866911,
云南,联通,1303331,1310882,1321172,1453872,1555972,1568712,1666902,1675443,1714888,1758414,1764903,1858712,1866912,
云南,联通,1303332,1310883,1321173,1453873,1555973,1568713,1666903,1675444,1714983,1758415,1764904,1858713,1866913,
云南,联通,1303333,1310884,1321174,1453874,1555974,1568714,1666904,1675450,1714984,1758416,1764905,1858714,1866914,
云南,联通,1303334,1310885,1321175,1453875,1555975,1568715,1666905,1675898,1714985,1758417,1764906,1858715,1866915,
云南,联通,1303335,1310886,1321176,1453876,1555976,1568716,1666906,1677692,1715470,1758418,1764907,1858716,1866916,
云南,联通,1303336,1310887,1321177,1453877,1555977,1568717,1666907,1677870,1715471,1758419,1764909,1858717,1866917,
云南,联通,1303337,1310888,1321178,1453878,1555978,1568718,1666908,1677871,1715472,1758700,1764910,1858718,1866918,
云南,联通,1303338,1310889,1321179,1453879,1555979,1568719,1666909,1677872,1715473,1758701,1764913,1858719,1866919,
云南,联通,1303339,1311410,1321180,1453880,1555980,1568720,1668700,1677873,1715474,1758702,1764914,1858720,1866920,
云南,联通,1303590,1311411,1321181,1453881,1555981,1568721,1668701,1677874,1715475,1758703,1764915,1858721,1866921,
云南,联通,1303591,1311412,1321182,1453882,1555982,1568722,1668702,1677875,1715476,1758704,1764916,1858722,1866922,
云南,联通,1303592,1311413,1321183,1453883,1555983,1568723,1668703,1677876,1715477,1758705,1764917,1858723,1866923,
云南,联通,1303593,1311414,1321184,1453884,1555984,1568724,1668704,1677877,1715478,1758706,1764918,1858724,1866924,
云南,联通,1303594,1311415,1321185,1453885,1555985,1568725,1668705,1677878,1715479,1758707,1764919,1858725,1866925,
云南,联通,1303595,1311416,1321186,1453886,1555986,1568726,1668706,1677883,1715690,1758708,1764920,1858726,1866926,
云南,联通,1303596,1311417,1321187,1453887,1555987,1568727,1668707,1677886,1715691,1758709,1764921,1858727,1866927,
云南,联通,1303597,1311418,1321188,1453888,1555988,1568728,1668708,1677888,1715692,1758710,1764922,1858728,1866928,
云南,联通,1303598,1311419,1321189,1453889,1555989,1568729,1668709,1678642,1715693,1758711,1764923,1858729,1866929,
云南,联通,1303599,1311420,1321190,1453890,1555990,1568730,1668710,1679692,1715694,1758712,1764924,1858730,1868700,
云南,联通,1303860,1311421,1321191,1453891,1555991,1568731,1668711,1679870,1715695,1758713,1764925,1858731,1868701,
云南,联通,1303861,1311422,1321192,1453892,1555992,1568732,1668712,1679871,1715696,1758714,1764926,1858732,1868702,
云南,联通,1303862,1311423,1321193,1453893,1555993,1568733,1668713,1679872,1715697,1758715,1768700,1858733,1868703,
云南,联通,1303863,1311424,1321194,1453894,1555994,1568734,1668714,1679873,1715698,1758716,1768701,1858734,1868704,
云南,联通,1303864,1311425,1321195,1453895,1555995,1568735,1668715,1679874,1715699,1758717,1768702,1858735,1868705,
云南,联通,1303865,1311426,1321196,1453896,1555996,1568736,1668716,1679875,1715700,1758718,1768703,1858736,1868706,
云南,联通,1303866,1311427,1321197,1453897,1555997,1568737,1668717,1679876,1715701,1758719,1768704,1858737,1868707,
云南,联通,1303867,1311428,1321198,1453898,1555998,1568738,1668718,1679877,1715702,1758720,1768705,1858738,1868708,
云南,联通,1303868,1311429,1321199,1453899,1555999,1568739,1668719,1679878,1715703,1758721,1768706,1858739,1868709,
云南,联通,1303869,1311620,1323860,1454150,1558700,1568740,1668720,1679883,1715704,1758722,1768707,1858930,1868710,
云南,联通,1306420,1311621,1323861,1454151,1558701,1568741,1668721,1679886,1715705,1758723,1768708,1858931,1868711,
云南,联通,1306421,1311622,1323862,1454152,1558702,1568742,1668722,1679888,1715706,1758724,1768709,1858932,1868712,
云南,联通,1306422,1311623,1323863,1454153,1558703,1568743,1668723,,1715707,1758725,1768710,1858933,1868713,
云南,联通,1306423,1311624,1323864,1454154,1558704,1568744,1668724,,1715708,1758726,1768711,1858934,1868714,
云南,联通,1306424,1311625,1323865,1454155,1558705,1568745,1668725,,1715709,1758727,1768712,1858935,1868715,
云南,联通,1306425,1311626,1323866,1454156,1558706,1568746,1668726,,1715870,1758728,1768713,1858936,1868716,
云南,联通,1306426,1311627,1323867,1454157,1558707,1568747,1668727,,1715871,1758729,1768714,1858937,1868717,
云南,联通,1306427,1311628,1323868,1454158,1558708,1568748,1668728,,1715872,1758730,1768715,1858938,1868718,
云南,联通,1306428,1311629,1323869,1454159,1558709,1568749,1668729,,1715873,1758731,1768716,1858939,1868719,
云南,联通,1306429,1311690,1323870,1454640,1558710,1568750,1668730,,1715874,1758732,1768717,1859310,1868720,
云南,联通,1307870,1311691,1323871,1454641,1558711,1568751,1668731,,1715875,1758733,1768718,1859311,1868721,
云南,联通,1307871,1311692,1323872,1454642,1558712,1568752,1668732,,1715876,1758734,1768719,1859312,1868722,
云南,联通,1307872,1311693,1323873,1454643,1558713,1568753,1668733,,1715877,1758735,,1859313,1868723,
云南,联通,1307873,1311694,1323874,1454644,1558714,1568754,1668734,,1715878,1758736,,1859314,1868724,
云南,联通,1307874,1311695,1323875,1454645,1558715,1568755,1668735,,1715879,1758737,,1859315,1868725,
云南,联通,1307875,1311696,1323876,1454646,1558716,1568756,1668736,,1716470,1758738,,1859316,1868726,
云南,联通,1307876,1311697,1323877,1454647,1558717,1568757,1668737,,1716471,1758739,,1859317,1868727,
云南,联通,1307877,1311698,1323878,1454648,1558718,1568758,1668738,,1716472,1758790,,1859318,1868728,
云南,联通,1307878,1311699,1323879,1454649,1558719,1568759,1668739,,1716473,1758791,,1859319,1868729,
云南,联通,1307879,1311870,1327860,1454650,1558720,1568760,1668740,,1716474,1758792,,,1868730,
云南,联通,1308530,1311871,1327861,1454651,1558721,1568761,1668741,,1716475,1758793,,,1868731,
云南,联通,1308531,1311872,1327862,1454652,1558722,1568762,1668742,,1716476,1758794,,,1868732,
云南,联通,1308532,1311873,1327863,1454653,1558723,1568763,1668743,,1716477,1758795,,,1868733,
云南,联通,1308533,1311874,1327864,1454654,1558724,1568764,1668744,,1716478,1758796,,,1868734,
云南,联通,1308534,1311875,1327865,1454655,1558725,1568765,1668745,,1716479,1758797,,,1868735,
云南,联通,1308535,1311876,1327866,1454656,1558726,1568766,1668746,,1716690,1758798,,,1868736,
云南,联通,1308536,1311877,1327867,1454657,1558727,1568767,1668747,,1716691,1758799,,,1868737,
云南,联通,1308537,1311878,1327868,1454658,1558728,1568768,1668748,,1716692,,,,1868738,
云南,联通,1308538,1311879,1327869,1454659,1558729,1568769,1668749,,1716693,,,,1868739,
云南,联通,1308539,1315050,1327870,1459400,,1568770,1668750,,1716694,,,,1868740,
云南,联通,1308740,1315051,1327871,1459401,,1568771,1668751,,1716695,,,,1868741,
云南,联通,1308741,1315052,1327872,1459402,,1568772,1668752,,1716696,,,,1868742,
云南,联通,1308742,1315053,1327873,1459403,,1568773,1668753,,1716697,,,,1868743,
云南,联通,1308743,1315054,1327874,1459404,,1568774,1668754,,1716698,,,,1868744,
云南,联通,1308744,1315055,1327875,1459405,,1568775,1668755,,1716699,,,,1868745,
云南,联通,1308745,1315056,1327876,1459406,,1568776,1668756,,1716700,,,,1868746,
云南,联通,1308746,1315057,1327877,1459407,,1568777,1668757,,1716701,,,,1868747,
云南,联通,1308747,1315058,1327878,1459408,,1568778,1668758,,1716702,,,,1868748,
云南,联通,1308748,1315059,1327879,1459409,,1568779,1668759,,1716703,,,,1868749,
云南,联通,1308749,1315060,1329490,1459410,,1568780,1668760,,1716704,,,,1868750,
云南,联通,1309430,1315061,1329491,1459411,,1568781,1668761,,1716705,,,,1868751,
云南,联通,1309431,1315062,1329492,1459412,,1568782,1668762,,1716706,,,,1868752,
云南,联通,1309432,1315063,1329493,1459413,,1568783,1668763,,1716707,,,,1868753,
云南,联通,1309433,1315064,1329494,1459414,,1568784,1668764,,1716708,,,,1868754,
云南,联通,1309434,1315065,1329495,1459415,,1568785,1668765,,1716709,,,,1868755,
云南,联通,1309435,1315066,1329496,1459416,,1568786,1668766,,1716870,,,,1868756,
云南,联通,1309436,1315067,1329497,1459417,,1568787,1668767,,1716871,,,,1868757,
云南,联通,1309437,1315068,1329498,1459418,,1568788,1668768,,1716872,,,,1868758,
云南,联通,1309438,1315069,1329499,1459419,,1568789,1668769,,1716873,,,,1868759,
云南,联通,1309439,1315070,,1459420,,1568790,1668770,,1716874,,,,1868760,
云南,联通,1309520,1315071,,1459421,,1568791,1668771,,1716875,,,,1868761,
云南,联通,1309521,1315072,,1459422,,1568792,1668772,,1716876,,,,1868762,
云南,联通,1309522,1315073,,1459423,,1568793,1668773,,1716877,,,,1868763,
云南,联通,1309523,1315074,,1459424,,1568794,1668774,,1716878,,,,1868764,
云南,联通,1309524,1315075,,1459425,,1568795,1668775,,1716879,,,,1868765,
云南,联通,1309525,1315076,,1459426,,1568796,1668776,,1717470,,,,1868766,
云南,联通,1309526,1315077,,1459427,,1568797,1668777,,1717471,,,,1868767,
