省份,运营商,192 号段
内蒙古,广电,1920470
内蒙古,广电,1920471
内蒙古,广电,1920472
内蒙古,广电,1920473
内蒙古,广电,1920474
内蒙古,广电,1920475
内蒙古,广电,1920476
内蒙古,广电,1920477
内蒙古,广电,1920478
内蒙古,广电,1920479
内蒙古,广电,1920480
内蒙古,广电,1920481
内蒙古,广电,1920482
内蒙古,广电,1920483
内蒙古,广电,1920484
内蒙古,广电,1920485
内蒙古,广电,1920486
内蒙古,广电,1920487
内蒙古,广电,1920488
内蒙古,广电,1920489
内蒙古,广电,1921470
内蒙古,广电,1921471
内蒙古,广电,1921472
内蒙古,广电,1921473
内蒙古,广电,1921474
内蒙古,广电,1921475
内蒙古,广电,1921476
内蒙古,广电,1921477
内蒙古,广电,1921478
内蒙古,广电,1921479
内蒙古,广电,1922347
内蒙古,广电,1922472
内蒙古,广电,1924470
内蒙古,广电,1924471
内蒙古,广电,1924472
内蒙古,广电,1924473
内蒙古,广电,1924474
内蒙古,广电,1924475
内蒙古,广电,1924476
内蒙古,广电,1924477
内蒙古,广电,1924478
内蒙古,广电,1924479
内蒙古,广电,1924480
内蒙古,广电,1924481
内蒙古,广电,1924482
内蒙古,广电,1924483
内蒙古,广电,1924484
内蒙古,广电,1924485
内蒙古,广电,1924486
内蒙古,广电,1924487
内蒙古,广电,1924488
内蒙古,广电,1924489
内蒙古,广电,1925460
内蒙古,广电,1925461
内蒙古,广电,1925462
内蒙古,广电,1925463
内蒙古,广电,1925464
内蒙古,广电,1925465
内蒙古,广电,1925466
内蒙古,广电,1925467
内蒙古,广电,1925468
内蒙古,广电,1925469
内蒙古,广电,1925470
内蒙古,广电,1925471
内蒙古,广电,1925472
内蒙古,广电,1925473
内蒙古,广电,1925474
内蒙古,广电,1925475
内蒙古,广电,1925476
内蒙古,广电,1925477
内蒙古,广电,1925478
内蒙古,广电,1925479
内蒙古,广电,1925480
内蒙古,广电,1925481
内蒙古,广电,1925482
内蒙古,广电,1925483
内蒙古,广电,1925484
内蒙古,广电,1925485
内蒙古,广电,1925486
内蒙古,广电,1925487
内蒙古,广电,1925488
内蒙古,广电,1925489
内蒙古,广电,1926470
内蒙古,广电,1926471
内蒙古,广电,1926472
内蒙古,广电,1926473
内蒙古,广电,1926474
内蒙古,广电,1926475
内蒙古,广电,1926476
内蒙古,广电,1926477
内蒙古,广电,1926478
内蒙古,广电,1926479
内蒙古,广电,1926480
内蒙古,广电,1926481
内蒙古,广电,1926482
内蒙古,广电,1926483
内蒙古,广电,1926484
内蒙古,广电,1926485
内蒙古,广电,1926486
内蒙古,广电,1926487
内蒙古,广电,1926488
内蒙古,广电,1926489
内蒙古,广电,1926830
内蒙古,广电,1926831
内蒙古,广电,1926832
内蒙古,广电,1926833
内蒙古,广电,1926834
内蒙古,广电,1926835
内蒙古,广电,1926836
内蒙古,广电,1926837
内蒙古,广电,1926838
内蒙古,广电,1926839
内蒙古,广电,1926980
内蒙古,广电,1926981
内蒙古,广电,1926982
内蒙古,广电,1926983
内蒙古,广电,1926984
内蒙古,广电,1926985
内蒙古,广电,1926986
内蒙古,广电,1926987
内蒙古,广电,1926988
内蒙古,广电,1926989
内蒙古,广电,1927470
内蒙古,广电,1927471
内蒙古,广电,1927472
内蒙古,广电,1927473
内蒙古,广电,1927474
内蒙古,广电,1927475
内蒙古,广电,1927476
内蒙古,广电,1927477
内蒙古,广电,1927478
内蒙古,广电,1927479
内蒙古,广电,1928470
内蒙古,广电,1928471
内蒙古,广电,1928472
内蒙古,广电,1928473
内蒙古,广电,1928474
内蒙古,广电,1928475
内蒙古,广电,1928476
内蒙古,广电,1928477
内蒙古,广电,1928478
内蒙古,广电,1928479
内蒙古,广电,1928480
内蒙古,广电,1928481
内蒙古,广电,1928482
内蒙古,广电,1928483
内蒙古,广电,1928484
内蒙古,广电,1928485
内蒙古,广电,1928486
内蒙古,广电,1928487
内蒙古,广电,1928488
内蒙古,广电,1928489
内蒙古,广电,1929470
内蒙古,广电,1929471
内蒙古,广电,1929472
内蒙古,广电,1929473
内蒙古,广电,1929474
内蒙古,广电,1929475
内蒙古,广电,1929476
内蒙古,广电,1929477
内蒙古,广电,1929478
内蒙古,广电,1929479
