省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
内蒙古,电信,1330470,1530470,1621470,1730470,1770470,1800470,1810046,1890470,1900470,1910470,1930470,1990470
内蒙古,电信,1330471,1530471,1621471,1730471,1770471,1800471,1810047,1890471,1900471,1910471,1930471,1990471
内蒙古,电信,1330472,1530472,1621472,1730472,1770472,1800472,1810470,1890472,1900472,1910472,1930472,1990472
内蒙古,电信,1330473,1530473,1621473,1730473,1770473,1800473,1810471,1890473,1900473,1910473,1930473,1990473
内蒙古,电信,1330474,1530474,1621474,1730474,1770474,1800474,1810472,1890474,1900474,1910474,1930474,1990474
内蒙古,电信,1330475,1530475,1621475,1730475,1770475,1800475,1810473,1890475,1900475,1910475,1930475,1990475
内蒙古,电信,1330476,1530476,1621476,1730476,1770476,1800476,1810474,1890476,1900476,1910476,1930476,1990476
内蒙古,电信,1330477,1530477,1621477,1730477,1770477,1800477,1810475,1890477,1900477,1910477,1930477,1990477
内蒙古,电信,1330478,1530478,1621478,1730478,1770478,1800478,1810476,1890478,1900478,1910478,1930478,1990478
内蒙古,电信,1330479,1530479,1621479,1730479,1770479,1800479,1810477,1890479,1900479,1910479,1930479,1990479
内蒙古,电信,1331030,1532600,1621480,1730480,1770480,1800480,1810478,1890482,1900480,1910480,1930480,1994700
内蒙古,电信,1331031,1532601,1621481,1730481,1770481,1800481,1810479,1890483,1900481,1910481,1930481,1994701
内蒙古,电信,1331032,1532602,1621482,1730482,1770482,1800482,1810480,1894700,1900482,1910482,1930482,1994702
内蒙古,电信,1331033,1532603,1621483,1730483,1770483,1800483,1810481,1894701,1900483,1910483,1930483,1994703
内蒙古,电信,1331034,1532604,1621484,1730484,1770484,1800484,1810482,1894702,1900484,1910484,1930484,1994704
内蒙古,电信,1331035,1532605,1621485,1730485,1770485,1800485,1810483,1894703,1900485,1910485,1930485,1994705
内蒙古,电信,1331036,1532606,1621486,1730486,1770486,1800486,1810484,1894704,1900486,1910486,1930486,1994706
内蒙古,电信,1331037,1532607,1621487,1730487,1770487,1800487,1810485,1894705,1900487,1910487,1930487,1994707
内蒙古,电信,1331038,1532608,1621488,1730488,1770488,1800488,1810486,1894706,1900488,1910488,1930488,1994708
内蒙古,电信,1331039,1532609,1621489,1730489,1770489,1800489,1810487,1894707,1900489,1910489,1930489,1994709
内蒙古,电信,1331470,1532670,1622270,1731430,1774700,1804442,1810488,1894708,1900490,1914710,1936378,1994710
内蒙古,电信,1331471,1532671,1622271,1731431,1774701,1804448,1810489,1894709,1900491,1914711,1936379,1994711
内蒙古,电信,1331472,1532672,1622272,1731432,1774702,1804700,1814700,1894710,1900492,1914712,1937000,1994712
内蒙古,电信,1331473,1532673,1622273,1731433,1774703,1804701,1814701,1894711,1900493,1914713,1937001,1994713
内蒙古,电信,1331474,1532674,1622274,1731434,1774704,1804702,1814702,1894712,1900494,1914714,1937002,1994714
内蒙古,电信,1331475,1532675,1622275,1731435,1774705,1804703,1814703,1894713,1900495,1914715,1937003,1994715
内蒙古,电信,1331476,1532676,1622276,1731436,1774706,1804704,1814704,1894714,1900496,1914716,1937004,1994716
内蒙古,电信,1331477,1532677,1622277,1731437,1774707,1804705,1814705,1894715,1900497,1914717,1937005,1994717
内蒙古,电信,1331478,1532678,1622278,1731438,1774708,1804706,1814706,1894716,1900498,1914718,1937006,1994718
内蒙古,电信,1331479,1532679,1622279,1731439,1774709,1804707,1814707,1894717,1900499,1914719,1937007,1994719
内蒙古,电信,1331480,1532680,1622280,1739070,1774710,1804708,1814708,1894718,1900600,1914720,1937008,1996900
内蒙古,电信,1331481,1532681,1622281,1739071,1774711,1804709,1814709,1894719,1900601,1914721,1937009,1996901
内蒙古,电信,1331482,1532682,1622282,1739072,1774712,1804710,1814710,1894720,1900602,1914722,,1996902
内蒙古,电信,1331483,1532683,1622283,1739073,1774713,1804711,1814711,1894721,1900603,1914723,,1996903
内蒙古,电信,1331484,1532684,1622284,1739074,1774714,1804712,1814712,1894722,1900604,1914724,,1996904
内蒙古,电信,1331485,1532685,1622285,1739075,1774715,1804713,1814713,1894723,1900605,1914725,,1996905
内蒙古,电信,1331486,1532686,1622286,1739076,1774716,1804714,1814714,1894724,1900606,1914726,,1996906
内蒙古,电信,1331487,1532687,1622287,1739077,1774717,1804715,1814715,1894725,1900607,1914727,,1996907
内蒙古,电信,1331488,1532688,1622288,1739078,1774718,1804716,1814716,1894726,1900608,1914728,,1996908
内蒙古,电信,1331489,1532689,1622289,1739079,1774719,1804717,1814717,1894727,1900609,1914729,,1996909
内蒙古,电信,1332700,1532690,1622290,,1774720,1804718,1814718,1894728,1900610,,,1997550
内蒙古,电信,1332701,1532691,1622291,,1774721,1804719,1814719,1894729,1900611,,,1997551
内蒙古,电信,1332702,1532692,1622292,,1774722,1804720,1814720,1894730,1900612,,,1997552
内蒙古,电信,1332703,1532693,1622293,,1774723,1804721,1814721,1894731,1900613,,,1997553
内蒙古,电信,1332704,1532694,1622294,,1774724,1804722,1814722,1894732,1900614,,,1997554
内蒙古,电信,1332705,1532695,1622295,,1774725,1804723,1814723,1894733,1900615,,,1997555
内蒙古,电信,1332706,1532696,1622296,,1774726,1804724,1814724,1894734,1900616,,,1997556
内蒙古,电信,1332707,1532697,1622297,,1774727,1804725,1814725,1894735,1900617,,,1997557
内蒙古,电信,1332708,1532698,1622298,,1774728,1804726,1814726,1894736,1900618,,,1997558
内蒙古,电信,1332709,1532699,1622299,,1774729,1804727,1814727,1894737,1900619,,,1997559
内蒙古,电信,1332710,1533103,1622320,,1774730,1804728,1814728,1894738,1906070,,,1997560
内蒙古,电信,1332711,1533270,1622321,,1774731,1804729,1814729,1894739,1906071,,,1997561
