省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
内蒙古,移动,1340480,1350060,1360470,1370470,1380047,1390004,1474700,1488313,1500470,1510470,1520470,1570360,1580470,1590470,1650014,1700470,1720470,1780060,1820470,1830470,1840470,1870470,1880470,1950470,1970047,1980470
内蒙古,移动,1340481,1350061,1360471,1370471,1380048,1390040,1474701,,1500471,1510471,1520471,1570361,1580471,1590471,1650034,1700471,1720471,1780061,1820471,1830471,1840471,1870471,1880471,1950471,1970048,1980471
内蒙古,移动,1340482,1350062,1360472,1370472,1380050,1390047,1474702,,1500472,1510472,1520472,1570362,1580472,1590472,1650040,1700472,1720472,1780062,1820472,1830472,1840472,1870472,1880472,1950472,1970470,1980472
内蒙古,移动,1340483,1350063,1360473,1370473,1380470,1390470,1474703,,1500473,1510473,1520473,1570363,1580473,1590473,1650041,1700473,1720473,1780063,1820473,1830473,1840473,1870473,1880473,1950473,1970471,1980473
内蒙古,移动,1340484,1350064,1360474,1370474,1380471,1390471,1474704,,1500474,1510474,1520474,1570364,1580474,1590474,1650042,1700474,1720474,1780064,1820474,1830474,1840474,1870474,1880474,1950474,1970472,1980474
内蒙古,移动,1340485,1350065,1360475,1370475,1380472,1390472,1474705,,1500475,1510475,1520475,1570365,1580475,1590475,1650043,1700475,1720475,1780065,1820475,1830475,1840475,1870475,1880475,1950475,1970473,1980475
内蒙古,移动,1340486,1350066,1360476,1370476,1380473,1390473,1474706,,1500476,1510476,1520476,1570366,1580476,1590476,1650044,1700476,1720476,1780066,1820476,1830476,1840476,1870476,1880476,1950476,1970474,1980476
内蒙古,移动,1340487,1350067,1360477,1370477,1380474,1390474,1474707,,1500477,1510477,1520477,1570367,1580477,1590477,1650045,1700477,1720477,1780067,1820477,1830477,1840477,1870477,1880477,1950477,1971970,1980477
内蒙古,移动,1340488,1350068,1360478,1370478,1380475,1390475,1474708,,1500478,1510478,1520478,1570368,1580478,1590478,1650046,1700478,1720478,1780068,1820478,1830478,1840478,1870478,1880478,1950478,1971971,1980478
内蒙古,移动,1340489,1350069,1360479,1370479,1380476,1390476,1474709,,1500479,1510479,1520479,1570369,1580479,1590479,1650047,1700479,1720479,1780069,1820479,1830479,1840479,1870479,1880479,1950479,1971972,1980479
