省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
内蒙古,联通,1300095,1311350,1320470,1450260,1550470,1560470,1660470,1670071,1711350,1750470,1760470,1850470,1860470,1960470
内蒙古,联通,1300950,1311351,1320471,1450261,1550471,1560471,1660471,1670247,1711351,1750471,1760471,1850471,1860471,1960471
内蒙古,联通,1300951,1311352,1320472,1450262,1550472,1560472,1660472,1670406,1711352,1750472,1760472,1850472,1860472,1960472
内蒙古,联通,1300952,1311353,1320473,1450263,1550473,1560473,1660473,1670430,1711353,1750473,1760473,1850473,1860473,1960473
内蒙古,联通,1300953,1311354,1320474,1450264,1550474,1560474,1660474,1670470,1711354,1750474,1760474,1850474,1860474,1960474
内蒙古,联通,1300954,1311355,1320475,1450265,1550475,1560475,1660475,1670471,1711355,1750475,1760475,1850475,1860475,1960475
内蒙古,联通,1300955,1311356,1320476,1450266,1550476,1560476,1660476,1670472,1711356,1750476,1760476,1850476,1860476,1960476
内蒙古,联通,1300956,1311357,1320477,1450267,1550477,1560477,1660477,1670473,1711357,1750477,1760477,1850477,1860477,1960477
内蒙古,联通,1300957,1311358,1320478,1450268,1550478,1560478,1660478,1670474,1711358,1750478,1760478,1850478,1860478,1960478
内蒙古,联通,1300958,1311359,1320479,1450269,1550479,1560479,1660479,1670475,1711359,1750479,1760479,1850479,1860479,1960479
内蒙古,联通,1300959,1312144,1320480,1450270,1550480,1561470,1660480,1670476,1711360,1750480,1760480,1850480,1860480,1960480
内蒙古,联通,1301095,1312174,1320481,1450271,1550481,1561471,1660481,1670477,1711361,1750481,1760481,1850481,1860481,1960481
内蒙古,联通,1301500,1312654,1320482,1450272,1550482,1561472,1660482,1670478,1711362,1750482,1760482,1850482,1860482,1960482
内蒙古,联通,1301501,1312674,1320483,1450273,1550483,1561473,1660483,1670479,1711363,1750483,1760483,1850483,1860483,1960483
内蒙古,联通,1301502,1312684,1320484,1450274,1550484,1561474,1660484,1670482,1711364,1750484,1760484,1850484,1860484,1960484
