省份,运营商,192 号段
北京,广电,1920100
北京,广电,1920101
北京,广电,1920102
北京,广电,1920103
北京,广电,1920104
北京,广电,1920105
北京,广电,1920106
北京,广电,1920107
北京,广电,1920108
北京,广电,1920109
北京,广电,1920110
北京,广电,1920111
北京,广电,1920112
北京,广电,1920113
北京,广电,1920114
北京,广电,1920115
北京,广电,1920116
北京,广电,1920117
北京,广电,1920118
北京,广电,1920119
北京,广电,1921070
北京,广电,1921071
北京,广电,1921072
北京,广电,1921073
北京,广电,1921074
北京,广电,1921075
北京,广电,1921076
北京,广电,1921077
北京,广电,1921078
北京,广电,1921079
北京,广电,1921100
北京,广电,1921101
北京,广电,1921102
北京,广电,1921103
北京,广电,1921104
北京,广电,1921105
北京,广电,1921106
北京,广电,1921107
北京,广电,1921108
北京,广电,1921109
北京,广电,1921110
北京,广电,1921111
北京,广电,1921112
北京,广电,1921113
北京,广电,1921114
北京,广电,1921115
北京,广电,1921116
北京,广电,1921117
北京,广电,1921118
北京,广电,1921119
北京,广电,1921700
北京,广电,1921701
北京,广电,1921702
北京,广电,1921703
北京,广电,1921704
北京,广电,1921705
北京,广电,1921706
北京,广电,1921707
北京,广电,1921708
北京,广电,1921709
北京,广电,1921710
北京,广电,1921711
北京,广电,1921712
北京,广电,1921714
北京,广电,1921715
北京,广电,1921716
北京,广电,1921717
北京,广电,1921718
北京,广电,1921719
北京,广电,1922000
北京,广电,1922001
北京,广电,1922002
北京,广电,1922003
北京,广电,1922004
北京,广电,1922005
北京,广电,1922006
北京,广电,1922007
北京,广电,1922008
北京,广电,1922009
北京,广电,1922010
北京,广电,1922011
北京,广电,1922012
北京,广电,1922013
北京,广电,1922014
北京,广电,1922015
北京,广电,1922016
北京,广电,1922017
北京,广电,1922018
北京,广电,1922019
北京,广电,1922020
北京,广电,1922021
北京,广电,1922022
北京,广电,1922023
北京,广电,1922024
北京,广电,1922025
北京,广电,1922026
北京,广电,1922027
北京,广电,1922028
北京,广电,1922029
北京,广电,1922110
北京,广电,1922111
北京,广电,1922112
北京,广电,1922113
北京,广电,1922114
北京,广电,1922115
北京,广电,1922116
北京,广电,1922117
北京,广电,1922118
北京,广电,1922119
北京,广电,1922301
北京,广电,1922310
北京,广电,1922313
北京,广电,1922314
北京,广电,1922330
北京,广电,1922334
北京,广电,1922442
北京,广电,1922443
北京,广电,1922444
北京,广电,1922488
北京,广电,1923100
北京,广电,1923101
北京,广电,1923102
北京,广电,1923103
北京,广电,1923104
北京,广电,1923105
北京,广电,1923106
北京,广电,1923107
北京,广电,1923108
北京,广电,1923109
北京,广电,1923110
北京,广电,1923111
北京,广电,1923112
北京,广电,1923113
北京,广电,1923114
北京,广电,1923115
北京,广电,1923116
北京,广电,1923117
北京,广电,1923118
北京,广电,1923119
北京,广电,1923120
北京,广电,1923121
北京,广电,1923122
北京,广电,1923123
北京,广电,1923124
北京,广电,1923125
北京,广电,1923126
北京,广电,1923127
北京,广电,1923128
北京,广电,1923129
北京,广电,1923640
北京,广电,1923641
北京,广电,1923642
北京,广电,1923643
北京,广电,1923644
北京,广电,1923645
北京,广电,1923646
北京,广电,1923647
北京,广电,1923648
北京,广电,1923649
北京,广电,1924090
北京,广电,1924091
北京,广电,1924092
北京,广电,1924093
北京,广电,1924094
北京,广电,1924095
北京,广电,1924096
北京,广电,1924097
北京,广电,1924098
北京,广电,1924099
北京,广电,1924100
北京,广电,1924101
北京,广电,1924102
北京,广电,1924103
北京,广电,1924104
北京,广电,1924105
北京,广电,1924106
北京,广电,1924107
北京,广电,1924108
北京,广电,1924109
北京,广电,1924110
北京,广电,1924111
北京,广电,1924112
北京,广电,1924113
北京,广电,1924114
北京,广电,1924115
北京,广电,1924116
北京,广电,1924117
北京,广电,1924118
北京,广电,1924119
北京,广电,1925000
北京,广电,1925001
北京,广电,1925002
北京,广电,1925003
北京,广电,1925004
北京,广电,1925005
北京,广电,1925006
北京,广电,1925007
北京,广电,1925008
北京,广电,1925009
北京,广电,1925010
北京,广电,1925011
北京,广电,1925012
北京,广电,1925013
北京,广电,1925014
北京,广电,1925015
北京,广电,1925016
北京,广电,1925017
北京,广电,1925018
北京,广电,1925019
北京,广电,1925020
北京,广电,1925021
北京,广电,1925022
北京,广电,1925023
北京,广电,1925024
北京,广电,1925025
北京,广电,1925026
北京,广电,1925027
北京,广电,1925028
北京,广电,1925029
北京,广电,1925100
北京,广电,1925101
北京,广电,1925102
北京,广电,1925103
北京,广电,1925104
北京,广电,1925105
北京,广电,1925106
北京,广电,1925107
北京,广电,1925108
北京,广电,1925109
北京,广电,1925110
北京,广电,1925111
北京,广电,1925112
北京,广电,1925113
北京,广电,1925114
北京,广电,1925115
北京,广电,1925116
北京,广电,1925117
北京,广电,1925118
北京,广电,1925119
北京,广电,1926000
北京,广电,1926001
北京,广电,1926002
北京,广电,1926003
北京,广电,1926004
北京,广电,1926005
北京,广电,1926006
北京,广电,1926007
北京,广电,1926008
北京,广电,1926009
北京,广电,1926010
北京,广电,1926011
北京,广电,1926012
北京,广电,1926013
北京,广电,1926014
北京,广电,1926015
北京,广电,1926016
北京,广电,1926017
北京,广电,1926018
北京,广电,1926019
北京,广电,1926020
北京,广电,1926021
北京,广电,1926022
北京,广电,1926023
北京,广电,1926024
北京,广电,1926025
北京,广电,1926026
北京,广电,1926027
北京,广电,1926028
北京,广电,1926029
北京,广电,1926100
北京,广电,1926101
北京,广电,1926102
北京,广电,1926103
北京,广电,1926104
北京,广电,1926105
北京,广电,1926106
北京,广电,1926107
北京,广电,1926108
北京,广电,1926109
北京,广电,1926110
北京,广电,1926111
北京,广电,1926112
北京,广电,1926113
北京,广电,1926114
北京,广电,1926115
北京,广电,1926116
北京,广电,1926117
北京,广电,1926118
北京,广电,1926119
北京,广电,1927080
北京,广电,1927081
北京,广电,1927082
北京,广电,1927083
北京,广电,1927084
北京,广电,1927085
北京,广电,1927086
北京,广电,1927087
北京,广电,1927088
北京,广电,1927089
北京,广电,1927100
北京,广电,1927101
北京,广电,1927102
北京,广电,1927103
北京,广电,1927104
北京,广电,1927105
北京,广电,1927106
北京,广电,1927107
北京,广电,1927108
北京,广电,1927109
北京,广电,1927110
北京,广电,1927111
北京,广电,1927112
北京,广电,1927113
北京,广电,1927114
北京,广电,1927115
北京,广电,1927116
北京,广电,1927117
北京,广电,1927118
北京,广电,1927119
北京,广电,1927810
北京,广电,1927811
北京,广电,1927812
北京,广电,1927813
北京,广电,1927814
北京,广电,1927815
北京,广电,1927816
北京,广电,1927817
北京,广电,1927818
北京,广电,1927819
北京,广电,1928090
北京,广电,1928091
北京,广电,1928092
北京,广电,1928093
北京,广电,1928094
北京,广电,1928095
北京,广电,1928096
北京,广电,1928097
北京,广电,1928098
北京,广电,1928099
北京,广电,1928100
北京,广电,1928101
北京,广电,1928102
北京,广电,1928103
北京,广电,1928104
北京,广电,1928105
北京,广电,1928106
北京,广电,1928107
北京,广电,1928108
北京,广电,1928109
北京,广电,1929010
北京,广电,1929011
北京,广电,1929012
北京,广电,1929013
北京,广电,1929014
北京,广电,1929015
北京,广电,1929016
北京,广电,1929017
北京,广电,1929018
北京,广电,1929019
北京,广电,1929100
北京,广电,1929101
北京,广电,1929102
北京,广电,1929103
北京,广电,1929104
北京,广电,1929105
北京,广电,1929106
北京,广电,1929107
北京,广电,1929108
北京,广电,1929109
