省份,运营商,133 号段,149 号段,153 号段,162 号段,173 号段,174 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
北京,电信,1330010,1491050,1530000,1621001,1730001,1740660,1770000,1800100,1810000,1890000,1900100,1910100,1930090,1990011
北京,电信,1330011,1491051,1530001,1621002,1730003,1740661,1770010,1800101,1810001,1890001,1900101,1910101,1930091,1990018
北京,电信,1330012,1491052,1530002,1621003,1730010,1740662,1770011,1800102,1810002,1890002,1900102,1910102,1930092,1990100
北京,电信,1330100,1491053,1530003,1621004,1730011,1740663,1770012,1800103,1810003,1890005,1900103,1910103,1930093,1990101
北京,电信,1330101,1491054,1530004,1621005,1730012,1740664,1770013,1800104,1810004,1890006,1900104,1910104,1930094,1990102
北京,电信,1330102,1491055,1530005,1621006,1730013,1740665,1770014,1800105,1810100,1890007,1901420,1910105,1930095,1990103
北京,电信,1330103,1491056,1530006,1621007,1730014,1740666,1770015,1800106,1810101,1890008,1901990,1910106,1930096,1990104
北京,电信,1330104,1491057,1530007,1621008,1730015,1740667,1770016,1800107,1810102,1890009,1901991,1910107,1930097,1990105
北京,电信,1330105,1491058,1530008,1621009,1730016,1740668,1770017,1800108,1810103,1890010,1901992,1910108,1930098,1990106
北京,电信,1330106,1491059,1530009,1621010,1730017,1740669,1770018,1800109,1810104,1890011,1901993,1910109,1930099,1990107
北京,电信,1330107,1491060,1530010,1621011,1730018,1740670,1770019,1800110,1810105,1890012,1901994,1911020,1930100,1990108
北京,电信,1330108,1491061,1530011,1621012,1730019,1740671,1770088,1800111,1810106,1890013,1901995,1911021,1930101,1990109
北京,电信,1330109,1491062,1530012,1621013,1730100,1740672,1770100,1800112,1810107,1890014,1901996,1911022,1930102,1990110
北京,电信,1330110,1491063,1530013,1621014,1730101,1740673,1770101,1800113,1810108,1890015,1901997,1911023,1930103,1990111
北京,电信,1330111,1491064,1530014,1621015,1730102,1740674,1770102,1800114,1810109,1890016,1901998,1911024,1930104,1990112
北京,电信,1330112,1491065,1530015,1621016,1730103,1740675,1770103,1800115,1810110,1890017,1901999,1911025,1930105,1990113
北京,电信,1330113,1491066,1530016,1621017,1730104,1740676,1770104,1800116,1810111,1890018,,1911026,1930106,1990114
北京,电信,1330114,1491067,1530017,1621018,1730105,1740677,1770105,1800117,1810112,1890019,,1911027,1930107,1990115
北京,电信,1330115,1491068,1530018,1621019,1730106,1740678,1770106,1800118,1810113,1890040,,1911028,1930108,1990116
北京,电信,1330116,1491069,1530019,1621040,1730107,1740679,1770107,1800119,1810114,1890041,,1911029,1930109,1990117
北京,电信,1330117,1491070,1530020,1621041,1730108,1740680,1770108,1800120,1810115,1890042,,1911030,1931111,1990118
北京,电信,1330118,1491071,1530021,1621042,1730109,1740681,1770109,1800121,1810116,1890043,,1911031,1931420,1990119
北京,电信,1330119,1491072,1530022,1621043,1730110,1740682,1770110,1800122,1810117,1890044,,1911032,1931990,1990120
北京,电信,1330120,1491073,1530023,1621044,1730111,1740683,1770111,1800123,1810118,1890045,,1911033,1931991,1990121
北京,电信,1330121,1491074,1530024,1621045,1730112,1740684,1770112,1800124,1810119,1890046,,1911034,1931992,1990122
北京,电信,1330122,1491075,1530025,1621046,1730113,1740685,1770113,1800125,1810120,1890047,,1911035,1931993,1990123
北京,电信,1330123,1491076,1530026,1621047,1730114,1740686,1770114,1800126,1810121,1890048,,1911036,1931994,1990124
北京,电信,1330124,1491077,1530027,1621048,1730115,1740687,1770115,1800127,1810122,1890049,,1911037,1931995,1990125
北京,电信,1330125,1491078,1530028,1621049,1730116,1740688,1770116,1800128,1810123,1890100,,1911038,1931996,1990126
北京,电信,1330126,1491079,1530029,1621050,1730117,1740689,1770117,1800129,1810124,1890101,,1911039,1931997,1990127
北京,电信,1330127,1491080,1530030,1621051,1730118,1740690,1770118,1800130,1810125,1890102,,1911040,1931998,1990128
北京,电信,1330128,1491081,1530031,1621052,1730119,1740691,1770119,1800131,1810126,1890103,,1911041,1931999,1990129
北京,电信,1330129,1491082,1530032,1621053,1730120,1740692,1770120,1800132,1810127,1890104,,1911042,1932000,1990130
北京,电信,1330130,1491083,1530033,1621054,1730121,1740693,1770121,1800133,1810128,1890105,,1911043,1932001,1990131
北京,电信,1330131,1491084,1530034,1621055,1730122,1740694,1770122,1800134,1810129,1890106,,1911044,1932002,1990132
