省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
北京,移动,1340100,1350100,1360100,1370100,1380000,1390009,1470040,1482000,1500100,1510100,1520100,1570100,1580100,1590100,1650000,1700000,1720000,1780010,1820100,1830100,1840060,1870100,1880000,1950100,1971010,1980000
北京,移动,1340101,1350101,1360101,1370101,1380001,1390010,1470041,1482001,1500101,1510101,1520101,1570101,1580101,1590101,1650001,1700001,1720001,1780011,1820101,1830101,1840061,1870101,1880001,1950101,1972010,1980001
北京,移动,1340102,1350102,1360102,1370102,1380002,1390011,1470042,1482002,1500102,1510102,1520102,1570102,1580102,1590102,1650002,1700002,1720002,1780012,1820102,1830102,1840062,1870102,1880002,1950102,1972294,1980002
北京,移动,1340103,1350103,1360103,1370103,1380003,1390012,1470043,1482003,1500103,1510103,1520103,1570103,1580103,1590103,1650003,1700003,1720003,1780013,1820103,1830103,1840063,1870103,1880003,1950103,1972295,1980003
北京,移动,1340104,1350104,1360104,1370104,1380007,1390028,1470044,1482004,1500104,1510104,1520104,1570104,1580104,1590104,1650004,1700004,1720004,1780014,1820104,1830104,1840064,1870104,1880004,1950104,1972296,1980004
北京,移动,1340105,1350105,1360105,1370105,1380008,1390085,1470045,1482005,1500105,1510105,1520105,1570105,1580105,1590105,1650100,1700010,1720005,1780015,1820105,1830105,1840065,1870105,1880005,1950105,1972297,1980005
北京,移动,1340106,1350106,1360106,1370106,1380010,1390097,1470046,1482006,1500106,1510106,1520106,1570106,1580106,1590106,1650101,1700011,1720006,1780016,1820106,1830106,1840066,1870106,1880006,1950106,1972298,1980006
北京,移动,1340107,1350107,1360107,1370107,1380011,1390099,1470047,1482007,1500107,1510107,1520107,1570107,1580107,1590107,1650102,1700012,1720007,1780017,1820107,1830107,1840067,1870107,1880007,1950107,1972299,1980007
北京,移动,1340108,1350108,1360108,1370108,1380012,1390100,1470048,1482008,1500108,1510108,1520108,1570108,1580108,1590108,1650103,1700013,1720008,1780018,1820108,1830108,1840068,1870108,1880008,1950108,1972740,1980008
北京,移动,1340109,1350109,1360109,1370109,1380013,1390101,1470049,1482009,1500109,1510109,1520109,1570109,1580109,1590109,1650105,1700041,1720009,1780019,1820109,1830109,1840069,1870109,1880009,1950109,1972741,1980009
