省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
北京,联通,1300010,1312000,1322010,1450000,1550100,1560000,1660000,1670001,1710000,1750000,1760000,1850000,1860000,1960000
北京,联通,1300011,1312001,1322011,1450001,1550101,1560001,1660001,1670003,1710001,1750001,1760001,1850001,1860001,1960001
北京,联通,1300045,1312002,1322012,1450002,1550102,1560002,1660002,1670007,1710002,1750002,1760002,1850002,1860002,1960002
北京,联通,1300046,1312003,1322013,1450003,1550103,1560003,1660003,1670010,1710003,1750003,1760003,1850003,1860003,1960003
北京,联通,1300047,1312004,1322014,1450004,1550104,1560004,1660004,1670018,1710004,1750004,1760004,1850004,1860004,1960004
北京,联通,1300048,1312005,1322015,1450005,1550105,1560005,1660005,1670058,1710005,1750005,1760005,1850005,1860005,1960005
北京,联通,1300049,1312006,1322016,1450006,1550106,1560006,1660006,1670068,1710006,1750006,1760006,1850006,1860006,1960006
北京,联通,1300100,1312007,1322017,1450007,1550107,1560007,1660007,1670070,1710007,1750007,1760007,1850007,1860007,1960007
北京,联通,1300101,1312008,1322018,1450008,1550108,1560008,1660008,1670100,1710008,1750008,1760008,1850008,1860008,1960008
北京,联通,1300102,1312009,1322019,1450009,1550109,1560009,1660009,1670102,1710009,1750009,1760009,1850009,1860009,1960009
北京,联通,1300103,1312010,1324000,1450010,1550110,1560010,1660010,1670107,1710010,1750010,1760010,1850010,1860010,1960010
北京,联通,1300104,1312011,1324001,1450011,1550111,1560011,1660011,1670176,1710011,1750011,1760011,1850011,1860011,1960011
北京,联通,1300105,1312012,1324002,1450012,1550112,1560012,1660012,1670200,1710012,1750012,1760012,1850012,1860012,1960012
北京,联通,1300106,1312013,1324003,1450013,1550113,1560013,1660013,1670219,1710013,1750013,1760013,1850013,1860013,1960013
北京,联通,1300107,1312014,1324004,1450014,1550114,1560014,1660014,1670226,1710014,1750014,1760014,1850014,1860014,1960014
北京,联通,1300108,1312015,1324005,1450015,1550115,1560015,1660015,1670229,1710015,1750015,1760015,1850015,1860015,1960015
北京,联通,1300109,1312016,1324006,1450016,1550116,1560016,1660016,1670444,1710016,1750016,1760016,1850016,1860016,1960016
北京,联通,1300110,1312017,1324007,1450017,1550117,1560017,1660017,1671000,1710017,1750017,1760017,1850017,1860017,1960017
北京,联通,1300111,1312018,1324008,1450018,1550118,1560018,1660018,1671001,1710018,1750018,1760018,1850018,1860018,1960018
北京,联通,1300112,1312019,1324009,1450019,1550119,1560019,1660019,1671002,1710019,1750019,1760019,1850019,1860019,1960019
北京,联通,1300113,1312020,1324010,1450020,1550120,1560020,1660100,1671003,1711000,1750020,1760020,1850020,1860020,1960100
北京,联通,1300114,1312021,1324011,1450021,1550121,1560021,1660101,1671004,1711001,1750021,1760021,1850021,1860021,1960101
北京,联通,1300115,1312022,1324012,1450022,1550122,1560022,1660102,1671005,1711002,1750022,1760022,1850022,1860022,1960102
北京,联通,1300116,1312023,1324013,1450023,1550123,1560023,1660103,1671006,1711003,1750023,1760023,1850023,1860023,1960103
北京,联通,1300117,1312024,1324014,1450024,1550124,1560024,1660104,1671007,1711004,1750024,1760024,1850024,1860024,1960104
北京,联通,1300118,1312025,1324015,1450025,1550125,1560025,1660105,1671008,1711005,1750025,1760025,1850025,1860025,1960105
北京,联通,1300119,1312026,1324016,1450026,1550126,1560026,1660106,1671009,1711006,1750026,1760026,1850026,1860026,1960106
北京,联通,1300120,1312027,1324017,1450027,1550127,1560027,1660107,1671010,1711007,1750027,1760027,1850027,1860027,1960107
