省份,运营商,192 号段
吉林,广电,1920430
吉林,广电,1920431
吉林,广电,1920432
吉林,广电,1920433
吉林,广电,1920434
吉林,广电,1920435
吉林,广电,1920436
吉林,广电,1920437
吉林,广电,1920438
吉林,广电,1920439
吉林,广电,1920440
吉林,广电,1920441
吉林,广电,1920442
吉林,广电,1920443
吉林,广电,1920444
吉林,广电,1920445
吉林,广电,1920446
吉林,广电,1920447
吉林,广电,1920448
吉林,广电,1920449
吉林,广电,1921430
吉林,广电,1921431
吉林,广电,1921432
吉林,广电,1921433
吉林,广电,1921434
吉林,广电,1921435
吉林,广电,1921436
吉林,广电,1921437
吉林,广电,1921438
吉林,广电,1921439
吉林,广电,1922331
吉林,广电,1922431
吉林,广电,1922500
吉林,广电,1922501
吉林,广电,1922502
吉林,广电,1922503
吉林,广电,1922504
吉林,广电,1922505
吉林,广电,1922506
吉林,广电,1922507
吉林,广电,1922508
吉林,广电,1922509
吉林,广电,1922600
吉林,广电,1922601
吉林,广电,1922602
吉林,广电,1922603
吉林,广电,1922604
吉林,广电,1922605
吉林,广电,1922606
吉林,广电,1922607
吉林,广电,1922608
吉林,广电,1922609
吉林,广电,1922610
吉林,广电,1922611
吉林,广电,1922612
吉林,广电,1922613
吉林,广电,1922614
吉林,广电,1922615
吉林,广电,1922616
吉林,广电,1922617
吉林,广电,1922618
吉林,广电,1922619
吉林,广电,1922620
吉林,广电,1922621
吉林,广电,1922622
吉林,广电,1922623
吉林,广电,1922624
吉林,广电,1922625
吉林,广电,1922626
吉林,广电,1922627
吉林,广电,1922628
吉林,广电,1922629
吉林,广电,1922640
吉林,广电,1922641
吉林,广电,1922642
吉林,广电,1922643
吉林,广电,1922644
吉林,广电,1922645
吉林,广电,1922646
吉林,广电,1922647
吉林,广电,1922648
吉林,广电,1922649
吉林,广电,1922990
吉林,广电,1922991
吉林,广电,1922992
吉林,广电,1922993
吉林,广电,1922994
吉林,广电,1922995
吉林,广电,1922996
吉林,广电,1922997
吉林,广电,1922998
吉林,广电,1922999
吉林,广电,1923430
吉林,广电,1923431
吉林,广电,1923432
吉林,广电,1923433
吉林,广电,1923434
吉林,广电,1923435
吉林,广电,1923436
吉林,广电,1923437
吉林,广电,1923438
吉林,广电,1923439
吉林,广电,1923440
吉林,广电,1923441
吉林,广电,1923442
吉林,广电,1923443
吉林,广电,1923444
吉林,广电,1923445
吉林,广电,1923446
吉林,广电,1923447
吉林,广电,1923448
吉林,广电,1923449
吉林,广电,1924420
吉林,广电,1924421
吉林,广电,1924422
吉林,广电,1924423
吉林,广电,1924424
吉林,广电,1924425
吉林,广电,1924426
吉林,广电,1924427
吉林,广电,1924428
吉林,广电,1924429
吉林,广电,1924430
吉林,广电,1924431
吉林,广电,1924432
吉林,广电,1924433
吉林,广电,1924434
吉林,广电,1924435
吉林,广电,1924436
吉林,广电,1924437
吉林,广电,1924438
吉林,广电,1924439
吉林,广电,1927430
吉林,广电,1927431
吉林,广电,1927432
吉林,广电,1927433
吉林,广电,1927434
吉林,广电,1927435
吉林,广电,1927436
吉林,广电,1927437
吉林,广电,1927438
吉林,广电,1927439
吉林,广电,1928080
吉林,广电,1928081
吉林,广电,1928082
吉林,广电,1928083
吉林,广电,1928084
吉林,广电,1928085
吉林,广电,1928086
吉林,广电,1928087
吉林,广电,1928088
吉林,广电,1928089
吉林,广电,1928420
吉林,广电,1928421
吉林,广电,1928422
吉林,广电,1928423
吉林,广电,1928424
吉林,广电,1928425
吉林,广电,1928426
吉林,广电,1928427
吉林,广电,1928428
吉林,广电,1928429
吉林,广电,1928430
吉林,广电,1928431
吉林,广电,1928432
吉林,广电,1928433
吉林,广电,1928434
吉林,广电,1928435
吉林,广电,1928436
吉林,广电,1928437
吉林,广电,1928438
吉林,广电,1928439
吉林,广电,1929020
吉林,广电,1929021
吉林,广电,1929022
吉林,广电,1929023
吉林,广电,1929024
吉林,广电,1929025
吉林,广电,1929026
吉林,广电,1929027
吉林,广电,1929028
吉林,广电,1929029
吉林,广电,1929430
吉林,广电,1929431
吉林,广电,1929432
吉林,广电,1929433
吉林,广电,1929434
吉林,广电,1929435
吉林,广电,1929436
吉林,广电,1929437
吉林,广电,1929438
吉林,广电,1929439
吉林,广电,1929440
吉林,广电,1929441
吉林,广电,1929442
吉林,广电,1929443
吉林,广电,1929444
吉林,广电,1929445
吉林,广电,1929446
吉林,广电,1929447
吉林,广电,1929448
吉林,广电,1929449
吉林,广电,1929680
吉林,广电,1929681
吉林,广电,1929682
吉林,广电,1929683
吉林,广电,1929684
吉林,广电,1929685
吉林,广电,1929686
吉林,广电,1929687
吉林,广电,1929688
吉林,广电,1929689
