省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
吉林,电信,1330430,1530430,1621430,1730006,1770430,1800430,1810048,1890430,1900300,1910430,1930250,1990430
吉林,电信,1330431,1530431,1621431,1730430,1770431,1800431,1810049,1890431,1900301,1910431,1930251,1990431
吉林,电信,1330432,1530432,1621432,1730431,1770432,1800432,1810430,1890432,1900302,1910432,1930252,1990432
吉林,电信,1330433,1530433,1621433,1730432,1770433,1800433,1810431,1890433,1900303,1910433,1930253,1990433
吉林,电信,1330434,1530434,1621434,1730433,1770434,1800434,1810432,1890434,1900304,1910434,1930254,1990434
吉林,电信,1330435,1530435,1621435,1730434,1770435,1800435,1810433,1890435,1900305,1910435,1930255,1990435
吉林,电信,1330436,1530436,1621436,1730435,1770436,1800436,1810434,1890436,1900306,1910436,1930256,1990436
吉林,电信,1330437,1530437,1621437,1730436,1770437,1800437,1810435,1890437,1900307,1910437,1930257,1990437
吉林,电信,1330438,1530438,1621438,1730437,1770438,1800438,1810436,1890438,1900308,1910438,1930258,1990438
吉林,电信,1330439,1530439,1621439,1730438,1770439,1800439,1810437,1890439,1900309,1910439,1930259,1990439
吉林,电信,1330440,1530440,1622430,1730439,1774300,1800440,1810438,1890440,1900430,1910440,1930430,1990440
吉林,电信,1330441,1530441,1622431,1734380,1774301,1800441,1810439,1890441,1900431,1910441,1930431,1990441
吉林,电信,1330442,1530442,1622432,1734381,1774302,1800442,1810440,1890442,1900432,1910442,1930432,1990442
吉林,电信,1330443,1530443,1622433,1734382,1774303,1800443,1810441,1890443,1900433,1910443,1930433,1990443
吉林,电信,1330444,1530444,1622434,1734383,1774304,1800444,1810442,1890444,1900434,1910444,1930434,1990444
吉林,电信,1330445,1530445,1622435,1734384,1774305,1800445,1810443,1890445,1900435,1910445,1930435,1990445
吉林,电信,1330446,1530446,1622436,1734385,1774306,1800446,1810444,1890446,1900436,1910446,1930436,1990446
吉林,电信,1330447,1530447,1622437,1734386,1774307,1800447,1810445,1890447,1900437,1910447,1930437,1990447
吉林,电信,1330448,1530448,1622438,1734387,1774308,1800448,1810446,1890448,1900438,1910448,1930438,1990448
吉林,电信,1330449,1530449,1622439,1734388,1774309,1800449,1810447,1890449,1900439,1910449,1930439,1990449
吉林,电信,1331430,1532630,1623200,1734389,1774310,1804300,1810448,1894300,1904310,1914450,1936370,1991720
吉林,电信,1331431,1532631,1623201,1738680,1774311,1804301,1810449,1894301,1904311,1914451,1936371,1991721
吉林,电信,1331432,1532632,1623202,1738681,1774312,1804302,1814300,1894302,1904312,1914452,1936372,1991722
吉林,电信,1331433,1532633,1623203,1738682,1774313,1804303,1814301,1894303,1904313,1914453,1936373,1991723
吉林,电信,1331434,1532634,1623204,1738683,1774314,1804304,1814302,1894304,1904314,1914454,1936647,1991724
吉林,电信,1331435,1532635,1623205,1738684,1774315,1804305,1814303,1894305,1904315,1914455,1939000,1991725
吉林,电信,1331436,1532636,1623206,1738685,1774316,1804306,1814304,1894306,1904316,1914456,1939001,1991726
吉林,电信,1331437,1532637,1623207,1738686,1774317,1804307,1814305,1894307,1904317,1914457,1939002,1991727
吉林,电信,1331438,1532638,1623208,1738687,1774318,1804308,1814306,1894308,1904318,1914458,1939003,1991728
吉林,电信,1331439,1532639,1623209,1738688,1774319,1804309,1814307,1894309,1904319,1914459,1939004,1991729
吉林,电信,1332140,1532640,1623210,1738689,1774340,1804310,1814308,1894310,1904320,,1939005,1994480
吉林,电信,1332141,1532641,1623211,1739000,1774341,1804311,1814309,1894311,1904321,,1939006,1994481
吉林,电信,1332142,1532642,1623212,1739001,1774342,1804312,1814310,1894312,1904322,,1939007,1994482
吉林,电信,1332143,1532643,1623213,1739002,1774343,1804313,1814311,1894313,1904323,,1939008,1994483
吉林,电信,1332144,1532644,1623214,1739003,1774344,1804314,1814312,1894314,1904324,,1939009,1994484
吉林,电信,1332145,1532645,1623215,1739004,1774345,1804315,1814313,1894315,1904325,,1939620,1994485
