省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
吉林,移动,1340430,1350080,1360430,1370430,1380043,1390430,1470430,1480940,1500430,1510430,1520430,1570400,1580430,1590430,1650037,1700430,1722114,1780400,1820430,1830430,1840009,1870430,1880430,1950030,1970043,1980430
吉林,移动,1340431,1350081,1360431,1370431,1380044,1390431,1470431,1480941,1500431,1510431,1520431,1570401,1580431,1590431,1650070,1700431,1722115,1780401,1820431,1830431,1840430,1870431,1880431,1950031,1970431,1980431
吉林,移动,1340432,1350082,1360432,1370432,1380430,1390432,1470432,1480942,1500432,1510432,1520432,1570402,1580432,1590432,1650071,1700432,1722116,1780402,1820432,1830432,1840431,1870432,1880432,1950032,1970432,1980432
吉林,移动,1340433,1350083,1360433,1370433,1380431,1390433,1470433,1480943,1500433,1510433,1520433,1570403,1580433,1590433,1650072,1700433,1722117,1780403,1820433,1830433,1840432,1870433,1880433,1950033,1970433,1980433
吉林,移动,1340434,1350084,1360434,1370434,1380432,1390434,1470434,1480944,1500434,1510434,1520434,1570404,1580434,1590434,1650073,1700434,1722118,1780404,1820434,1830434,1840433,1870434,1880434,1950034,1970434,1980434
吉林,移动,1340435,1350085,1360435,1370435,1380433,1390435,1470435,1480945,1500435,1510435,1520435,1570405,1580435,1590435,1650075,1700435,1722119,1780405,1820435,1830435,1840434,1870435,1880435,1950035,1970435,1980435
吉林,移动,1340436,1350086,1360436,1370436,1380434,1390436,1470436,1480946,1500436,1510436,1520436,1570406,1580436,1590436,1650076,1700436,1722120,1780406,1820436,1830436,1840435,1870436,1880436,1950036,1970436,1980436
吉林,移动,1340437,1350087,1360437,1370437,1380435,1390437,1470437,1480947,1500437,1510437,1520437,1570407,1580437,1590437,1650078,1700437,1722121,1780407,1820437,1830437,1840436,1870437,1880437,1950037,1970437,1980437
吉林,移动,1340438,1350088,1360438,1370438,1380436,1390438,1470438,1480948,1500438,1510438,1520438,1570408,1580438,1590438,1650079,1700864,1722122,1780408,1820438,1830438,1840437,1870438,1880438,1950038,1970438,1980438
吉林,移动,1340439,1350089,1360439,1370439,1380437,1390439,1470439,1480949,1500439,1510439,1520439,1570409,1580439,1590439,1650099,1700865,1722123,1780409,1820439,1830439,1840438,1870439,1880439,1950039,1970439,1980439
吉林,移动,1340440,1350090,1360440,1370440,1380438,1390440,1471720,1480950,1500440,1510440,1520440,1570430,1580440,1590440,1650144,1700866,1722124,1780430,1820440,1830440,1840439,1870440,1880440,1950430,1972330,1981577
吉林,移动,1340441,1350091,1360441,1370441,1380439,1390441,1471721,1480951,1500441,1510441,1520441,1570431,1580441,1590441,1650164,1701430,1722125,1780431,1820441,1830441,1844300,1870441,1880441,1950431,1972331,1981578
吉林,移动,1340442,1350092,1360442,1370442,1380440,1390442,1471722,1480952,1500442,1510442,1520442,1570432,1580442,1590442,1650166,1701431,1722126,1780432,1820442,1830442,1844301,1870442,1880442,1950432,1972332,1981579
吉林,移动,1340443,1350093,1360443,1370443,1380441,1390443,1471723,1480953,1500443,1510443,1520443,1570433,1580443,1590443,1650196,1701432,1722127,1780433,1820443,1830443,1844302,1870443,1880443,1950433,1972333,1981580
吉林,移动,1340444,1350094,1360444,1370444,1380442,1390444,1471724,1480954,1500444,1510444,1520444,1570434,1580444,1590444,1650197,1701433,1722128,1780434,1820444,1830444,1844303,1870444,1880444,1950434,1972334,1981581
吉林,移动,1340445,1350095,1360445,1370445,1380443,1390445,1471725,1481000,1500445,1510445,1520445,1570435,1580445,1590445,1650198,1701434,1722129,1780435,1820445,1830445,1844304,1870445,1880445,1950435,1972335,1981582
吉林,移动,1340446,1350096,1360446,1370446,1380444,1390446,1471726,1481001,1500446,1510446,1520446,1570436,1580446,1590446,1650199,1701435,1722130,1780436,1820446,1830446,1844305,1870446,1880446,1950436,1972900,1981583
吉林,移动,1340447,1350097,1360447,1370447,1380445,1390447,1471727,1481002,1500447,1510447,1520447,1570437,1580447,1590447,1650264,1701436,1722131,1780437,1820447,1830447,1844306,1870447,1880447,1950437,1972905,1981584
吉林,移动,1340448,1350098,1360448,1370448,1380446,1390448,1471728,1481003,1500448,1510448,1520448,1570438,1580448,1590448,1650265,1701437,1722132,1780438,1820448,1830448,1844307,1870448,1880448,1950438,1972907,1981585
吉林,移动,1340449,1350099,1360449,1370449,1380447,1390449,1471729,1481004,1500449,1510449,1520449,1570439,1580449,1590449,1650267,1701438,1722133,1780439,1820449,1830449,1844308,1870449,1880449,1950439,1972910,1984280
吉林,移动,1340450,1350430,1361070,1373280,1380448,1394300,1471730,1481005,1504300,1511430,1524300,1570440,1583440,1594300,1650268,1701439,1722134,1780800,1824300,1834300,1844309,1874300,1884300,1952222,1972918,1984281
吉林,移动,1340451,1350431,1361071,1373281,1380449,1394301,1471731,1481006,1504301,1511431,1524301,1570441,1583441,1594301,1650269,1701440,1722135,1780801,1824301,1834301,1844310,1874301,1884301,1952346,1972920,1984282
