省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
吉林,联通,1300091,1310430,1320430,1450500,1550000,1560430,1660430,1670005,1710890,1750430,1760430,1850430,1860430,1960430
吉林,联通,1300900,1310431,1320431,1450501,1550001,1560431,1660431,1670345,1710891,1750431,1760431,1850431,1860431,1960431
吉林,联通,1300901,1310432,1320432,1450502,1550002,1560432,1660432,1670431,1710892,1750432,1760432,1850432,1860432,1960432
吉林,联通,1300902,1310433,1320433,1450503,1550003,1560433,1660433,1670432,1710893,1750433,1760433,1850433,1860433,1960433
吉林,联通,1300903,1310434,1320434,1450504,1550004,1560434,1660434,1670433,1710894,1750434,1760434,1850434,1860434,1960434
吉林,联通,1300904,1310435,1320435,1450505,1550005,1560435,1660435,1670434,1710895,1750435,1760435,1850435,1860435,1960435
吉林,联通,1300905,1310436,1320436,1450506,1550006,1560436,1660436,1670435,1710896,1750436,1760436,1850436,1860436,1960436
吉林,联通,1300906,1310437,1320437,1450507,1550007,1560437,1660437,1670436,1710897,1750437,1760437,1850437,1860437,1960437
吉林,联通,1300907,1310438,1320438,1450508,1550008,1560438,1660438,1670437,1710898,1750438,1760438,1850438,1860438,1960438
吉林,联通,1300908,1310439,1320439,1450509,1550009,1560439,1660439,1670438,1710899,1750439,1760439,1850439,1860439,1960439
吉林,联通,1300909,1310440,1320440,1450510,1550010,1560440,1660440,1670439,1710900,1750440,1760440,1850440,1860440,1960440
吉林,联通,1300910,1310441,1320441,1450511,1550011,1560441,1660441,1670442,1710901,1750441,1760441,1850441,1860441,1960441
吉林,联通,1300911,1310442,1320442,1450512,1550012,1560442,1660442,1670448,1710902,1750442,1760442,1850442,1860442,1960442
吉林,联通,1300912,1310443,1320443,1450513,1550013,1560443,1660443,1671430,1710903,1750443,1760443,1850443,1860443,1960443
