省份,运营商,192 号段
四川,广电,1920280
四川,广电,1920281
四川,广电,1920282
四川,广电,1920283
四川,广电,1920284
四川,广电,1920285
四川,广电,1920286
四川,广电,1920287
四川,广电,1920288
四川,广电,1920289
四川,广电,1920800
四川,广电,1920801
四川,广电,1920802
四川,广电,1920803
四川,广电,1920804
四川,广电,1920805
四川,广电,1920806
四川,广电,1920807
四川,广电,1920808
四川,广电,1920809
四川,广电,1920810
四川,广电,1920811
四川,广电,1920812
四川,广电,1920813
四川,广电,1920814
四川,广电,1920815
四川,广电,1920816
四川,广电,1920817
四川,广电,1920818
四川,广电,1920819
四川,广电,1920820
四川,广电,1920821
四川,广电,1920822
四川,广电,1920823
四川,广电,1920824
四川,广电,1920825
四川,广电,1920826
四川,广电,1920827
四川,广电,1920828
四川,广电,1920829
四川,广电,1920830
四川,广电,1920831
四川,广电,1920832
四川,广电,1920833
四川,广电,1920834
四川,广电,1920835
四川,广电,1920836
四川,广电,1920837
四川,广电,1920838
四川,广电,1920839
四川,广电,1921280
四川,广电,1921281
四川,广电,1921282
四川,广电,1921283
四川,广电,1921284
四川,广电,1921285
四川,广电,1921286
四川,广电,1921287
四川,广电,1921288
四川,广电,1921289
四川,广电,1921810
四川,广电,1921811
四川,广电,1921812
四川,广电,1921813
四川,广电,1921814
四川,广电,1921815
四川,广电,1921816
四川,广电,1921817
四川,广电,1921818
四川,广电,1921819
四川,广电,1921820
四川,广电,1921821
四川,广电,1921822
四川,广电,1921823
四川,广电,1921824
四川,广电,1921825
四川,广电,1921826
四川,广电,1921827
四川,广电,1921828
四川,广电,1921829
四川,广电,1921830
四川,广电,1921831
四川,广电,1921832
四川,广电,1921833
四川,广电,1921834
四川,广电,1921835
四川,广电,1921836
四川,广电,1921837
四川,广电,1921838
四川,广电,1921839
四川,广电,1921840
四川,广电,1921841
四川,广电,1921842
四川,广电,1921843
四川,广电,1921844
四川,广电,1921845
四川,广电,1921846
四川,广电,1921847
四川,广电,1921848
四川,广电,1921849
四川,广电,1922318
四川,广电,1922328
四川,广电,1922339
四川,广电,1922341
四川,广电,1922342
四川,广电,1922344
四川,广电,1922428
四川,广电,1922448
四川,广电,1922485
四川,广电,1922494
四川,广电,1922495
四川,广电,1923280
四川,广电,1923281
四川,广电,1923282
四川,广电,1923283
四川,广电,1923284
四川,广电,1923285
四川,广电,1923286
四川,广电,1923287
四川,广电,1923288
四川,广电,1923289
四川,广电,1923800
四川,广电,1923801
四川,广电,1923802
四川,广电,1923803
四川,广电,1923804
四川,广电,1923805
四川,广电,1923806
四川,广电,1923807
四川,广电,1923808
四川,广电,1923809
四川,广电,1923810
四川,广电,1923811
四川,广电,1923812
四川,广电,1923813
四川,广电,1923814
四川,广电,1923815
四川,广电,1923816
四川,广电,1923817
四川,广电,1923818
四川,广电,1923819
四川,广电,1923820
四川,广电,1923821
四川,广电,1923822
四川,广电,1923823
四川,广电,1923824
四川,广电,1923825
四川,广电,1923826
四川,广电,1923827
四川,广电,1923828
四川,广电,1923829
四川,广电,1923830
四川,广电,1923831
四川,广电,1923832
四川,广电,1923833
四川,广电,1923834
四川,广电,1923835
四川,广电,1923836
四川,广电,1923837
四川,广电,1923838
四川,广电,1923839
四川,广电,1924280
四川,广电,1924281
四川,广电,1924282
四川,广电,1924283
四川,广电,1924284
四川,广电,1924285
四川,广电,1924286
四川,广电,1924287
四川,广电,1924288
四川,广电,1924289
四川,广电,1924810
四川,广电,1924811
四川,广电,1924812
四川,广电,1924813
四川,广电,1924814
四川,广电,1924815
四川,广电,1924816
四川,广电,1924817
四川,广电,1924818
四川,广电,1924819
四川,广电,1924820
四川,广电,1924821
四川,广电,1924822
