省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
四川,电信,1330800,1530800,1621280,1730280,1770280,1800050,1810080,1890800,1900090,1910260,1930260,1990800
四川,电信,1330801,1530801,1621281,1730281,1770281,1800051,1810081,1890801,1900091,1910261,1930261,1990801
四川,电信,1330802,1530802,1621282,1730282,1770282,1800052,1810082,1890802,1900092,1910262,1930262,1990802
四川,电信,1330803,1530803,1621830,1730283,1770283,1800053,1810083,1890803,1900093,1910263,1930263,1990803
四川,电信,1330804,1530804,1621831,1730284,1770284,1800054,1810800,1890804,1900094,1910264,1930264,1990804
四川,电信,1330805,1530805,1621832,1730285,1770285,1800055,1810801,1890805,1900095,1910265,1930265,1990805
四川,电信,1330806,1530806,1621833,1730286,1770286,1800056,1810802,1890806,1900096,1910266,1930266,1990806
四川,电信,1330807,1530807,1621834,1730287,1770287,1800057,1810803,1890807,1900097,1910267,1930267,1990807
四川,电信,1330808,1530808,1621835,1730288,1770288,1800058,1810804,1890808,1900098,1910268,1930268,1990808
四川,电信,1330809,1530809,1621836,1730289,1770289,1800059,1810805,1890809,1900099,1910269,1930269,1990809
四川,电信,1330810,1530810,1621837,1730800,1770800,1800800,1810806,1890810,1900280,1910280,1930280,1990810
四川,电信,1330811,1530811,1621838,1730801,1770801,1800801,1810807,1890811,1900281,1910281,1930281,1990811
四川,电信,1330812,1530812,1621839,1730802,1770802,1800802,1810808,1890812,1900282,1910282,1930282,1990812
四川,电信,1330813,1530813,1621840,1730803,1770803,1800803,1810809,1890813,1900283,1910283,1930283,1990813
四川,电信,1330814,1530814,1621841,1730804,1770804,1800804,1810810,1890814,1900284,1910284,1930284,1990814
四川,电信,1330815,1530815,1621842,1730805,1770805,1800805,1810811,1890815,1900285,1910285,1930285,1990815
四川,电信,1330816,1530816,1621843,1730806,1770806,1800806,1810812,1890816,1900286,1910286,1930286,1990816
四川,电信,1330817,1530817,1621844,1730807,1770807,1800807,1810813,1890817,1900287,1910287,1930287,1990817
四川,电信,1330818,1530818,1621845,1730808,1770808,1800808,1810814,1890818,1900288,1910288,1930288,1990818
四川,电信,1330819,1530819,1621846,1730809,1770809,1800809,1810815,1890819,1900289,1910289,1930289,1990819
四川,电信,1330820,1530820,1621847,1730810,1770810,1800810,1810816,1890820,1900800,1910800,1930800,1990820
四川,电信,1330821,1530821,1621848,1730811,1770811,1800811,1810817,1890821,1900801,1910801,1930801,1990821
四川,电信,1330822,1530822,1621849,1730812,1770812,1800812,1810818,1890822,1900802,1910802,1930802,1990822
