省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
四川,移动,1340230,1350800,1360800,1370090,1380028,1390080,1470250,1500280,1510280,1520280,1570020,1580280,1590280,1650009,1700042,1720132,1780280,1820000,1830280,1840280,1870280,1880080,1950000,1970812,1980280
四川,移动,1340231,1350801,1360801,1370091,1380081,1390081,1470251,1500281,1510281,1520281,1570021,1580281,1590281,1650010,1700138,1720133,1780281,1820001,1830281,1840281,1870281,1880081,1950001,1970813,1980281
四川,移动,1340232,1350802,1360802,1370092,1380082,1390090,1470252,1500282,1510282,1520282,1570022,1580282,1590282,1650020,1700139,1720800,1780282,1820002,1830282,1840282,1870282,1880082,1950002,1970816,1980282
四川,移动,1340233,1350803,1360803,1370093,1380083,1390800,1470253,1500283,1510283,1520283,1570023,1580283,1590283,1650025,1700280,1720801,1780283,1820003,1830283,1840283,1870283,1880083,1950003,1970817,1980283
四川,移动,1340234,1350804,1360804,1370094,1380800,1390801,1470254,1500284,1510284,1520284,1570024,1580284,1590284,1650028,1700281,1720802,1780284,1820004,1830284,1840284,1870284,1880084,1950004,1970818,1980284
四川,移动,1340235,1350805,1360805,1370095,1380801,1390802,1470255,1500285,1510285,1520285,1570025,1580285,1590285,1650093,1700282,1720803,1780285,1820005,1830285,1840285,1870285,1880085,1950005,1970825,1980285
四川,移动,1340236,1350806,1360806,1370096,1380802,1390803,1470256,1500286,1510286,1520286,1570026,1580286,1590286,1650120,1700283,1720804,1780286,1820006,1830286,1840286,1870286,1880086,1950006,1970826,1980286
四川,移动,1340237,1350807,1360807,1370097,1380803,1390804,1470257,1500287,1510287,1520287,1570027,1580287,1590287,1650148,1700284,1720805,1780287,1820007,1830287,1840287,1870287,1880087,1950007,1970827,1980287
四川,移动,1340238,1350808,1360808,1370098,1380804,1390805,1470258,1500288,1510288,1520288,1570028,1580288,1590288,1650280,1700285,1720806,1780288,1820008,1830288,1840288,1870288,1880088,1950008,1970830,1980288
四川,移动,1340239,1350809,1360809,1370099,1380805,1390806,1470259,1500289,1510289,1520289,1570029,1580289,1590289,1650281,1700286,1720807,1780289,1820009,1830289,1840289,1870289,1880089,1950009,1970831,1980289
四川,移动,1340280,1350810,1360810,1370800,1380806,1390807,1470260,1500810,1510810,1520810,1570030,1580810,1590810,1650282,1700287,1720808,1780810,1820010,1830810,1840810,1870810,1880090,1950280,1970832,1980810
四川,移动,1340281,1350811,1360811,1370801,1380807,1390808,1470261,1500811,1510811,1520811,1570031,1580811,1590811,1650283,1700288,1720809,1780811,1820011,1830811,1840811,1870811,1880091,1950281,1970833,1980811
四川,移动,1340282,1350812,1360812,1370802,1380808,1390809,1470262,1500812,1510812,1520812,1570032,1580812,1590812,1650284,1700289,1720810,1780812,1820012,1830812,1840812,1870812,1880092,1950282,1970834,1980812
四川,移动,1340283,1350813,1360813,1370803,1380809,1390810,1470263,1500813,1510813,1520813,1570033,1580813,1590813,1650285,1700644,1720811,1780813,1820013,1830813,1840813,1870813,1880093,1950283,1970835,1980813
四川,移动,1340284,1350814,1360814,1370804,1380810,1390811,1470264,1500814,1510814,1520814,1570034,1580814,1590814,1650500,1700823,1720812,1780814,1820014,1830814,1840814,1870814,1880094,1950284,1970836,1980814
四川,移动,1340285,1350815,1360815,1370805,1380811,1390812,1470265,1500815,1510815,1520815,1570035,1580815,1590815,1650522,1700824,1720813,1780815,1820015,1830815,1840815,1870815,1880095,1950285,1970837,1980815
四川,移动,1340286,1350816,1360816,1370806,1380812,1390813,1470266,1500816,1510816,1520816,1570036,1580816,1590816,1650567,1700825,1720814,1780816,1820016,1830816,1840816,1870816,1880096,1950286,1970838,1980816
四川,移动,1340287,1350817,1360817,1370807,1380813,1390814,1470267,1500817,1510817,1520817,1570037,1580817,1590817,1650603,1700826,1720815,1780817,1820017,1830817,1840817,1870817,1880097,1950287,1970839,1980817
四川,移动,1340288,1350818,1360818,1370808,1380814,1390815,1470268,1500818,1510818,1520818,1570038,1580818,1590818,1650616,1700827,1720816,1780818,1820018,1830818,1840818,1870818,1880098,1950288,1971028,1980818
四川,移动,1340289,1350819,1360819,1370809,1380815,1390816,1470269,1500819,1510819,1520819,1570039,1580819,1590819,1650640,1700828,1720817,1780819,1820019,1830819,1840819,1870819,1880099,1950289,1971081,1980819
四川,移动,1340400,1350820,1360820,1370810,1380816,1390817,1470280,1500820,1510820,1520820,1570040,1580820,1590820,1650653,1700829,1720818,1780820,1820020,1830820,1840820,1870820,1880280,1950780,1971082,1980820
四川,移动,1340401,1350821,1360821,1370811,1380817,1390818,1470281,1500821,1510821,1520821,1570041,1580821,1590821,1650661,1700842,1720819,1780821,1820021,1830821,1840821,1870821,1880281,1950781,1971083,1980821
四川,移动,1340402,1350822,1360822,1370812,1380818,1390819,1470282,1500822,1510822,1520822,1570042,1580822,1590822,1650662,1700843,1720820,1780822,1820022,1830822,1840822,1870822,1880282,1950782,1971713,1980822
四川,移动,1340403,1350823,1360823,1370813,1380819,1390820,1470283,1500823,1510823,1520823,1570043,1580823,1590823,1650664,1700844,1720821,1780823,1820023,1830823,1840823,1870823,1880283,1950783,1971714,1980823
四川,移动,1340404,1350824,1360824,1370814,1380820,1390821,1470284,1500824,1510824,1520824,1570044,1580824,1590824,1650665,1701080,1720822,1780824,1820024,1830824,1840824,1870824,1880284,1950784,1971715,1980824
四川,移动,1340405,1350825,1360825,1370815,1380821,1390822,1470285,1500825,1510825,1520825,1570045,1580825,1590825,1650668,1701081,1720823,1780825,1820025,1830825,1840825,1870825,1880285,1950785,1971716,1980825
四川,移动,1340406,1350826,1360826,1370816,1380822,1390823,1470286,1500826,1510826,1520826,1570046,1580826,1590826,1650801,1701082,1720824,1780826,1820026,1830826,1840826,1870826,1880286,1950786,1971717,1980826
四川,移动,1340407,1350827,1360827,1370817,1380823,1390824,1470287,1500827,1510827,1520827,1570047,1580827,1590827,1650812,1701083,1720825,1780827,1820027,1830827,1840827,1870827,1880287,1950787,1971718,1980827
四川,移动,1340408,1350828,1360828,1370818,1380824,1390828,1470288,1500828,1510828,1520828,1570048,1580828,1590828,1650813,1701084,1720826,1780828,1820028,1830828,1840828,1870828,1880288,1950788,1971719,1980828
四川,移动,1340409,1350829,1360829,1370819,1380825,1390829,1470289,1500829,1510829,1520829,1570049,1580829,1590829,1650814,1701085,1720827,1780829,1820029,1830829,1840829,1870829,1880289,1950789,1971770,1980829
四川,移动,1340800,1351810,1361800,1370820,1380826,1390900,1470360,1500830,1510830,1520830,1570050,1580830,1590830,1650815,1701086,1720828,1780830,1820030,1830830,1840830,1870830,1880800,1950810,1971771,1980830
四川,移动,1340801,1351811,1361801,1370821,1380827,1390901,1470361,1500831,1510831,1520831,1570051,1580831,1590831,1650816,1701087,1720829,1780831,1820031,1830831,1840831,1870831,1880801,1950811,1971772,1980831
四川,移动,1340802,1351812,1361802,1370822,1380828,1390902,1470362,1500832,1510832,1520832,1570052,1580832,1590832,1650817,1701088,1720830,1780832,1820032,1830832,1840832,1870832,1880802,1950812,1971773,1980832
四川,移动,1340803,1351813,1361803,1370823,1380829,1390903,1470363,1500833,1510833,1520833,1570053,1580833,1590833,1650818,1701089,1720831,1780833,1820033,1830833,1840833,1870833,1880803,1950813,1971774,1980833
四川,移动,1340804,1351814,1361804,1370824,1388000,1390904,1470364,1500834,1510834,1520834,1570054,1580834,1590834,1650824,1701980,1720832,1780834,1820034,1830834,1840834,1870834,1880804,1950814,1971775,1980834
四川,移动,1340805,1351815,1361805,1370825,1388001,1390905,1470365,1500835,1510835,1520835,1570055,1580835,1590835,1650825,1701981,1720833,1780835,1820035,1830835,1840835,1870835,1880805,1950815,1971776,1980835
