省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
四川,联通,1300003,1310800,1320810,1452800,1467869,1550280,1560800,1660280,1670028,1711890,1750280,1760280,1850280,1860280,1960280
四川,联通,1300004,1310803,1320811,1452801,,1550281,1560801,1660281,1670034,1711891,1750281,1760281,1850281,1860281,1960281
四川,联通,1300280,1310805,1320812,1452802,,1550282,1560802,1660282,1670103,1711892,1750282,1760282,1850282,1860282,1960282
四川,联通,1300281,1310806,1320813,1452803,,1550283,1560803,1660283,1670105,1711893,1750283,1760283,1850283,1860283,1960283
四川,联通,1300282,1310807,1320814,1452804,,1550284,1560804,1660284,1670112,1711894,1750284,1760284,1850284,1860284,1960284
四川,联通,1300283,1310808,1320815,1452805,,1550285,1560805,1660285,1670113,1711895,1750285,1760285,1850285,1860285,1960285
四川,联通,1300284,1310810,1320816,1452806,,1550286,1560806,1660286,1670116,1711896,1750286,1760286,1850286,1860286,1960286
四川,联通,1300285,1310811,1320817,1452807,,1550287,1560807,1660287,1670172,1711897,1750287,1760287,1850287,1860287,1960287
四川,联通,1300286,1310812,1320818,1452808,,1550288,1560808,1660288,1670238,1711898,1750288,1760288,1850288,1860288,1960288
四川,联通,1300287,1310814,1320819,1452809,,1550289,1560809,1660289,1670280,1711899,1750289,1760289,1850289,1860289,1960289
四川,联通,1300288,1310815,1320820,1452810,,1550800,1560810,1660800,1670281,1711900,1750800,1760800,1850800,1860800,1960820
四川,联通,1300289,1310816,1320821,1452811,,1550801,1560811,1660801,1670283,1711901,1750801,1760801,1850801,1860801,1960821
四川,联通,1300640,1310817,1320822,1452812,,1550802,1560812,1660802,1670284,1711902,1750802,1760802,1850802,1860802,1960822
四川,联通,1300641,1310818,1320823,1452813,,1550803,1560813,1660803,1670286,1711903,1750803,1760803,1850803,1860803,1960823
四川,联通,1300642,1310819,1320824,1452814,,1550804,1560814,1660804,1670402,1711904,1750804,1760804,1850804,1860804,1960824
四川,联通,1300643,1310820,1320825,1452815,,1550805,1560815,1660805,1670428,1711905,1750805,1760805,1850805,1860805,1960825
四川,联通,1300644,1310821,1320826,1452816,,1550806,1560816,1660806,1670495,1711906,1750806,1760806,1850806,1860806,1960826
四川,联通,1300645,1310822,1320827,1452817,,1550807,1560817,1660807,1670812,1711907,1750807,1760807,1850807,1860807,1960827
四川,联通,1300646,1310823,1320828,1452818,,1550808,1560818,1660808,1670813,1711908,1750808,1760808,1850808,1860808,1960828
四川,联通,1300647,1310824,1320829,1452819,,1550809,1560819,1660809,1670816,1711909,1750809,1760809,1850809,1860809,1960829
四川,联通,1300648,1310825,1320830,1452820,,1550810,1560820,1660810,1670817,1711910,1750810,1760810,1850810,1860810,1960830
四川,联通,1300649,1310826,1320831,1452821,,1550811,1560821,1660811,1670818,1711911,1750811,1760811,1850811,1860811,1960831
四川,联通,1300810,1310827,1320832,1452822,,1550812,1560822,1660812,1670825,1711912,1750812,1760812,1850812,1860812,1960832
四川,联通,1300811,1310830,1320833,1452823,,1550813,1560823,1660813,1670826,1711913,1750813,1760813,1850813,1860813,1960833
四川,联通,1300812,1310831,1320834,1452824,,1550814,1560824,1660814,1670827,1711914,1750814,1760814,1850814,1860814,1960834
四川,联通,1300813,1310832,1320835,1452825,,1550815,1560825,1660815,1670830,1711915,1750815,1760815,1850815,1860815,1960835
四川,联通,1300814,1310833,1320836,1452826,,1550816,1560826,1660816,1670831,1711916,1750816,1760816,1850816,1860816,1960836
四川,联通,1300815,1310834,1320837,1452827,,1550817,1560827,1660817,1670832,1711917,1750817,1760817,1850817,1860817,1960837
四川,联通,1300816,1310835,1320838,1452828,,1550818,1560828,1660818,1670833,1711918,1750818,1760818,1850818,1860818,1960838
四川,联通,1300817,1310836,1320839,1452829,,1550819,1560829,1660819,1670834,1711919,1750819,1760819,1850819,1860819,1960839
四川,联通,1300818,1310837,1321900,1452830,,1550820,1560900,1660820,1670835,1712480,1750820,1760820,1850820,1860820,1961280
四川,联通,1300819,1310838,1321901,1452831,,1550821,1560901,1660821,1670836,1712481,1750821,1760821,1850821,1860821,1961281
四川,联通,1301064,1310839,1321902,1452832,,1550822,1560902,1660822,1670837,1712482,1750822,1760822,1850822,1860822,1961282
