省份,运营商,192 号段
天津,广电,1920120
天津,广电,1920121
天津,广电,1920122
天津,广电,1920123
天津,广电,1920124
天津,广电,1920125
天津,广电,1920126
天津,广电,1920127
天津,广电,1920128
天津,广电,1920129
天津,广电,1920220
天津,广电,1920221
天津,广电,1920222
天津,广电,1920223
天津,广电,1920224
天津,广电,1920225
天津,广电,1920226
天津,广电,1920227
天津,广电,1920228
天津,广电,1920229
天津,广电,1921220
天津,广电,1921221
天津,广电,1921222
天津,广电,1921223
天津,广电,1921224
天津,广电,1921225
天津,广电,1921226
天津,广电,1921227
天津,广电,1921228
天津,广电,1921229
天津,广电,1923220
天津,广电,1923221
天津,广电,1923222
天津,广电,1923223
天津,广电,1923224
天津,广电,1923225
天津,广电,1923226
天津,广电,1923227
天津,广电,1923228
天津,广电,1923229
天津,广电,1924130
天津,广电,1924131
天津,广电,1924132
天津,广电,1924133
天津,广电,1924134
天津,广电,1924135
天津,广电,1924136
天津,广电,1924137
天津,广电,1924138
天津,广电,1924139
天津,广电,1924220
天津,广电,1924221
天津,广电,1924222
天津,广电,1924223
天津,广电,1924224
天津,广电,1924225
天津,广电,1924226
天津,广电,1924227
天津,广电,1924228
天津,广电,1924229
天津,广电,1924880
天津,广电,1924881
天津,广电,1924882
天津,广电,1924883
天津,广电,1924884
天津,广电,1924885
天津,广电,1924886
天津,广电,1924887
天津,广电,1924888
天津,广电,1924889
天津,广电,1927220
天津,广电,1927221
天津,广电,1927222
天津,广电,1927223
天津,广电,1927224
天津,广电,1927225
天津,广电,1927226
天津,广电,1927227
天津,广电,1927228
天津,广电,1927229
天津,广电,1928220
天津,广电,1928221
天津,广电,1928222
天津,广电,1928223
天津,广电,1928224
天津,广电,1928225
天津,广电,1928226
天津,广电,1928227
天津,广电,1928228
天津,广电,1928229
天津,广电,1929070
天津,广电,1929071
天津,广电,1929072
天津,广电,1929073
天津,广电,1929074
天津,广电,1929075
天津,广电,1929076
天津,广电,1929077
天津,广电,1929078
天津,广电,1929079
天津,广电,1929220
天津,广电,1929221
天津,广电,1929222
天津,广电,1929223
天津,广电,1929224
天津,广电,1929225
天津,广电,1929226
天津,广电,1929227
天津,广电,1929228
天津,广电,1929229
