省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
天津,电信,1330033,1530200,1621020,1730220,1770006,1800200,1810010,1890200,1900220,1910220,1930220,1990200
天津,电信,1330034,1530201,1621021,1730221,1770220,1800201,1810011,1890201,1900221,1910221,1930221,1990201
天津,电信,1330200,1530202,1621022,1730222,1770221,1800202,1810200,1890202,1900222,1910222,1930222,1990202
天津,电信,1330201,1530203,1621023,1730223,1770222,1800203,1810201,1890203,1900223,1910223,1930223,1990203
天津,电信,1330202,1530204,1621024,1730224,1770223,1800204,1810202,1890204,1900224,1910224,1930224,1990204
天津,电信,1330203,1530205,1621025,1730225,1770224,1800205,1810203,1890205,,1910225,1930225,1990205
天津,电信,1330204,1530206,1621026,1730226,1770225,1800206,1810204,1890206,,1910226,1930226,1990206
天津,电信,1330205,1530207,1621027,1730227,1770226,1800207,1810205,1890207,,1910227,1930227,1990207
天津,电信,1330206,1530208,1621028,1730228,1770227,1800208,1810206,1890208,,1910228,1930228,1990208
天津,电信,1330207,1530209,1621029,1730229,1770228,1800209,1810207,1890209,,1910229,1930229,1990209
天津,电信,1330208,1530210,1621030,1732000,1770229,1800210,1810208,1890210,,1912500,1936310,1990210
天津,电信,1330209,1530211,1621031,1732001,1772000,1800211,1810209,1890211,,1912501,1936311,1990211
天津,电信,1330210,1530212,1621032,1732002,1772001,1800212,1810210,1890212,,1912502,1936312,1990212
天津,电信,1330211,1530213,1621033,1732003,1772002,1800213,1810211,1890213,,1912503,1936313,1990213
天津,电信,1330212,1530214,1621034,1732004,1772003,1800214,1810212,1890214,,1912504,,1990214
天津,电信,1330213,1530215,1621035,1732005,1772004,1800215,1810213,1890215,,1912505,,1990215
天津,电信,1330214,1530216,1621036,1732006,1772005,1800216,1810214,1890216,,1912506,,1990216
天津,电信,1330215,1530217,1621037,1732007,1772006,1800217,1810215,1890217,,1912507,,1990217
天津,电信,1330216,1530218,1621038,1732008,1772007,1800218,1810216,1890218,,1912508,,1990218
天津,电信,1330217,1530219,1621039,1732009,1772008,1800219,1810217,1890219,,1912509,,1990219
天津,电信,1330218,1532000,1621220,1732020,1772009,1802000,1810218,1892000,,,,1992240
天津,电信,1330219,1532001,1621221,1732021,1772010,1802001,1810219,1892001,,,,1992241
天津,电信,1331200,1532002,1621223,1732022,1772011,1802002,1814220,1892002,,,,1992242
天津,电信,1331201,1532003,1621224,1732023,1772012,1802003,1814221,1892003,,,,1992243
天津,电信,1331202,1532004,1621225,1732024,1772013,1802004,1814222,1892004,,,,1992244
天津,电信,1331203,1532005,1621226,1732025,1772014,1802005,1814223,1892005,,,,1992245
天津,电信,1331204,1532006,1621227,1732026,1772015,1802006,1814224,1892006,,,,1992246
天津,电信,1331205,1532007,1621228,1732027,1772016,1802007,1814225,1892007,,,,1992247
天津,电信,1331206,1532008,1621229,1732028,1772017,1802008,1814226,1892008,,,,1992248
天津,电信,1331207,1532009,1621990,1732029,1772018,1802009,1814227,1892009,,,,1992249
天津,电信,1331208,1532010,1621991,,1772019,,1814228,1892010,,,,1992250
天津,电信,1331209,1532011,1621992,,1772530,,1814229,1892011,,,,1992251
天津,电信,1331210,1532012,1621993,,1772531,,,1892012,,,,1992252
天津,电信,1331211,1532013,1621994,,1772532,,,1892013,,,,1992253
天津,电信,1331212,1532014,1621995,,1772533,,,1892014,,,,1992254
天津,电信,1331213,1532015,1621996,,1772534,,,1892015,,,,1992255
天津,电信,1331214,1532016,1621997,,1772535,,,1892016,,,,1992256
天津,电信,1331215,1532017,1621998,,1772536,,,1892017,,,,1992257
天津,电信,1331216,1532018,1621999,,1772537,,,1892018,,,,1992258
天津,电信,1331217,1532019,1622000,,1772538,,,1892019,,,,1992259
天津,电信,1331218,1533100,1622001,,1772539,,,1892020,,,,1992260
天津,电信,1331219,1533200,1622002,,1772540,,,1892021,,,,1992261
天津,电信,1332330,1533201,1622003,,1772541,,,1892022,,,,1992262
天津,电信,1332331,1533202,1622004,,1772542,,,1892023,,,,1992263
天津,电信,1332332,1533203,1622005,,1772543,,,1892024,,,,1992264
天津,电信,1332333,1533204,1622006,,1772544,,,1892025,,,,1992265
天津,电信,1332334,1533205,1622007,,1772545,,,1892026,,,,1992266
天津,电信,1332335,1533206,1622008,,1772546,,,1892027,,,,
天津,电信,1332336,1533207,1622009,,1772547,,,1892028,,,,
天津,电信,1332337,1533208,1622010,,1772548,,,1892029,,,,
天津,电信,1332338,1533209,1622011,,1772549,,,1892030,,,,
天津,电信,1332339,1533210,1622012,,1772600,,,1892031,,,,
天津,电信,1332340,1533211,1622013,,1772601,,,1892032,,,,
天津,电信,1332341,1533212,1622014,,1772602,,,1892033,,,,
天津,电信,1332342,1533213,1622015,,1772603,,,1892034,,,,
天津,电信,1332343,1533214,1622016,,1772604,,,1892035,,,,
天津,电信,1332344,1533215,1622017,,1772605,,,1892036,,,,
天津,电信,1332345,1533216,1622018,,1772606,,,1892037,,,,
天津,电信,1332346,1533217,1622019,,1772607,,,1892038,,,,
天津,电信,1332347,1533218,1622020,,1772608,,,1892039,,,,
天津,电信,1332348,1533219,1622021,,1772609,,,1892040,,,,
天津,电信,1332349,1534200,1622022,,1774220,,,1892041,,,,
天津,电信,1333200,1534201,1622023,,1774221,,,1892042,,,,
天津,电信,1333201,1534202,1622024,,1774222,,,1892043,,,,
天津,电信,1333202,1534203,1622025,,1774223,,,1892044,,,,
天津,电信,1333203,1534204,1622026,,1774224,,,1892045,,,,
天津,电信,1333204,1534205,1622027,,1774225,,,1892046,,,,
天津,电信,1333205,1534206,1622028,,1774226,,,1892047,,,,
天津,电信,1333206,1534207,1622029,,1774227,,,1892048,,,,
天津,电信,1333207,1534208,1622030,,1774228,,,1892049,,,,
天津,电信,1333208,1534209,1622031,,1774229,,,1892050,,,,
天津,电信,1333209,1534210,1622032,,,,,1892051,,,,
天津,电信,1334200,1534211,1622033,,,,,1892052,,,,
天津,电信,1334201,1534212,1622034,,,,,1892053,,,,
天津,电信,1334202,1534213,1622035,,,,,1892054,,,,
天津,电信,1334203,1534214,1622036,,,,,1892055,,,,
天津,电信,1334204,1534215,1622037,,,,,1892056,,,,
天津,电信,1334205,1534216,1622038,,,,,1892057,,,,
天津,电信,1334206,1534217,1622039,,,,,1892058,,,,
天津,电信,1334207,1534218,1622070,,,,,1892059,,,,
天津,电信,1334208,1534219,1622071,,,,,1892060,,,,
天津,电信,1334209,,1622072,,,,,1892061,,,,
天津,电信,1334433,,1622073,,,,,1892062,,,,
天津,电信,1334434,,1622074,,,,,1892063,,,,
天津,电信,1335200,,1622075,,,,,1892064,,,,
天津,电信,1335201,,1622076,,,,,1892065,,,,
天津,电信,1335202,,1622077,,,,,1892066,,,,
天津,电信,1335203,,1622078,,,,,1892067,,,,
天津,电信,1335204,,1622079,,,,,1892068,,,,
天津,电信,1335205,,1622080,,,,,1892069,,,,
天津,电信,1335206,,1622081,,,,,1892070,,,,
天津,电信,1335207,,1622082,,,,,1892071,,,,
天津,电信,1335208,,1622083,,,,,1892072,,,,
天津,电信,1335209,,1622084,,,,,1892073,,,,
天津,电信,1337030,,1622085,,,,,1892074,,,,
天津,电信,1337031,,1622086,,,,,1892075,,,,
天津,电信,1337032,,1622087,,,,,1892076,,,,
天津,电信,1337033,,1622088,,,,,1892077,,,,
天津,电信,1337034,,1622089,,,,,1892078,,,,
天津,电信,1337035,,1622090,,,,,1892079,,,,
天津,电信,1337036,,1622091,,,,,1892080,,,,
天津,电信,1337037,,1622092,,,,,1892081,,,,
天津,电信,1337038,,1622093,,,,,1892082,,,,
天津,电信,1337039,,1622094,,,,,1892083,,,,
天津,电信,1337040,,1622095,,,,,1892084,,,,
天津,电信,1337041,,1622096,,,,,1892085,,,,
天津,电信,1337042,,1622097,,,,,1892086,,,,
天津,电信,1337043,,1622098,,,,,1892087,,,,
天津,电信,1337044,,1622099,,,,,1892088,,,,
天津,电信,1337045,,1622200,,,,,1892089,,,,
天津,电信,1337046,,1622201,,,,,1892090,,,,
天津,电信,1337047,,1622202,,,,,1892091,,,,
天津,电信,1337048,,1622203,,,,,1892092,,,,
天津,电信,1337049,,1622204,,,,,1892093,,,,
天津,电信,1338800,,1622205,,,,,1892094,,,,
天津,电信,1338801,,1622206,,,,,1892095,,,,
天津,电信,1338802,,1622207,,,,,1892096,,,,
天津,电信,1338803,,1622208,,,,,1892097,,,,
天津,电信,1338804,,1622209,,,,,1892098,,,,
天津,电信,1338805,,1622220,,,,,1892099,,,,
天津,电信,1338806,,1622221,,,,,,,,,
天津,电信,1338807,,1622222,,,,,,,,,
天津,电信,1338808,,1622223,,,,,,,,,
天津,电信,1338809,,1622224,,,,,,,,,
天津,电信,1338900,,1622225,,,,,,,,,
天津,电信,1338901,,1622226,,,,,,,,,
天津,电信,1338902,,1622227,,,,,,,,,
天津,电信,1338903,,1622228,,,,,,,,,
天津,电信,1338904,,1622229,,,,,,,,,
天津,电信,1338905,,1622580,,,,,,,,,
天津,电信,1338906,,1622581,,,,,,,,,
天津,电信,1338907,,1622582,,,,,,,,,
天津,电信,1338908,,1622583,,,,,,,,,
天津,电信,1338909,,1622584,,,,,,,,,
天津,电信,1338990,,1622585,,,,,,,,,
天津,电信,1338991,,1622586,,,,,,,,,
天津,电信,1338992,,1622587,,,,,,,,,
天津,电信,1338993,,1622588,,,,,,,,,
天津,电信,1338994,,1622589,,,,,,,,,
天津,电信,1338995,,1622878,,,,,,,,,
天津,电信,1338996,,1622879,,,,,,,,,
天津,电信,1338997,,1622996,,,,,,,,,
天津,电信,1338998,,1622997,,,,,,,,,
天津,电信,1338999,,1622998,,,,,,,,,
天津,电信,,,1623420,,,,,,,,,
天津,电信,,,1623421,,,,,,,,,
天津,电信,,,1623422,,,,,,,,,
天津,电信,,,1623423,,,,,,,,,
天津,电信,,,1623424,,,,,,,,,
天津,电信,,,1623425,,,,,,,,,
天津,电信,,,1623426,,,,,,,,,
天津,电信,,,1623427,,,,,,,,,
天津,电信,,,1623428,,,,,,,,,
天津,电信,,,1623429,,,,,,,,,
天津,电信,,,1625802,,,,,,,,,
天津,电信,,,1625803,,,,,,,,,
天津,电信,,,1625804,,,,,,,,,
天津,电信,,,1625805,,,,,,,,,
天津,电信,,,1625806,,,,,,,,,
天津,电信,,,1625807,,,,,,,,,
天津,电信,,,1625808,,,,,,,,,
天津,电信,,,1625809,,,,,,,,,
天津,电信,,,1625810,,,,,,,,,
天津,电信,,,1625812,,,,,,,,,
天津,电信,,,1625813,,,,,,,,,
天津,电信,,,1625814,,,,,,,,,
天津,电信,,,1625815,,,,,,,,,
天津,电信,,,1625816,,,,,,,,,
天津,电信,,,1625817,,,,,,,,,
天津,电信,,,1625818,,,,,,,,,
天津,电信,,,1625819,,,,,,,,,
天津,电信,,,1626480,,,,,,,,,
天津,电信,,,1626481,,,,,,,,,
天津,电信,,,1626482,,,,,,,,,
天津,电信,,,1626483,,,,,,,,,
天津,电信,,,1626484,,,,,,,,,
天津,电信,,,1626485,,,,,,,,,
天津,电信,,,1626486,,,,,,,,,
天津,电信,,,1626487,,,,,,,,,
天津,电信,,,1626488,,,,,,,,,
天津,电信,,,1626489,,,,,,,,,
天津,电信,,,1626490,,,,,,,,,
天津,电信,,,1626491,,,,,,,,,
天津,电信,,,1626492,,,,,,,,,
天津,电信,,,1626493,,,,,,,,,
天津,电信,,,1626494,,,,,,,,,
天津,电信,,,1626495,,,,,,,,,
天津,电信,,,1626496,,,,,,,,,
天津,电信,,,1626497,,,,,,,,,
天津,电信,,,1626498,,,,,,,,,
天津,电信,,,1626499,,,,,,,,,
天津,电信,,,1629220,,,,,,,,,
天津,电信,,,1629221,,,,,,,,,
天津,电信,,,1629223,,,,,,,,,
天津,电信,,,1629224,,,,,,,,,
天津,电信,,,1629225,,,,,,,,,
天津,电信,,,1629226,,,,,,,,,
天津,电信,,,1629227,,,,,,,,,
天津,电信,,,1629228,,,,,,,,,
天津,电信,,,1629359,,,,,,,,,
天津,电信,,,1629809,,,,,,,,,
天津,电信,,,1629810,,,,,,,,,
