省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
天津,移动,1350200,1360200,1370200,1380022,1390021,1470220,1488312,1500220,1510220,1520220,1570220,1580220,1590020,1650022,1700047,1720122,1780220,1820220,1830220,1840220,1870220,1880220,1950040,1971022,1980220
天津,移动,1350201,1360201,1370201,1380200,1390200,1470221,,1500221,1510221,1520221,1570221,1580221,1590021,1650220,1700048,1720123,1780221,1820221,1830221,1840221,1870221,1880221,1950041,1972022,1980221
天津,移动,1350202,1360202,1370202,1380201,1390201,1470222,,1500222,1510222,1520222,1570222,1580222,1590022,1650221,1700049,1724359,1780222,1820222,1830222,1840222,1870222,1880222,1950042,1972773,1980222
天津,移动,1350203,1360203,1370203,1380202,1390202,1470223,,1500223,1510223,1520223,1570223,1580223,1590023,1650223,1700050,1726300,1780223,1820223,1830223,1840223,1870223,1880223,1950043,1972774,1980223
天津,移动,1350204,1360204,1370204,1380203,1390203,1470224,,1500224,1510224,1520224,1570224,1580224,1590024,1650224,1700051,1726790,1780224,1820224,1830224,1840224,1870224,1880224,1950044,1972940,1980224
天津,移动,1350205,1360205,1370205,1380204,1390204,1470225,,1500225,1510225,1520225,1570225,1580225,1590025,1650225,1700052,1726791,1780225,1820225,1830225,1840225,1870225,1880225,1950045,1972942,1980225
天津,移动,1350206,1360206,1370206,1380205,1390205,1470226,,1500226,1510226,1520226,1570226,1580226,1590026,1650226,1700053,1726792,1780226,1820226,1830226,1840226,1870226,1880226,1950046,1972943,1980226
天津,移动,1350207,1360207,1370207,1380206,1390206,1470227,,1500227,1510227,1520227,1570227,1580227,1590027,1650227,1700054,1726793,1780227,1820227,1830227,1840227,1870227,1880227,1950047,1972944,1980227
天津,移动,1350208,1360208,1370208,1380207,1390207,1470228,,1500228,1510228,1520228,1570228,1580228,1590028,1650228,1700055,1726794,1780228,1820228,1830228,1840228,1870228,1880228,1950048,1972999,1980228
天津,移动,1350209,1360209,1370209,1380208,1390208,1470229,,1500229,1510229,1520229,1570229,1580229,1590029,1650229,1700056,1726795,1780229,1820229,1830229,1840229,1870229,1880229,1950049,,1980229
天津,移动,1350210,1360210,1370210,1380209,1390209,1472200,,1502200,1512200,1522200,1571020,1582200,1590030,1650525,1700057,1726796,1782200,1820250,1832200,1842200,1872200,1881250,1950190,,1981400
天津,移动,1350211,1360211,1370211,1380210,1390210,1472201,,1502201,1512201,1522201,1571021,1582201,1590031,1650526,1700058,1726797,1782201,1820251,1832201,1842201,1872201,1881251,1950191,,1982200
天津,移动,1350212,1360212,1370212,1380211,1390211,1472202,,1502202,1512202,1522202,1571022,1582202,1590032,1650676,1700059,1726798,1782202,1820252,1832202,1842202,1872202,1881252,1950192,,1982201
天津,移动,1350213,1360213,1370213,1380212,1390212,1472203,,1502203,1512203,1522203,1571023,1582203,1590033,1651022,1700060,1726799,1782203,1820253,1832203,1842203,1872203,1881253,1950193,,1982202
天津,移动,1350214,1360214,1370214,1380213,1390213,1472204,,1502204,1512204,1522204,1571024,1582204,1590034,1651222,1700061,1727541,1782204,1820254,1832204,1842204,1872204,1881254,1950194,,1982203
