省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
天津,联通,1300012,1310200,1320750,1450100,1550220,1560200,1660020,1670040,1710220,1750220,1760220,1850220,1860220,1960220
天津,联通,1300013,1310201,1320751,1450101,1550221,1560201,1660021,1670074,1710221,1750221,1760221,1850221,1860221,1960221
天津,联通,1300014,1310202,1320752,1450102,1550222,1560202,1660022,1670221,1710222,1750222,1760222,1850222,1860222,1960222
天津,联通,1300018,1310203,1320753,1450103,1550223,1560203,1660023,1670223,1710223,1750223,1760223,1850223,1860223,1960223
天津,联通,1300019,1310204,1320754,1450104,1550224,1560204,1660024,1670224,1710224,1750224,1760224,1850224,1860224,1960224
天津,联通,1300130,1310205,1320755,1450105,1550225,1560205,1660025,1670225,1710225,1750225,1760225,1850225,1860225,1960225
天津,联通,1300131,1310206,1320756,1450106,1550226,1560206,1660026,1671220,1710226,1750226,1760226,1850226,1860226,1960226
天津,联通,1300132,1310207,1320757,1450107,1550227,1560207,1660027,1671221,1710227,1750227,1760227,1850227,1860227,1960227
天津,联通,1300133,1310208,1320758,1450108,1550228,1560208,1660028,1671222,1710228,1750228,1760228,1850228,1860228,1960228
天津,联通,1300134,1310209,1320759,1450109,1550229,1560209,1660029,1671223,1710229,1750229,1760229,1850229,1860229,1960229
天津,联通,1300135,1310210,1320760,1450110,1551080,1560210,1660030,1671224,1711020,1750260,1760260,1850260,1860260,1961220
天津,联通,1300136,1310211,1320761,1450111,1551081,1560211,1660031,1671225,1711021,1750261,1760261,1850261,1860261,1961221
天津,联通,1300137,1310212,1320762,1450112,1551082,1560212,1660032,1671226,1711022,1750262,1760262,1850262,1860262,1961222
天津,联通,1300138,1310213,1320763,1450113,1551083,1560213,1660033,1671227,1711023,1750263,1760263,1850263,1860263,1961223
天津,联通,1300139,1310214,1320764,1450114,1551084,1560214,1660034,1671228,1711024,1750264,1760264,1850264,1860264,1961224
天津,联通,1300220,1310215,1320765,1450115,1551085,1560215,1660035,1671229,1711025,1750265,1760265,1850265,1860265,1961225
天津,联通,1300221,1310216,1320766,1450116,1551086,1560216,1660036,1672220,1711026,1750266,1760266,1850266,1860266,1961226
天津,联通,1300222,1310217,1320767,1450117,1551087,1560217,1660037,1672221,1711027,1750267,1760267,1850267,1860267,1961227
天津,联通,1300223,1310218,1320768,1450118,1551088,1560218,1660038,1672222,1711028,1750268,1760268,1850268,1860268,1961228
天津,联通,1300224,1310219,1320769,1450119,1551089,1560219,1660039,1672223,1711029,1750269,1760269,1850269,1860269,1961229
天津,联通,1300225,1310220,1321200,1450120,1551090,1562000,1660040,1672224,1711200,1751020,1761220,1851220,1862200,1962200
天津,联通,1300226,1310221,1321201,1450121,1551091,1562001,1660041,1672225,1711201,1751021,1761221,1851221,1862201,1962201
天津,联通,1300227,1310222,1321202,1450122,1551092,1562002,1660042,1672226,1711202,1751022,1761222,1851222,1862202,1962202
天津,联通,1300228,1310223,1321203,1450123,1551093,1562003,1660043,1672227,1711203,1751023,1761223,1851223,1862203,1962203
天津,联通,1300229,1310224,1321204,1450124,1551094,1562004,1660044,1672228,1711204,1751024,1761224,1851224,1862204,1962204
天津,联通,1301013,1310225,1321205,1450125,1551095,1562005,1660045,1672229,1711205,1751025,1761225,1851225,1862205,1962205
天津,联通,1301130,1310226,1321206,1450126,1551096,1562006,1660046,1672740,1711206,1751026,1761226,1851226,1862206,1962206
天津,联通,1301131,1310227,1321207,1450127,1551097,1562007,1660047,1672741,1711207,1751027,1761227,1851227,1862207,1962207
天津,联通,1301132,1310228,1321208,1450128,1551098,1562008,1660048,1672742,1711208,1751028,1761228,1851228,1862208,1962208
天津,联通,1301133,1310229,1321209,1450129,1551099,1562009,1660049,1672743,1711209,1751029,1761229,1851229,1862209,1962209
天津,联通,1301134,1311000,1321210,1450130,1552200,1562010,1660050,1672744,1711220,1751220,1762200,1852200,1862210,
天津,联通,1301135,1311001,1321211,1450131,1552201,1562011,1660051,1672745,1711221,1751221,1762201,1852201,1862211,
天津,联通,1301136,1311002,1321212,1450132,1552202,1562012,1660052,1672746,1711222,1751222,1762202,1852202,1862212,
天津,联通,1301137,1311003,1321213,1450133,1552203,1562013,1660053,1672747,1711223,1751223,1762203,1852203,1862213,
天津,联通,1301138,1311004,1321214,1450134,1552204,1562014,1660054,1672748,1711224,1751224,1762204,1852204,1862214,
天津,联通,1301139,1311005,1321215,1450135,1552205,1562015,1660055,1672749,1711225,1751225,1762205,1852205,1862215,
天津,联通,1301220,1311006,1321216,1450136,1552206,1562016,1660056,1672940,1711226,1751226,1762206,1852206,1862216,
天津,联通,1301221,1311007,1321217,1450137,1552207,1562017,1660057,1672941,1711227,1751227,1762207,1852207,1862217,
天津,联通,1301222,1311008,1321218,1450138,1552208,1562018,1660058,1672942,1711228,1751228,1762208,1852208,1862218,
天津,联通,1301223,1311009,1321219,1450139,1552209,1562019,1660059,1672943,1711229,1751229,1762209,1852209,1862219,
天津,联通,1301224,1311480,1321220,1450140,1552210,1562020,1660060,1672944,1712980,1752200,1762210,1852210,1862220,
天津,联通,1301225,1311481,1321221,1450141,1552211,1562021,1660061,1672945,1712981,1752201,1762211,1852211,1862221,
天津,联通,1301226,1311482,1321222,1450142,1552212,1562022,1660062,1672946,1712982,1752202,1762212,1852212,1862222,
天津,联通,1301227,1311483,1321223,1450143,1552213,1562023,1660063,1672947,1712983,1752203,1762213,1852213,1862223,
天津,联通,1301228,1311484,1321224,1450144,1552214,1562024,1660064,1672948,1712984,1752204,1762214,1852214,1862224,
天津,联通,1301229,1311485,1321225,1450145,1552215,1562025,1660065,1672949,1712985,1752205,1762215,1852215,1862225,
天津,联通,1302130,1311486,1321226,1450146,1552216,1562026,1660066,1672960,1712986,1752206,1762216,1852216,1862226,
天津,联通,1302131,1311487,1321227,1450147,1552217,1562027,1660067,1672961,1712987,1752207,1762217,1852217,1862227,
天津,联通,1302132,1311488,1321228,1450148,1552218,1562028,1660068,1672962,1712988,1752208,1762218,1852218,1862228,
天津,联通,1302133,1311489,1321229,1450149,1552219,1562029,1660069,1672963,1712989,1752209,1762219,1852219,1862229,
天津,联通,1302134,1311490,1329990,1450150,1552220,1562030,1660220,1672964,1712990,1752210,1762220,1852220,1862230,
天津,联通,1302135,1311491,1329991,1450151,1552221,1562031,1660221,1672965,1712991,1752211,1762221,1852221,1862231,
