省份,运营商,192 号段
宁夏,广电,1921950
宁夏,广电,1921951
宁夏,广电,1921952
宁夏,广电,1921953
宁夏,广电,1921954
宁夏,广电,1921955
宁夏,广电,1921956
宁夏,广电,1921957
宁夏,广电,1921958
宁夏,广电,1921959
宁夏,广电,1922395
宁夏,广电,1922446
宁夏,广电,1924950
宁夏,广电,1924951
宁夏,广电,1924952
宁夏,广电,1924953
宁夏,广电,1924954
宁夏,广电,1924955
宁夏,广电,1924956
宁夏,广电,1924957
宁夏,广电,1924958
宁夏,广电,1924959
宁夏,广电,1924960
宁夏,广电,1924961
宁夏,广电,1924962
宁夏,广电,1924963
宁夏,广电,1924964
宁夏,广电,1924965
宁夏,广电,1924966
宁夏,广电,1924967
宁夏,广电,1924968
宁夏,广电,1924969
宁夏,广电,1925950
宁夏,广电,1925951
宁夏,广电,1925952
宁夏,广电,1925953
宁夏,广电,1925954
宁夏,广电,1925955
宁夏,广电,1925956
宁夏,广电,1925957
宁夏,广电,1925958
宁夏,广电,1925959
宁夏,广电,1926950
宁夏,广电,1926951
宁夏,广电,1926952
宁夏,广电,1926953
宁夏,广电,1926954
宁夏,广电,1926955
宁夏,广电,1926956
宁夏,广电,1926957
宁夏,广电,1926958
宁夏,广电,1926959
宁夏,广电,1927950
宁夏,广电,1927951
宁夏,广电,1927952
宁夏,广电,1927953
宁夏,广电,1927954
宁夏,广电,1927955
宁夏,广电,1927956
宁夏,广电,1927957
宁夏,广电,1927958
宁夏,广电,1927959
宁夏,广电,1928950
宁夏,广电,1928951
宁夏,广电,1928952
宁夏,广电,1928953
宁夏,广电,1928954
宁夏,广电,1928955
宁夏,广电,1928956
宁夏,广电,1928957
宁夏,广电,1928958
宁夏,广电,1928959
宁夏,广电,1929950
宁夏,广电,1929951
宁夏,广电,1929952
宁夏,广电,1929953
宁夏,广电,1929954
宁夏,广电,1929955
宁夏,广电,1929956
宁夏,广电,1929957
宁夏,广电,1929958
宁夏,广电,1929959
