省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
宁夏,电信,1330950,1530950,1621950,1730950,1770950,1800950,1810095,1890950,1900950,1910950,1930950,1990950
宁夏,电信,1330951,1530951,1621951,1730951,1770951,1800951,1810950,1890951,1900951,1910951,1930951,1990951
宁夏,电信,1330952,1530952,1621952,1730952,1770952,1800952,1810951,1890952,1900952,1910952,1930952,1990952
宁夏,电信,1330953,1530953,1621953,1730953,1770953,1800953,1810952,1890953,1900953,1910953,1930953,1990953
宁夏,电信,1330954,1530954,1621954,1730954,1770954,1800954,1810953,1890954,1900954,1910954,1930954,1990954
宁夏,电信,1330955,1530955,1621955,1730955,1770955,1800955,1810954,1890955,1900955,1910955,1930955,1990955
宁夏,电信,1330956,1530956,1621956,1730956,1770956,1800956,1810955,1890956,1900956,1910956,1930956,1990956
宁夏,电信,1330957,1530957,1621957,1730957,1770957,1800957,1810956,1890957,1900957,1910957,1930957,1990957
宁夏,电信,1330958,1530958,1621958,1730958,1770958,1800958,1810957,1890958,1900958,1910958,1930958,1990958
宁夏,电信,1330959,1530959,1621959,1730959,1770959,1800959,1810958,1890959,1900959,1910959,1930959,1990959
宁夏,电信,1332350,1533792,1621960,1734120,1771180,1809510,1810959,1899500,1902950,1919510,1936158,1994440
宁夏,电信,1332351,1534950,1621961,1734121,1771181,1809511,1815230,1899501,1902951,1919511,1936159,1994441
宁夏,电信,1332352,1534951,1621962,1734122,1771182,1809512,1815231,1899502,1902952,1919512,1939550,1994442
宁夏,电信,1332353,1534952,1621963,1734123,1771183,1809513,1815232,1899503,1902953,1919513,1939551,1994443
宁夏,电信,1332354,1534953,1621964,1734124,1771184,1809514,1815233,1899504,1902954,1919514,1939552,1994444
宁夏,电信,1332355,1534954,1621965,1734125,1771185,1809515,1815234,1899505,1902955,1919515,1939553,1994445
宁夏,电信,1332356,1534955,1621966,1734126,1771186,1809516,1815235,1899506,1902956,1919516,1939554,1994446
宁夏,电信,1332357,1534956,1621967,1734127,1771187,1809517,1815236,1899507,1902957,1919517,1939555,1994447
宁夏,电信,1332358,1534957,1621968,1734128,1771188,1809518,1815237,1899508,1902958,1919518,1939556,1994448
宁夏,电信,1332359,1534958,1621969,1734129,1771189,1809519,1815238,1899509,1902959,1919519,1939557,1994449
