省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
宁夏,移动,1340950,1351920,1361950,1370950,1380095,1390095,1470950,1500860,1510950,1520260,1570950,1580950,1590950,1650203,1700950,1720950,1780950,1820950,1830950,1840840,1870950,1880950,1950950,1970951,1980950
宁夏,移动,1340951,1351921,1361951,1370951,1389500,1390950,1470951,1500861,1510951,1520261,1570951,1580951,1590951,1650260,1700951,1720951,1780951,1820951,1830951,1840841,1870951,1880951,1950951,1970952,1980951
宁夏,移动,1340952,1351922,1361952,1370952,1389501,1390951,1470952,1500862,1510952,1520262,1570952,1580952,1590952,1650261,1701950,1720952,1780952,1820952,1830952,1840842,1870952,1880952,1950952,1970953,1980952
宁夏,移动,1340953,1351923,1361953,1370953,1389502,1390952,1470953,1500863,1510953,1520263,1570953,1580953,1590953,1650262,1701951,1720953,1780953,1820953,1830953,1840843,1870953,1880953,1950953,1970954,1980953
宁夏,移动,1340954,1351924,1361954,1370954,1389503,1390953,1470954,1500864,1510954,1520264,1570954,1580954,1590954,1650263,1701952,1720954,1780954,1820954,1830954,1840844,1870954,1880954,1950954,1970955,1980954
宁夏,移动,1340955,1351925,1361955,1370955,1389504,1390954,1470955,1500865,1510955,1520265,1570955,1580955,1590955,1650659,1701953,1720955,1780955,1820955,1830955,1840845,1870955,1880955,1950955,1971095,1980955
宁夏,移动,1340956,1351926,1361956,1370956,1389505,1390955,1470956,1500866,1510956,1520266,1570956,1580956,1590956,1650951,1702950,1720956,1780956,1820956,1830956,1840846,1870956,1880956,1950956,1971951,1980956
宁夏,移动,1340957,1351927,1361957,1370957,1389506,1390956,1470957,1500867,1510957,1520267,1570957,1580957,1590957,1650952,1702951,1720957,1780957,1820957,1830957,1840847,1870957,1880957,1950957,1971952,1980957
宁夏,移动,1340958,1351928,1361958,1370958,1389507,1390957,1470958,1500868,1510958,1520268,1570958,1580958,1590958,1650953,1702952,1720958,1780958,1820958,1830958,1840848,1870958,1880958,1950958,1971953,1980958
宁夏,移动,1340959,1351929,1361959,1370959,1389508,1390958,1470959,1500869,1510959,1520269,1570959,1580959,1590959,1650954,1702953,1720959,1780959,1820959,1830959,1840849,1870959,1880959,1950959,1971954,1980959
宁夏,移动,1344095,1351950,1362950,1372330,1389509,1390959,1470960,1500950,1510960,1520950,1570960,1580960,1590960,1650955,1703853,1721357,1780960,1820960,1830960,1840860,1870960,1880960,1952465,1972777,1980960
宁夏,移动,1346950,1351951,1362951,1372331,1389510,1399500,1470961,1500951,1510961,1520951,1570961,1580961,1590961,1650965,1703854,1721358,1780961,1820961,1830961,1840861,1870961,1880961,1952466,1972778,1980961
宁夏,移动,1346951,1351952,1362952,1372332,1389511,1399501,1470962,1500952,1510962,1520952,1570962,1580962,1590962,1651085,1704590,1721359,1780962,1820962,1830962,1840862,1870962,1880962,1952467,1972947,1980962
宁夏,移动,1346952,1351953,1362953,1372333,1389512,1399502,1470963,1500953,1510963,1520953,1570963,1580963,1590963,1651251,1704591,1721360,1780963,1820963,1830963,1840863,1870963,1880963,1952927,1972954,1980963
宁夏,移动,1346953,1351954,1362954,1372334,1389513,1399503,1470964,1500954,1510964,1520954,1570964,1580964,1590964,1651260,1704592,1721361,1780964,1820964,1830964,1840864,1870964,1880964,1952928,1974980,1980964
宁夏,移动,1346954,1351955,1362955,1372335,1389514,1399504,1470965,1500955,1510965,1520955,1570965,1580965,1590965,1651951,1704593,1721845,1780965,1820965,1830965,1840865,1870965,1880965,1952950,1974981,1980965
