省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
宁夏,联通,1300790,1313950,1320950,1452870,1550080,1560950,1660950,1670401,1711400,1750950,1760950,1850950,1860950,1960950
宁夏,联通,1300791,1313951,1320951,1452871,1550081,1560951,1660951,1670951,1711401,1750951,1760951,1850951,1860951,1960951
宁夏,联通,1300792,1313952,1320952,1452872,1550082,1560952,1660952,1670952,1711402,1750952,1760952,1850952,1860952,1960952
宁夏,联通,1300793,1313953,1320953,1452873,1550083,1560953,1660953,1670953,1711403,1750953,1760953,1850953,1860953,1960953
宁夏,联通,1300794,1313954,1320954,1452874,1550084,1560954,1660954,1670954,1711404,1750954,1760954,1850954,1860954,1960954
宁夏,联通,1300795,1313955,1320955,1452875,1550085,1560955,1660955,1670955,1711405,1750955,1760955,1850955,1860955,1960955
宁夏,联通,1300796,1313956,1320956,1452876,1550086,1560956,1660956,1671950,1711406,1750956,1760956,1850956,1860956,1960956
宁夏,联通,1300797,1313957,1320957,1452877,1550087,1560957,1660957,1671951,1711407,1750957,1760957,1850957,1860957,1960957
宁夏,联通,1300798,1313958,1320958,1452878,1550088,1560958,1660958,1671952,1711408,1750958,1760958,1850958,1860958,1960958
宁夏,联通,1300799,1313959,1320959,1452879,1550089,1560959,1660959,1671953,1711409,1750959,1760959,1850959,1860959,1960959
宁夏,联通,1301079,1319500,1320960,1454620,1550950,1569500,1669500,1671954,1712950,1759500,1769500,1859500,1869510,
宁夏,联通,1301420,1319501,1320961,1454621,1550951,1569501,1669501,1671955,1712951,1759501,1769501,1859501,1869511,
宁夏,联通,1301421,1319502,1320962,1454622,1550952,1569502,1669502,1671956,1712952,1759502,1769502,1859502,1869512,
宁夏,联通,1301422,1319503,1320963,1454623,1550953,1569503,1669503,1671957,1712953,1759503,1769503,1859503,1869513,
宁夏,联通,1301423,1319504,1320964,1454624,1550954,1569504,1669504,1671958,1712954,1759504,1769504,1859504,1869514,
宁夏,联通,1301424,1319505,1320965,1454625,1550955,1569505,1669505,1671959,1712955,1759505,1769505,1859505,1869515,
宁夏,联通,1301425,1319506,1320966,1454626,1550956,1569506,1669506,1672950,1712956,1759506,1769506,1859506,1869516,
宁夏,联通,1301426,1319507,1320967,1454627,1550957,1569507,1669507,1672951,1712957,1759507,1769507,1859507,1869517,
宁夏,联通,1301427,1319508,1320968,1454628,1550958,1569508,1669508,1672952,1712958,1759508,1769508,1859508,1869518,
宁夏,联通,1301428,1319509,1320969,1454629,1550959,1569509,1669509,1672953,1712959,1759509,1769509,1859509,1869519,
宁夏,联通,1301429,,1323950,1454630,1550960,,1669510,1672954,1712960,1759510,1769510,1859510,1869520,
宁夏,联通,1303790,,1323951,1454631,1550961,,1669511,1672955,1712961,1759511,1769511,1859511,1869521,
宁夏,联通,1303791,,1323952,1454632,1550962,,1669512,1672956,1712962,1759512,1769512,1859512,1869522,
宁夏,联通,1303792,,1323953,1454633,1550963,,1669513,1672957,1712963,1759513,1769513,1859513,1869523,
宁夏,联通,1303793,,1323954,1454634,1550964,,1669514,1672958,1712964,1759514,1769514,1859514,1869524,
宁夏,联通,1303794,,1323955,1454635,1550965,,1669515,1672959,1712965,1759515,1769515,1859515,1869525,
宁夏,联通,1303795,,1323956,1454636,1550966,,1669516,1673950,1712966,1759516,1769516,1859516,1869526,
宁夏,联通,1303796,,1323957,1454637,1550967,,1669517,1673951,1712967,1759517,1769517,1859517,1869527,
宁夏,联通,1303797,,1323958,1454638,1550968,,1669518,1673952,1712968,1759518,1769518,1859518,1869528,
宁夏,联通,1303798,,1323959,1454639,1550969,,1669519,1673953,1712969,1759519,1769519,1859519,1869529,
宁夏,联通,1303799,,1325950,1459500,1559500,,1669520,1673954,1712970,1759520,1769520,,1869530,
宁夏,联通,1307950,,1325951,1459501,1559501,,1669521,1673955,1712971,1759521,1769521,,1869531,
宁夏,联通,1307951,,1325952,1459502,1559502,,1669522,1673956,1712972,1759522,1769522,,1869532,
