省份,运营商,192 号段
安徽,广电,1920550
安徽,广电,1920551
安徽,广电,1920552
安徽,广电,1920553
安徽,广电,1920554
安徽,广电,1920555
安徽,广电,1920556
安徽,广电,1920557
安徽,广电,1920558
安徽,广电,1920559
安徽,广电,1920560
安徽,广电,1920561
安徽,广电,1920562
安徽,广电,1920563
安徽,广电,1920564
安徽,广电,1920565
安徽,广电,1920566
安徽,广电,1920567
安徽,广电,1920568
安徽,广电,1920569
安徽,广电,1920640
安徽,广电,1920641
安徽,广电,1920642
安徽,广电,1920643
安徽,广电,1920644
安徽,广电,1920645
安徽,广电,1920646
安徽,广电,1920647
安徽,广电,1920648
安徽,广电,1920649
安徽,广电,1920650
安徽,广电,1920651
安徽,广电,1920652
安徽,广电,1920653
安徽,广电,1920654
安徽,广电,1920655
安徽,广电,1920656
安徽,广电,1920657
安徽,广电,1920658
安徽,广电,1920659
安徽,广电,1921550
安徽,广电,1921551
安徽,广电,1921552
安徽,广电,1921553
安徽,广电,1921554
安徽,广电,1921555
安徽,广电,1921556
安徽,广电,1921557
安徽,广电,1921558
安徽,广电,1921559
安徽,广电,1921560
安徽,广电,1921561
安徽,广电,1921562
安徽,广电,1921563
安徽,广电,1921564
安徽,广电,1921565
安徽,广电,1921566
安徽,广电,1921567
安徽,广电,1921568
安徽,广电,1921569
安徽,广电,1921640
安徽,广电,1921641
安徽,广电,1921642
安徽,广电,1921643
安徽,广电,1921644
安徽,广电,1921645
安徽,广电,1921646
安徽,广电,1921647
安徽,广电,1921648
安徽,广电,1921649
安徽,广电,1922350
安徽,广电,1922354
安徽,广电,1922401
安徽,广电,1922403
安徽,广电,1923550
安徽,广电,1923551
安徽,广电,1923552
安徽,广电,1923553
安徽,广电,1923554
安徽,广电,1923555
安徽,广电,1923556
安徽,广电,1923557
安徽,广电,1923558
安徽,广电,1923559
安徽,广电,1923560
安徽,广电,1923561
安徽,广电,1923562
安徽,广电,1923563
安徽,广电,1923564
安徽,广电,1923565
安徽,广电,1923566
安徽,广电,1923567
安徽,广电,1923568
安徽,广电,1923569
安徽,广电,1923650
安徽,广电,1923651
安徽,广电,1923652
安徽,广电,1923653
安徽,广电,1923654
安徽,广电,1923655
安徽,广电,1923656
安徽,广电,1923657
安徽,广电,1923658
安徽,广电,1923659
安徽,广电,1924550
安徽,广电,1924551
安徽,广电,1924552
安徽,广电,1924553
安徽,广电,1924554
安徽,广电,1924555
安徽,广电,1924556
安徽,广电,1924557
安徽,广电,1924558
安徽,广电,1924559
安徽,广电,1924560
安徽,广电,1924561
安徽,广电,1924562
安徽,广电,1924563
安徽,广电,1924564
安徽,广电,1924565
安徽,广电,1924566
安徽,广电,1924567
安徽,广电,1924568
安徽,广电,1924569
安徽,广电,1924650
安徽,广电,1924651
安徽,广电,1924652
安徽,广电,1924653
安徽,广电,1924654
安徽,广电,1924655
安徽,广电,1924656
安徽,广电,1924657
安徽,广电,1924658
安徽,广电,1924659
安徽,广电,1925340
安徽,广电,1925341
安徽,广电,1925342
安徽,广电,1925343
