省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
安徽,电信,1330001,1530550,1621490,1730550,1770550,1800550,1810050,1890003,1900550,1910550,1930550,1990550
安徽,电信,1330550,1530551,1621491,1730551,1770551,1800551,1810051,1890004,1900551,1910551,1930551,1990551
安徽,电信,1330551,1530552,1621492,1730552,1770552,1800552,1810550,1890050,1900552,1910552,1930552,1990552
安徽,电信,1330552,1530553,1621493,1730553,1770553,1800553,1810551,1890051,1900553,1910553,1930553,1990553
安徽,电信,1330553,1530554,1621494,1730554,1770554,1800554,1810552,1890052,1900554,1910554,1930554,1990554
安徽,电信,1330554,1530555,1621495,1730555,1770555,1800555,1810553,1890053,1900555,1910555,1930555,1990555
安徽,电信,1330555,1530556,1621496,1730556,1770556,1800556,1810554,1890054,1900556,1910556,1930556,1990556
安徽,电信,1330556,1530557,1621497,1730557,1770557,1800557,1810555,1890055,1900557,1910557,1930557,1990557
安徽,电信,1330557,1530558,1621498,1730558,1770558,1800558,1810556,1890056,1900558,1910558,1930558,1990558
安徽,电信,1330558,1530559,1621499,1730559,1770559,1800559,1810557,1890057,1900559,1910559,1930559,1990559
安徽,电信,1330559,1530560,1621550,1730560,1770560,1800560,1810558,1890058,1900560,1910560,1930560,1990560
安徽,电信,1330560,1530561,1621551,1730561,1770561,1800561,1810559,1890059,1900561,1910561,1930561,1990561
安徽,电信,1330561,1530562,1621552,1730562,1770562,1800562,1810560,1890550,1900562,1910562,1930562,1990562
安徽,电信,1330562,1530563,1621553,1730563,1770563,1800563,1810561,1890551,1900563,1910563,1930563,1990563
安徽,电信,1330563,1530564,1621554,1730564,1770564,1800564,1810562,1890552,1900564,1910564,1930564,1990564
安徽,电信,1330564,1530565,1621556,1730565,1770565,1800565,1810563,1890553,1900565,1910565,1930565,1990565
安徽,电信,1330565,1530566,1621557,1730566,1770566,1800566,1810564,1890554,1900566,1910566,1930566,1990566
安徽,电信,1330566,1530567,1621558,1730567,1770567,1800567,1810565,1890555,1900567,1910567,1930567,1990567
安徽,电信,1330567,1530568,1621559,1730568,1770568,1800568,1810566,1890556,1900568,1910568,1930568,1990568
安徽,电信,1330568,1530569,1621560,1730569,1770569,1800569,1810567,1890557,1900569,1910569,1930569,1990569
安徽,电信,1330569,1530960,1621561,1730960,1770960,1800960,1810568,1890558,1901130,1910960,1930960,1990960
安徽,电信,1330960,1530961,1621562,1730961,1770961,1800961,1810569,1890559,1901131,1910961,1930961,1990961
安徽,电信,1330961,1530962,1621563,1730962,1770962,1800962,1810960,1890560,1901132,1910962,1930962,1990962
安徽,电信,1330962,1530963,1621564,1730963,1770963,1800963,1810961,1890561,1901133,1910963,1930963,1990963
安徽,电信,1330963,1530964,1621565,1730964,1770964,1800964,1810962,1890562,1901134,1910964,1930964,1990964
安徽,电信,1330964,1530965,1621566,1730965,1770965,1800965,1810963,1890563,1901135,1910965,1930965,1990965
安徽,电信,1330965,1530966,1621567,1730966,1770966,1800966,1810964,1890564,1901136,1910966,1930966,1990966
安徽,电信,1330966,1530967,1621568,1730967,1770967,1800967,1810965,1890565,1901137,1910967,1930967,1990967
安徽,电信,1330967,1530968,1621569,1730968,1770968,1800968,1810966,1890566,1901138,1910968,1930968,1990968
安徽,电信,1330968,1530969,1621580,1730969,1770969,1800969,1810967,1890567,1901139,1910969,1930969,1990969
安徽,电信,1330969,1532440,1621581,1731850,1771810,1801070,1810968,1890568,1901250,1914240,1931400,1993010
安徽,电信,1332900,1532441,1621582,1731851,1771811,1801071,1810969,1890569,1901251,1914241,1931401,1993011
安徽,电信,1332901,1532442,1621583,1731852,1771812,1801072,1811020,1890960,1901252,1914242,1931402,1993012
安徽,电信,1332902,1532443,1621584,1731853,1771813,1801073,1811021,1890961,1901253,1914243,1931403,1993014
安徽,电信,1332903,1532444,1621585,1731854,1771814,1801074,1811022,1890962,1901254,1914244,1931404,1993015
