省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
安徽,移动,1344065,1350050,1360550,1370550,1380055,1390055,1470020,1483301,1500550,1510550,1520550,1570550,1580550,1590550,1650035,1700130,1720150,1780550,1820550,1830550,1840550,1870550,1880550,1950550,1970561,1980550
安徽,移动,1344066,1350051,1360551,1370551,1380056,1390056,1470021,1483304,1500551,1510551,1520551,1570551,1580551,1590551,1650036,1700340,1720151,1780551,1820551,1830551,1840551,1870551,1880551,1950551,1970562,1980551
安徽,移动,1344266,1350052,1360552,1370552,1380550,1390096,1470022,1483315,1500552,1510552,1520552,1570552,1580552,1590552,1650550,1700550,1720152,1780552,1820552,1830552,1840552,1870552,1880552,1950552,1970563,1980552
安徽,移动,1344765,1350053,1360553,1370553,1380551,1390550,1470023,1483317,1500553,1510553,1520553,1570553,1580553,1590553,1650551,1700551,1720153,1780553,1820553,1830553,1840553,1870553,1880553,1950553,1970564,1980553
安徽,移动,1344766,1350054,1360554,1370554,1380552,1390551,1470024,1483318,1500554,1510554,1520554,1570554,1580554,1590554,1650552,1700552,1720154,1780554,1820554,1830554,1840554,1870554,1880554,1950554,1970566,1980554
安徽,移动,1344865,1350055,1360555,1370555,1380553,1390552,1470025,1483323,1500555,1510555,1520555,1570555,1580555,1590555,1650553,1700553,1720155,1780555,1820555,1830555,1840555,1870555,1880555,1950555,1971055,1980555
安徽,移动,1344964,1350056,1360556,1370556,1380554,1390553,1470026,1483325,1500556,1510556,1520556,1570556,1580556,1590556,1650554,1700554,1720156,1780556,1820556,1830556,1840556,1870556,1880556,1950556,1971056,1980556
安徽,移动,1347070,1350057,1360557,1370557,1380555,1390554,1470027,1483326,1500557,1510557,1520557,1570557,1580557,1590557,1650555,1700555,1720157,1780557,1820557,1830557,1840557,1870557,1880557,1950557,1971224,1980557
安徽,移动,1347071,1350058,1360558,1370558,1380556,1390555,1470028,1483329,1500558,1510558,1520558,1570558,1580558,1590558,1650556,1700556,1720158,1780558,1820558,1830558,1840558,1870558,1880558,1950558,1971225,1980558
安徽,移动,1347072,1350059,1360559,1370559,1380557,1390556,1470029,1483701,1500559,1510559,1520559,1570559,1580559,1590559,1650557,1700557,1720159,1780559,1820559,1830559,1840559,1870559,1880559,1950559,1971226,1980559
安徽,移动,1347073,1350550,1360560,1370560,1380558,1390557,1470030,1483716,1500560,1510560,1520560,1570560,1580560,1590560,1650558,1700558,1720160,1780560,1820560,1830560,1840560,1870560,1880560,1950560,1971227,1980560
安徽,移动,1347074,1350551,1360561,1370561,1380559,1390558,1470031,1483717,1500561,1510561,1520561,1570561,1580561,1590561,1650559,1700559,1720161,1780561,1820561,1830561,1840561,1870561,1880561,1950561,1971228,1980561
安徽,移动,1347075,1350552,1360562,1370562,1380560,1390559,1470032,1483723,1500562,1510562,1520562,1570562,1580562,1590562,1650561,1700569,1720162,1780562,1820562,1830562,1840562,1870562,1880562,1950562,1971229,1980562
安徽,移动,1347076,1350553,1360563,1370563,1380561,1390560,1470033,1488062,1500563,1510563,1520563,1570563,1580563,1590563,1650562,1700960,1720163,1780563,1820563,1830563,1840563,1870563,1880563,1950563,1971230,1980563
安徽,移动,1347077,1350554,1360564,1370564,1380562,1390561,1470034,1488063,1500564,1510564,1520564,1570564,1580564,1590564,1650563,1700961,1720164,1780564,1820564,1830564,1840564,1870564,1880564,1950564,1971231,1980564
安徽,移动,1347078,1350555,1360565,1370565,1380563,1390562,1470035,1488130,1500565,1510565,1520565,1570565,1580565,1590565,1650564,1700962,1720165,1780565,1820565,1830565,1840565,1870565,1880565,1950565,1971232,1980565
安徽,移动,1347079,1350556,1360566,1370566,1380564,1390563,1470036,1488131,1500566,1510566,1520566,1570566,1580566,1590566,1650566,1700963,1720166,1780566,1820566,1830566,1840566,1870566,1880566,1950566,1971233,1980566
安徽,移动,1347080,1350557,1360567,1370567,1380565,1390564,1470037,1488132,1500567,1510567,1520567,1570567,1580567,1590567,1650624,1700964,1720167,1780567,1820567,1830567,1840567,1870567,1880567,1950567,1971234,1980567
安徽,移动,1347081,1350558,1360568,1370568,1380566,1390565,1470038,1488133,1500568,1510568,1520568,1570568,1580568,1590568,1650625,1701260,1720168,1780568,1820568,1830568,1840568,1870568,1880568,1950568,1971235,1980568
安徽,移动,1347082,1350559,1360569,1370569,1380567,1390566,1470039,1488134,1500569,1510569,1520569,1570569,1580569,1590569,1650629,1701261,1720169,1780569,1820569,1830569,1840569,1870569,1880569,1950569,1971236,1980569
安徽,移动,1347083,1350560,1361550,1372100,1380568,1390567,1470550,1488135,1505500,1515500,1520980,1571550,1585500,1592230,1650630,1701262,1720170,1785500,1821470,1830670,1841194,1870980,1881550,1952365,1971237,1981060
安徽,移动,1347084,1350561,1361551,1372101,1380569,1390568,1470551,1488136,1505501,1515501,1520981,1571551,1585501,1592231,1650672,1701263,1720171,1785501,1821471,1830671,1843000,1870981,1881551,1952366,1971238,1981061
