省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
安徽,联通,1300002,1313540,1320550,1452080,1550500,1560550,1660550,1670062,1710020,1750550,1760550,1850550,1860550,1960550
安徽,联通,1300300,1313541,1320551,1452081,1550501,1560551,1660551,1670072,1710021,1750551,1760551,1850551,1860551,1960551
安徽,联通,1300301,1313542,1320552,1452082,1550502,1560552,1660552,1670080,1710022,1750552,1760552,1850552,1860552,1960552
安徽,联通,1300302,1313543,1320553,1452083,1550503,1560553,1660553,1670096,1710023,1750553,1760553,1850553,1860553,1960553
安徽,联通,1300303,1313544,1320554,1452084,1550504,1560554,1660554,1670115,1710024,1750554,1760554,1850554,1860554,1960554
安徽,联通,1300304,1313545,1320555,1452085,1550505,1560555,1660555,1670121,1710025,1750555,1760555,1850555,1860555,1960555
安徽,联通,1300305,1313546,1320556,1452086,1550506,1560556,1660556,1670125,1710026,1750556,1760556,1850556,1860556,1960556
安徽,联通,1300306,1313547,1320557,1452087,1550507,1560557,1660557,1670127,1710027,1750557,1760557,1850557,1860557,1960557
安徽,联通,1300307,1313548,1320558,1452088,1550508,1560558,1660558,1670162,1710028,1750558,1760558,1850558,1860558,1960558
安徽,联通,1300308,1313549,1320559,1452089,1550509,1560559,1660559,1670215,1710029,1750559,1760559,1850559,1860559,1960559
安徽,联通,1300309,1313550,1320560,1452090,1550550,1560560,1660560,1670265,1710030,1750560,1760560,1850560,1860560,1960560
安徽,联通,1300400,1313551,1320561,1452091,1550551,1560561,1660561,1670445,1710031,1750561,1760561,1850561,1860561,1960561
安徽,联通,1300401,1313552,1320562,1452092,1550552,1560562,1660562,1670461,1710032,1750562,1760562,1850562,1860562,1960562
安徽,联通,1300402,1313553,1320563,1452093,1550553,1560563,1660563,1670549,1710033,1750563,1760563,1850563,1860563,1960563
安徽,联通,1300403,1313554,1320564,1452094,1550554,1560564,1660564,1670550,1710034,1750564,1760564,1850564,1860564,1960564
安徽,联通,1300404,1313555,1320565,1452095,1550555,1560565,1660565,1670551,1710035,1750565,1760565,1850565,1860565,1960565
安徽,联通,1300405,1313556,1320566,1452096,1550556,1560566,1660566,1670552,1710036,1750566,1760566,1850566,1860566,1960566
安徽,联通,1300406,1313557,1320567,1452097,1550557,1560567,1660567,1670553,1710037,1750567,1760567,1850567,1860567,1960567
安徽,联通,1300407,1313558,1320568,1452098,1550558,1560568,1660568,1670554,1710038,1750568,1760568,1850568,1860568,1960568
安徽,联通,1300408,1313559,1320569,1452099,1550559,1560569,1660569,1670555,1710039,1750569,1760569,1850569,1860569,1960569
安徽,联通,1300409,1314550,1321550,1453080,1550560,1560960,1665500,1670556,1710040,1750960,1760960,1850960,1860960,1965500
安徽,联通,1301023,1314551,1321551,1453081,1550561,1560961,1665501,1670557,1710041,1750961,1760961,1850961,1860961,1965501
安徽,联通,1301028,1314552,1321552,1453082,1550562,1560962,1665502,1670558,1710042,1750962,1760962,1850962,1860962,1965502
安徽,联通,1301029,1314553,1321553,1453083,1550563,1560963,1665503,1670559,1710043,1750963,1760963,1850963,1860963,1965503
安徽,联通,1301030,1314554,1321554,1453084,1550564,1560964,1665504,1670561,1710044,1750964,1760964,1850964,1860964,1965504
安徽,联通,1301300,1314555,1321555,1453085,1550565,1560965,1665505,1670562,1710045,1750965,1760965,1850965,1860965,1965505
安徽,联通,1301301,1314556,1321556,1453086,1550566,1560966,1665506,1670563,1710046,1750966,1760966,1850966,1860966,1965506
安徽,联通,1301302,1314557,1321557,1453087,1550567,1560967,1665507,1670564,1710047,1750967,1760967,1850967,1860967,1965507
安徽,联通,1301303,1314558,1321558,1453088,1550568,1560968,1665508,1670566,1710048,1750968,1760968,1850968,1860968,1965508
