省份,运营商,192 号段
山东,广电,1920530
山东,广电,1920531
山东,广电,1920532
山东,广电,1920533
山东,广电,1920534
山东,广电,1920535
山东,广电,1920536
山东,广电,1920537
山东,广电,1920538
山东,广电,1920539
山东,广电,1920540
山东,广电,1920541
山东,广电,1920542
山东,广电,1920543
山东,广电,1920544
山东,广电,1920545
山东,广电,1920546
山东,广电,1920547
山东,广电,1920548
山东,广电,1920549
山东,广电,1920600
山东,广电,1920601
山东,广电,1920602
山东,广电,1920603
山东,广电,1920604
山东,广电,1920605
山东,广电,1920606
山东,广电,1920607
山东,广电,1920608
山东,广电,1920609
山东,广电,1920610
山东,广电,1920611
山东,广电,1920612
山东,广电,1920613
山东,广电,1920614
山东,广电,1920615
山东,广电,1920616
山东,广电,1920617
山东,广电,1920618
山东,广电,1920619
山东,广电,1920620
山东,广电,1920621
山东,广电,1920622
山东,广电,1920623
山东,广电,1920624
山东,广电,1920625
山东,广电,1920626
山东,广电,1920627
山东,广电,1920628
山东,广电,1920629
山东,广电,1920630
山东,广电,1920631
山东,广电,1920632
山东,广电,1920633
山东,广电,1920634
山东,广电,1920635
山东,广电,1920636
山东,广电,1920637
山东,广电,1920638
山东,广电,1920639
山东,广电,1921530
山东,广电,1921531
山东,广电,1921532
山东,广电,1921533
山东,广电,1921534
山东,广电,1921535
山东,广电,1921536
山东,广电,1921537
山东,广电,1921538
山东,广电,1921539
山东,广电,1921540
山东,广电,1921541
山东,广电,1921542
山东,广电,1921543
山东,广电,1921544
山东,广电,1921545
山东,广电,1921546
山东,广电,1921547
山东,广电,1921548
山东,广电,1921549
山东,广电,1921600
山东,广电,1921601
山东,广电,1921602
山东,广电,1921603
山东,广电,1921604
山东,广电,1921605
山东,广电,1921606
山东,广电,1921607
山东,广电,1921608
山东,广电,1921609
山东,广电,1921610
山东,广电,1921611
山东,广电,1921612
山东,广电,1921613
山东,广电,1921614
山东,广电,1921615
山东,广电,1921616
山东,广电,1921617
山东,广电,1921618
山东,广电,1921619
山东,广电,1921620
山东,广电,1921621
山东,广电,1921622
山东,广电,1921623
山东,广电,1921624
山东,广电,1921625
山东,广电,1921626
山东,广电,1921627
山东,广电,1921628
山东,广电,1921629
山东,广电,1921630
山东,广电,1921631
山东,广电,1921632
山东,广电,1921633
山东,广电,1921634
山东,广电,1921635
山东,广电,1921636
山东,广电,1921637
山东,广电,1921638
山东,广电,1921639
山东,广电,1921800
山东,广电,1921801
山东,广电,1921802
山东,广电,1921803
山东,广电,1921804
山东,广电,1921805
山东,广电,1921806
山东,广电,1921807
山东,广电,1921808
山东,广电,1921809
山东,广电,1922351
山东,广电,1922352
山东,广电,1922353
山东,广电,1922360
山东,广电,1922361
山东,广电,1922362
山东,广电,1922363
山东,广电,1922365
山东,广电,1922392
山东,广电,1922393
山东,广电,1922480
山东,广电,1922481
山东,广电,1922483
山东,广电,1922484
山东,广电,1922486
山东,广电,1922490
山东,广电,1922492
山东,广电,1922493
山东,广电,1922498
山东,广电,1922510
山东,广电,1922511
山东,广电,1922512
山东,广电,1922513
山东,广电,1922514
山东,广电,1922515
山东,广电,1922516
山东,广电,1922517
山东,广电,1922518
山东,广电,1922519
山东,广电,1922531
山东,广电,1922532
山东,广电,1922535
山东,广电,1922540
山东,广电,1922541
山东,广电,1922542
山东,广电,1922543
山东,广电,1922544
山东,广电,1922545
山东,广电,1922546
山东,广电,1922547
山东,广电,1922548
