省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
山东,电信,1330530,1530530,1621530,1730530,1770530,1800530,1810036,1890530,1900530,1910040,1930530,1990530
山东,电信,1330531,1530531,1621531,1730531,1770531,1800531,1810037,1890531,1900531,1910041,1930531,1990531
山东,电信,1330532,1530532,1621532,1730532,1770532,1800532,1810038,1890532,1900532,1910042,1930532,1990532
山东,电信,1330533,1530533,1621533,1730533,1770533,1800533,1810039,1890533,1900533,1910043,1930533,1990533
山东,电信,1330534,1530534,1621534,1730534,1770534,1800534,1810530,1890534,1900534,1910044,1930534,1990534
山东,电信,1330535,1530535,1621535,1730535,1770535,1800535,1810531,1890535,1900535,1910045,1930535,1990535
山东,电信,1330536,1530536,1621536,1730536,1770536,1800536,1810532,1890536,1900536,1910046,1930536,1990536
山东,电信,1330537,1530537,1621537,1730537,1770537,1800537,1810533,1890537,1900537,1910047,1930537,1990537
山东,电信,1330538,1530538,1621538,1730538,1770538,1800538,1810534,1890538,1900538,1910048,1930538,1990538
山东,电信,1330539,1530539,1621539,1730539,1770539,1800539,1810535,1890539,1900539,1910049,1930539,1990539
山东,电信,1330540,1530540,1621540,1730540,1770540,1800540,1810536,1890540,1900540,1910060,1930540,1990540
山东,电信,1330541,1530541,1621541,1730541,1770541,1800541,1810537,1890541,1900541,1910062,1930541,1990541
山东,电信,1330542,1530542,1621542,1730542,1770542,1800542,1810538,1890542,1900542,1910063,1930542,1990542
山东,电信,1330543,1530543,1621543,1730543,1770543,1800543,1810539,1890543,1900543,1910064,1930543,1990543
山东,电信,1330544,1530544,1621544,1730544,1770544,1800544,1810540,1890544,1900544,1910065,1930544,1990544
山东,电信,1330545,1530545,1621545,1730545,1770545,1800545,1810541,1890545,1900545,1910067,1930545,1990545
山东,电信,1330546,1530546,1621546,1730546,1770546,1800546,1810542,1890546,1900546,1910068,1930546,1990546
山东,电信,1330547,1530547,1621547,1730547,1770547,1800547,1810543,1890547,1900547,1910069,1930547,1990547
山东,电信,1330548,1530548,1621548,1730548,1770548,1800548,1810544,1890548,1900548,1910530,1930548,1990548
山东,电信,1330549,1530549,1621549,1730549,1770549,1800549,1810545,1890549,1900549,1910531,1930549,1990549
山东,电信,1330630,1530630,1621600,1730630,1770630,1800630,1810546,1890630,1900630,1910532,1930630,1990630
山东,电信,1330631,1530631,1621601,1730631,1770631,1800631,1810547,1890631,1900631,1910533,1930631,1990631
山东,电信,1330632,1530632,1621602,1730632,1770632,1800632,1810548,1890632,1900632,1910534,1930632,1990632
山东,电信,1330633,1530633,1621603,1730633,1770633,1800633,1810549,1890633,1900633,1910535,1930633,1990633
山东,电信,1330634,1530634,1621604,1730634,1770634,1800634,1810630,1890634,1900634,1910536,1930634,1990634
山东,电信,1330635,1530635,1621605,1730635,1770635,1800635,1810631,1890635,1900635,1910537,1930635,1990635
山东,电信,1330636,1530636,1621606,1730636,1770636,1800636,1810632,1890636,1900636,1910538,1930636,1990636
山东,电信,1330637,1530637,1621607,1730637,1770637,1800637,1810633,1890637,1900637,1910539,1930637,1990637
山东,电信,1330638,1530638,1621608,1730638,1770638,1800638,1810634,1890638,1900638,1910540,1930638,1990638
山东,电信,1330639,1530639,1621609,1730639,1770639,1800639,1810635,1890639,1900639,1910541,1930639,1990639
山东,电信,1330640,1530640,1621610,1735330,1775300,1800640,1810636,1890640,1900640,1910542,1930640,1990640
山东,电信,1330641,1530641,1621611,1735331,1775301,1800641,1810637,1890641,1900641,1910543,1930641,1990641
山东,电信,1330642,1530642,1621612,1735332,1775302,1800642,1810638,1890642,1900642,1910544,1930642,1990642
山东,电信,1330643,1530643,1621613,1735333,1775303,1800643,1810639,1890643,1900643,1910545,1930643,1990643
