省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
山东,移动,1340220,1350530,1360530,1370530,1380053,1390053,1470530,1480530,1500530,1510530,1520530,1570530,1580530,1590530,1650008,1700030,1720530,1780530,1820530,1830020,1840004,1870530,1880530,1950530,1970339,1980530
山东,移动,1340221,1350531,1360531,1370531,1380054,1390054,1470531,1480531,1500531,1510531,1520531,1570531,1580531,1590531,1650050,1700031,1720531,1780531,1820531,1830021,1840007,1870531,1880531,1950531,1970530,1980531
山东,移动,1340222,1350532,1360532,1370532,1380063,1390063,1470532,1480532,1500532,1510532,1520532,1570532,1580532,1590532,1650051,1700032,1720532,1780532,1820532,1830022,1840008,1870532,1880532,1950532,1970531,1980532
山东,移动,1340223,1350533,1360533,1370533,1380530,1390064,1470533,1480533,1500533,1510533,1520533,1570533,1580533,1590533,1650052,1700033,1720533,1780533,1820533,1830023,1840530,1870533,1880533,1950533,1970532,1980533
山东,移动,1340224,1350534,1360534,1370534,1380531,1390530,1470534,1480534,1500534,1510534,1520534,1570534,1580534,1590534,1650053,1700040,1720534,1780534,1820534,1830024,1840531,1870534,1880534,1950534,1970533,1980534
山东,移动,1340225,1350535,1360535,1370535,1380532,1390531,1470535,1480535,1500535,1510535,1520535,1570535,1580535,1590535,1650056,1700043,1720535,1780535,1820535,1830025,1840532,1870535,1880535,1950535,1970534,1980535
山东,移动,1340226,1350536,1360536,1370536,1380533,1390532,1470536,1480536,1500536,1510536,1520536,1570536,1580536,1590536,1650057,1700044,1720536,1780536,1820536,1830026,1840533,1870536,1880536,1950536,1970535,1980536
山东,移动,1340227,1350537,1360537,1370537,1380534,1390533,1470537,1480537,1500537,1510537,1520537,1570537,1580537,1590537,1650058,1700045,1720537,1780537,1820537,1830027,1840534,1870537,1880537,1950537,1970536,1980537
山东,移动,1340228,1350538,1360538,1370538,1380535,1390534,1470538,1480538,1500538,1510538,1520538,1570538,1580538,1590538,1650059,1700046,1720538,1780538,1820538,1830028,1840535,1870538,1880538,1950538,1970537,1980538
山东,移动,1340229,1350539,1360539,1370539,1380536,1390535,1470539,1480539,1500539,1510539,1520539,1570539,1580539,1590539,1650060,1700078,1720539,1780539,1820539,1830029,1840536,1870539,1880539,1950539,1970538,1980539
