省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
山东,联通,1300000,1310510,1320530,1452500,1467921,1550530,1560530,1660530,1670012,1711410,1750530,1760530,1850530,1860530,1960530
山东,联通,1300015,1310511,1320531,1452501,,1550531,1560531,1660531,1670031,1711411,1750531,1760531,1850531,1860531,1960531
山东,联通,1300016,1310512,1320532,1452502,,1550532,1560532,1660532,1670039,1711412,1750532,1760532,1850532,1860532,1960532
山东,联通,1300017,1310513,1320533,1452503,,1550533,1560533,1660533,1670056,1711413,1750533,1760533,1850533,1860533,1960533
山东,联通,1300027,1310514,1320534,1452504,,1550534,1560534,1660534,1670057,1711414,1750534,1760534,1850534,1860534,1960534
山东,联通,1300065,1310515,1320535,1452505,,1550535,1560535,1660535,1670098,1711415,1750535,1760535,1850535,1860535,1960535
山东,联通,1300150,1310516,1320536,1452506,,1550536,1560536,1660536,1670122,1711416,1750536,1760536,1850536,1860536,1960536
山东,联通,1300151,1310517,1320537,1452507,,1550537,1560537,1660537,1670157,1711417,1750537,1760537,1850537,1860537,1960537
山东,联通,1300152,1310518,1320538,1452508,,1550538,1560538,1660538,1670161,1711418,1750538,1760538,1850538,1860538,1960538
山东,联通,1300153,1310519,1320539,1452509,,1550539,1560539,1660539,1670165,1711419,1750539,1760539,1850539,1860539,1960539
山东,联通,1300154,1310520,1320540,1452510,,1550540,1560540,1660540,1670168,1711420,1750540,1760540,1850540,1860540,1960540
山东,联通,1300155,1310521,1320541,1452511,,1550541,1560541,1660541,1670169,1711421,1750541,1760541,1850541,1860541,1960541
山东,联通,1300156,1310522,1320542,1452512,,1550542,1560542,1660542,1670177,1711422,1750542,1760542,1850542,1860542,1960542
山东,联通,1300157,1310523,1320543,1452513,,1550543,1560543,1660543,1670178,1711423,1750543,1760543,1850543,1860543,1960543
山东,联通,1300158,1310524,1320544,1452514,,1550544,1560544,1660544,1670190,1711424,1750544,1760544,1850544,1860544,1960544
山东,联通,1300159,1310525,1320545,1452515,,1550545,1560545,1660545,1670195,1711425,1750545,1760545,1850545,1860545,1960545
山东,联通,1300160,1310526,1320546,1452516,,1550546,1560546,1660546,1670206,1711426,1750546,1760546,1850546,1860546,1960546
山东,联通,1300161,1310527,1320547,1452517,,1550547,1560547,1660547,1670209,1711427,1750547,1760547,1850547,1860547,1960547
山东,联通,1300162,1310528,1320548,1452518,,1550548,1560548,1660548,1670227,1711428,1750548,1760548,1850548,1860548,1960548
山东,联通,1300163,1310529,1320549,1452519,,1550549,1560549,1660549,1670228,1711429,1750549,1760549,1850549,1860549,1960549
山东,联通,1300164,1310530,1320630,1452520,,1550630,1560630,1660630,1670233,1711430,1750630,1760620,1850630,1860630,1960630
山东,联通,1300165,1310531,1320631,1452521,,1550631,1560631,1660631,1670253,1711431,1750631,1760621,1850631,1860631,1960631
山东,联通,1300166,1310532,1320632,1452522,,1550632,1560632,1660632,1670263,1711432,1750632,1760622,1850632,1860632,1960632
山东,联通,1300167,1310533,1320633,1452523,,1550633,1560633,1660633,1670267,1711433,1750633,1760623,1850633,1860633,1960633
山东,联通,1300168,1310534,1320634,1452524,,1550634,1560634,1660634,1670278,1711434,1750634,1760624,1850634,1860634,1960634
山东,联通,1300169,1310535,1320635,1452525,,1550635,1560635,1660635,1670285,1711435,1750635,1760625,1850635,1860635,1960635
山东,联通,1300170,1310536,1320636,1452526,,1550636,1560636,1660636,1670466,1711436,1750636,1760626,1850636,1860636,1960636
山东,联通,1300171,1310537,1320637,1452527,,1550637,1560637,1660637,1670504,1711437,1750637,1760627,1850637,1860637,1960637
山东,联通,1300172,1310538,1320638,1452528,,1550638,1560638,1660638,1670530,1711438,1750638,1760628,1850638,1860638,1960638
山东,联通,1300173,1310539,1320639,1452529,,1550639,1560639,1660639,1670531,1711439,1750639,1760629,1850639,1860639,1960639
山东,联通,1300174,1310540,1320640,1452530,,1550640,1560640,1660640,1670532,1711440,1750640,1760630,1850640,1860640,1965300
山东,联通,1300175,1310541,1320641,1452531,,1550641,1560641,1660641,1670533,1711441,1750641,1760631,1850641,1860641,1965301
山东,联通,1300176,1310542,1320642,1452532,,1550642,1560642,1660642,1670534,1711442,1750642,1760632,1850642,1860642,1965302
山东,联通,1300177,1310543,1320643,1452533,,1550643,1560643,1660643,1670535,1711443,1750643,1760633,1850643,1860643,1965303
山东,联通,1300178,1310544,1320644,1452534,,1550644,1560644,1660644,1670536,1711444,1750644,1760634,1850644,1860644,1965304
山东,联通,1300179,1310545,1320645,1452535,,1550645,1560645,1660645,1670537,1711445,1750645,1760635,1850645,1860645,1965305
山东,联通,1300270,1310546,1320646,1452536,,1550646,1560646,1660646,1670538,1711446,1750646,1760636,1850646,1860646,1965306
山东,联通,1300271,1310547,1320647,1452537,,1550647,1560647,1660647,1670539,1711447,1750647,1760637,1850647,1860647,1965307
山东,联通,1300272,1310548,1320648,1452538,,1550648,1560648,1660648,1670543,1711448,1750648,1760638,1850648,1860648,1965308
