省份,运营商,192 号段
山西,广电,1920340
山西,广电,1920341
山西,广电,1920342
山西,广电,1920343
山西,广电,1920344
山西,广电,1920345
山西,广电,1920346
山西,广电,1920347
山西,广电,1920348
山西,广电,1920349
山西,广电,1920350
山西,广电,1920351
山西,广电,1920352
山西,广电,1920353
山西,广电,1920354
山西,广电,1920355
山西,广电,1920356
山西,广电,1920357
山西,广电,1920358
山西,广电,1920359
山西,广电,1921340
山西,广电,1921341
山西,广电,1921342
山西,广电,1921343
山西,广电,1921344
山西,广电,1921345
山西,广电,1921346
山西,广电,1921347
山西,广电,1921348
山西,广电,1921349
山西,广电,1921350
山西,广电,1921351
山西,广电,1921352
山西,广电,1921353
山西,广电,1921354
山西,广电,1921355
山西,广电,1921356
山西,广电,1921357
山西,广电,1921358
山西,广电,1921359
山西,广电,1922140
山西,广电,1922141
山西,广电,1922142
山西,广电,1922143
山西,广电,1922144
山西,广电,1922145
山西,广电,1922146
山西,广电,1922147
山西,广电,1922148
山西,广电,1922149
山西,广电,1922230
山西,广电,1922231
山西,广电,1922232
山西,广电,1922233
山西,广电,1922234
山西,广电,1922235
山西,广电,1922236
山西,广电,1922237
山西,广电,1922238
山西,广电,1922239
山西,广电,1922260
山西,广电,1922261
山西,广电,1922262
山西,广电,1922263
山西,广电,1922264
山西,广电,1922265
山西,广电,1922266
山西,广电,1922267
山西,广电,1922268
山西,广电,1922269
山西,广电,1922381
山西,广电,1922491
山西,广电,1923350
山西,广电,1923351
山西,广电,1923352
山西,广电,1923353
山西,广电,1923354
山西,广电,1923355
山西,广电,1923356
山西,广电,1923357
山西,广电,1923358
山西,广电,1923359
山西,广电,1924340
山西,广电,1924341
山西,广电,1924342
山西,广电,1924343
山西,广电,1924344
山西,广电,1924345
山西,广电,1924346
山西,广电,1924347
山西,广电,1924348
山西,广电,1924349
山西,广电,1924350
山西,广电,1924351
山西,广电,1924352
山西,广电,1924353
山西,广电,1924354
山西,广电,1924355
山西,广电,1924356
山西,广电,1924357
山西,广电,1924358
山西,广电,1924359
山西,广电,1924620
山西,广电,1924621
山西,广电,1924622
山西,广电,1924623
山西,广电,1924624
山西,广电,1924625
山西,广电,1924626
山西,广电,1924627
山西,广电,1924628
山西,广电,1924629
山西,广电,1925350
山西,广电,1925351
山西,广电,1925352
山西,广电,1925353
山西,广电,1925354
山西,广电,1925355
山西,广电,1925356
山西,广电,1925357
山西,广电,1925358
山西,广电,1925359
山西,广电,1928340
山西,广电,1928341
山西,广电,1928342
山西,广电,1928343
山西,广电,1928344
山西,广电,1928345
山西,广电,1928346
山西,广电,1928347
山西,广电,1928348
山西,广电,1928349
山西,广电,1929340
山西,广电,1929341
山西,广电,1929342
山西,广电,1929343
山西,广电,1929344
山西,广电,1929345
山西,广电,1929346
山西,广电,1929347
山西,广电,1929348
山西,广电,1929349
