省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
山西,电信,1330340,1530340,1623500,1730340,1770340,1800340,1810034,1890340,1900340,1910340,1930340,1990340
山西,电信,1330341,1530341,1623501,1730341,1770341,1800341,1810035,1890341,1900341,1910341,1930341,1990341
山西,电信,1330342,1530342,1623502,1730342,1770342,1800342,1810340,1890342,1900342,1910342,1930342,1990342
山西,电信,1330343,1530343,1623503,1730343,1770343,1800343,1810341,1890343,1900343,1910343,1930343,1990343
山西,电信,1330344,1530344,1623504,1730344,1770344,1800344,1810342,1890344,1900344,1910344,1930344,1990344
山西,电信,1330345,1530345,1623505,1730345,1770345,1800345,1810343,1890345,1900345,1910345,1930345,1990345
山西,电信,1330346,1530346,1623506,1730346,1770346,1800346,1810344,1890346,1900346,1910346,1930346,1990346
山西,电信,1330347,1530347,1623507,1730347,1770347,1800347,1810345,1890347,1900347,1910347,1930347,1990347
山西,电信,1330348,1530348,1623508,1730348,1770348,1800348,1810346,1890348,1900348,1910348,1930348,1990348
山西,电信,1330349,1530349,1623509,1730349,1770349,1800349,1810347,1890349,1900349,1910349,1930349,1990349
山西,电信,1330350,1530350,1623510,1730350,1770350,1800350,1810348,1890350,1900350,1910350,1930350,1990350
山西,电信,1330351,1530351,1623511,1730351,1770351,1800351,1810349,1890351,1900351,1910351,1930351,1990351
山西,电信,1330352,1530352,1623512,1730352,1770352,1800352,1810350,1890352,1900352,1910352,1930352,1990352
山西,电信,1330353,1530353,1623513,1730353,1770353,1800353,1810351,1890353,1900353,1910353,1930353,1990353
山西,电信,1330354,1530354,1623514,1730354,1770354,1800354,1810352,1890354,1900354,1910354,1930354,1990354
山西,电信,1330355,1530355,1623515,1730355,1770355,1800355,1810353,1890355,1900355,1910355,1930355,1990355
山西,电信,1330356,1530356,1623516,1730356,1770356,1800356,1810354,1890356,1900356,1910356,1930356,1990356
山西,电信,1330357,1530357,1623517,1730357,1770357,1800357,1810355,1890357,1900357,1910357,1930357,1990357
山西,电信,1330358,1530358,1623518,1730358,1770358,1800358,1810356,1890358,1900358,1910358,1930358,1990358
山西,电信,1330359,1530359,1623519,1730359,1770359,1800359,1810357,1890359,1900359,1910359,1930359,1990359
山西,电信,1331340,1533102,1623520,1733500,1773490,1803490,1810358,1893500,1903440,1913500,1931100,1993490
山西,电信,1331341,1533107,1623521,1733501,1773491,1803491,1810359,1893501,1903441,1913501,1931101,1993491
山西,电信,1331342,1533300,1623522,1733502,1773492,1803492,1813490,1893502,1903442,1913502,1931102,1993492
