省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
山西,移动,1340340,1350350,1360350,1370050,1380030,1390034,1470340,1480565,1500340,1510340,1520340,1570250,1580340,1590340,1650151,1700023,1720050,1780340,1820340,1830340,1840340,1870340,1880340,1950340,1970349,1980340
山西,移动,1340341,1350351,1360351,1370051,1380032,1390035,1470341,1480566,1500341,1510341,1520341,1570251,1580341,1590341,1650349,1700024,1720051,1780341,1820341,1830341,1840341,1870341,1880341,1950341,1970350,1980341
山西,移动,1340342,1350352,1360352,1370052,1380034,1390340,1470342,1480567,1500342,1510342,1520342,1570252,1580342,1590342,1650350,1700025,1720052,1780342,1820342,1830342,1840342,1870342,1880342,1950342,1970351,1980342
山西,移动,1340343,1350353,1360353,1370053,1380035,1390341,1470343,1480568,1500343,1510343,1520343,1570253,1580343,1590343,1650351,1700026,1720053,1780343,1820343,1830343,1840343,1870343,1880343,1950343,1970352,1980343
山西,移动,1340344,1350354,1360354,1370054,1380036,1390342,1470344,1480569,1500344,1510344,1520344,1570254,1580344,1590344,1650352,1700027,1720054,1780344,1820344,1830344,1840344,1870344,1880344,1950344,1970353,1980344
山西,移动,1340345,1350355,1360355,1370055,1380038,1390343,1470345,1480570,1500345,1510345,1520345,1570255,1580345,1590345,1650353,1700028,1720055,1780345,1820345,1830345,1840345,1870345,1880345,1950345,1970354,1980345
山西,移动,1340346,1350356,1360356,1370056,1380340,1390344,1470346,1480571,1500346,1510346,1520346,1570256,1580346,1590346,1650354,1700029,1720056,1780346,1820346,1830346,1840346,1870346,1880346,1950346,1970355,1980346
山西,移动,1340347,1350357,1360357,1370057,1380341,1390345,1470347,1480572,1500347,1510347,1520347,1570257,1580347,1590347,1650355,1700036,1720057,1780347,1820347,1830347,1840347,1870347,1880347,1950347,1970356,1980347
山西,移动,1340348,1350358,1360358,1370058,1380342,1390346,1470348,1480573,1500348,1510348,1520348,1570258,1580348,1590348,1650356,1700037,1720058,1780348,1820348,1830348,1840348,1870348,1880348,1950348,1970357,1980348
山西,移动,1340349,1350359,1360359,1370059,1380343,1390347,1470349,1480574,1500349,1510349,1520349,1570259,1580349,1590349,1650357,1700038,1720059,1780349,1820349,1830349,1840349,1870349,1880349,1950349,1970358,1980349
山西,移动,1340350,1350970,1361060,1370350,1380344,1390348,1470350,1480575,1500350,1510350,1520350,1570260,1580350,1590350,1650358,1700039,1720060,1780350,1820350,1830350,1840350,1870350,1880350,1950350,1970359,1980350
山西,移动,1340351,1350971,1361061,1370351,1380345,1390349,1470351,1480576,1500351,1510351,1520351,1570261,1580351,1590351,1650359,1700131,1720061,1780351,1820351,1830351,1840351,1870351,1880351,1950351,1971034,1980351
山西,移动,1340352,1350972,1361062,1370352,1380346,1390350,1470352,1480577,1500352,1510352,1520352,1570262,1580352,1590352,1650503,1700348,1720062,1780352,1820352,1830352,1840352,1870352,1880352,1950352,1971035,1980352
山西,移动,1340353,1350973,1361063,1370353,1380347,1390351,1470353,1480578,1500353,1510353,1520353,1570263,1580353,1590353,1650723,1700349,1720063,1780353,1820353,1830353,1840353,1870353,1880353,1950353,1971349,1980353
山西,移动,1340354,1350974,1361064,1370354,1380348,1390352,1470354,1480579,1500354,1510354,1520354,1570264,1580354,1590354,1650729,1700350,1720064,1780354,1820354,1830354,1840354,1870354,1880354,1950354,1971350,1980354
山西,移动,1340355,1350975,1361065,1370355,1380349,1390353,1470355,1480580,1500355,1510355,1520355,1570265,1580355,1590355,1650780,1700351,1720065,1780355,1820355,1830355,1840355,1870355,1880355,1950355,1971351,1980355
