省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
山西,联通,1300700,1310000,1320340,1450160,1550340,1560340,1660340,1670073,1711670,1750340,1760340,1850340,1860340,1960340
山西,联通,1300701,1310001,1320341,1450161,1550341,1560341,1660341,1670343,1711671,1750341,1760341,1850341,1860341,1960341
山西,联通,1300702,1310002,1320342,1450162,1550342,1560342,1660342,1670349,1711672,1750342,1760342,1850342,1860342,1960342
山西,联通,1300703,1310003,1320343,1450163,1550343,1560343,1660343,1670350,1711673,1750343,1760343,1850343,1860343,1960343
山西,联通,1300704,1310004,1320344,1450164,1550344,1560344,1660344,1670351,1711674,1750344,1760344,1850344,1860344,1960344
山西,联通,1300705,1310005,1320345,1450165,1550345,1560345,1660345,1670352,1711675,1750345,1760345,1850345,1860345,1960345
山西,联通,1300706,1310006,1320346,1450166,1550346,1560346,1660346,1670353,1711676,1750346,1760346,1850346,1860346,1960346
山西,联通,1300707,1310007,1320347,1450167,1550347,1560347,1660347,1670354,1711677,1750347,1760347,1850347,1860347,1960347
山西,联通,1300708,1310008,1320348,1450168,1550348,1560348,1660348,1670355,1711678,1750348,1760348,1850348,1860348,1960348
山西,联通,1300709,1310009,1320349,1450169,1550349,1560349,1660349,1670356,1711679,1750349,1760349,1850349,1860349,1960349
山西,联通,1300800,1310010,1320350,1450170,1550350,1560350,1660350,1670357,1711680,1750350,1760350,1850350,1860350,1960350
山西,联通,1300801,1310011,1320351,1450171,1550351,1560351,1660351,1670358,1711681,1750351,1760351,1850351,1860351,1960351
山西,联通,1300802,1310012,1320352,1450172,1550352,1560352,1660352,1670584,1711682,1750352,1760352,1850352,1860352,1960352
山西,联通,1300803,1310013,1320353,1450173,1550353,1560353,1660353,1670740,1711683,1750353,1760353,1850353,1860353,1960353
山西,联通,1300804,1310014,1320354,1450174,1550354,1560354,1660354,1671340,1711684,1750354,1760354,1850354,1860354,1960354
山西,联通,1300805,1310015,1320355,1450175,1550355,1560355,1660355,1671341,1711685,1750355,1760355,1850355,1860355,1960355
山西,联通,1300806,1310016,1320356,1450176,1550356,1560356,1660356,1671342,1711686,1750356,1760356,1850356,1860356,1960356
山西,联通,1300807,1310017,1320357,1450177,1550357,1560357,1660357,1671343,1711687,1750357,1760357,1850357,1860357,1960357
山西,联通,1300808,1310018,1320358,1450178,1550358,1560358,1660358,1671344,1711688,1750358,1760358,1850358,1860358,1960358
山西,联通,1300809,1310019,1320359,1450179,1550359,1560359,1660359,1671345,1711689,1750359,1760359,1850359,1860359,1960359
山西,联通,1301070,1310340,1320980,1450180,1550360,1563490,1661340,1671346,1711690,1751810,1763400,1853400,1861350,1960360
山西,联通,1301530,1310341,1320981,1450181,1550361,1563491,1661341,1671347,1711691,1751811,1763401,1853401,1861351,1960361
山西,联通,1301531,1310342,1320982,1450182,1550362,1563492,1661342,1671348,1711692,1751812,1763402,1853402,1861352,1960362
山西,联通,1301532,1310343,1320983,1450183,1550363,1563493,1661343,1671349,1711693,1751813,1763403,1853403,1861353,1960363
山西,联通,1301533,1310344,1320984,1450184,1550364,1563494,1661344,1671350,1711694,1751814,1763404,1853404,1861354,1960364
山西,联通,1301534,1310345,1320985,1450185,1550365,1563495,1661345,1671351,1711695,1751815,1763405,1853405,1861355,1960365
山西,联通,1301535,1310346,1320986,1450186,1550366,1563496,1661346,1671352,1711696,1751816,1763406,1853406,1861356,1960366
山西,联通,1301536,1310347,1320987,1450187,1550367,1563497,1661347,1671353,1711697,1751817,1763407,1853407,1861357,1960367
山西,联通,1301537,1310348,1320988,1450188,1550368,1563498,1661348,1671354,1711698,1751818,1763408,1853408,1861358,1960368
山西,联通,1301538,1310349,1320989,1450189,1550369,1563499,1661349,1671355,1711699,1751819,1763409,1853409,1861359,1960369
山西,联通,1301539,1310350,1322350,1450190,1551300,1563500,1661350,1671356,1711700,1751820,1763410,1853410,1863420,1963500
山西,联通,1301540,1310351,1322351,1450191,1551301,1563501,1661351,1671357,1711701,1751821,1763411,1853411,1863421,1963501
