省份,运营商,192 号段
广东,广电,1920000
广东,广电,1920001
广东,广电,1920002
广东,广电,1920003
广东,广电,1920004
广东,广电,1920005
广东,广电,1920006
广东,广电,1920007
广东,广电,1920008
广东,广电,1920009
广东,广电,1920010
广东,广电,1920011
广东,广电,1920012
广东,广电,1920013
广东,广电,1920014
广东,广电,1920015
广东,广电,1920016
广东,广电,1920017
广东,广电,1920018
广东,广电,1920019
广东,广电,1920020
广东,广电,1920021
广东,广电,1920022
广东,广电,1920023
广东,广电,1920024
广东,广电,1920025
广东,广电,1920026
广东,广电,1920027
广东,广电,1920028
广东,广电,1920029
广东,广电,1920030
广东,广电,1920031
广东,广电,1920032
广东,广电,1920033
广东,广电,1920034
广东,广电,1920035
广东,广电,1920036
广东,广电,1920037
广东,广电,1920038
广东,广电,1920039
广东,广电,1920040
广东,广电,1920041
广东,广电,1920042
广东,广电,1920043
广东,广电,1920044
广东,广电,1920045
广东,广电,1920046
广东,广电,1920047
广东,广电,1920048
广东,广电,1920049
广东,广电,1920050
广东,广电,1920051
广东,广电,1920052
广东,广电,1920053
广东,广电,1920054
广东,广电,1920055
广东,广电,1920056
广东,广电,1920057
广东,广电,1920058
广东,广电,1920059
广东,广电,1920060
广东,广电,1920061
广东,广电,1920062
广东,广电,1920063
广东,广电,1920064
广东,广电,1920065
广东,广电,1920066
广东,广电,1920067
广东,广电,1920068
广东,广电,1920069
广东,广电,1920070
广东,广电,1920071
广东,广电,1920072
广东,广电,1920073
广东,广电,1920074
广东,广电,1920075
广东,广电,1920076
广东,广电,1920077
广东,广电,1920078
广东,广电,1920079
广东,广电,1920080
广东,广电,1920081
广东,广电,1920082
广东,广电,1920083
广东,广电,1920084
广东,广电,1920085
广东,广电,1920086
广东,广电,1920087
广东,广电,1920088
广东,广电,1920089
广东,广电,1920090
广东,广电,1920091
广东,广电,1920092
广东,广电,1920093
广东,广电,1920094
广东,广电,1920095
广东,广电,1920096
广东,广电,1920097
广东,广电,1920098
广东,广电,1920099
广东,广电,1920200
广东,广电,1920201
广东,广电,1920202
广东,广电,1920203
广东,广电,1920204
广东,广电,1920205
广东,广电,1920206
广东,广电,1920207
广东,广电,1920208
广东,广电,1920209
广东,广电,1920660
广东,广电,1920661
广东,广电,1920662
广东,广电,1920663
广东,广电,1920664
广东,广电,1920665
广东,广电,1920666
广东,广电,1920667
广东,广电,1920668
广东,广电,1920669
广东,广电,1920750
广东,广电,1920751
广东,广电,1920752
广东,广电,1920753
广东,广电,1920754
广东,广电,1920755
广东,广电,1920756
广东,广电,1920757
广东,广电,1920758
广东,广电,1920759
广东,广电,1920760
广东,广电,1920761
广东,广电,1920762
广东,广电,1920763
广东,广电,1920764
广东,广电,1920765
广东,广电,1920766
广东,广电,1920767
广东,广电,1920768
广东,广电,1920769
广东,广电,1921000
广东,广电,1921001
广东,广电,1921002
广东,广电,1921003
广东,广电,1921004
广东,广电,1921005
广东,广电,1921006
广东,广电,1921007
广东,广电,1921008
广东,广电,1921009
广东,广电,1921010
广东,广电,1921011
广东,广电,1921012
广东,广电,1921013
广东,广电,1921014
广东,广电,1921015
广东,广电,1921016
广东,广电,1921017
广东,广电,1921018
广东,广电,1921019
广东,广电,1921020
广东,广电,1921021
广东,广电,1921022
广东,广电,1921023
广东,广电,1921024
广东,广电,1921025
广东,广电,1921026
广东,广电,1921027
广东,广电,1921028
广东,广电,1921029
广东,广电,1921030
广东,广电,1921031
广东,广电,1921032
广东,广电,1921033
广东,广电,1921034
广东,广电,1921035
广东,广电,1921036
广东,广电,1921037
广东,广电,1921038
广东,广电,1921039
广东,广电,1921040
广东,广电,1921041
广东,广电,1921042
广东,广电,1921043
广东,广电,1921044
广东,广电,1921045
广东,广电,1921046
广东,广电,1921047
广东,广电,1921048
广东,广电,1921049
广东,广电,1921200
广东,广电,1921201
广东,广电,1921202
广东,广电,1921203
广东,广电,1921204
广东,广电,1921205
广东,广电,1921206
广东,广电,1921207
广东,广电,1921208
广东,广电,1921209
广东,广电,1921660
广东,广电,1921661
广东,广电,1921662
广东,广电,1921663
广东,广电,1921664
广东,广电,1921665
广东,广电,1921666
广东,广电,1921667
广东,广电,1921668
广东,广电,1921669
广东,广电,1921713
广东,广电,1921750
广东,广电,1921751
广东,广电,1921752
广东,广电,1921753
广东,广电,1921754
广东,广电,1921755
广东,广电,1921756
广东,广电,1921757
广东,广电,1921758
广东,广电,1921759
广东,广电,1921760
广东,广电,1921761
广东,广电,1921762
广东,广电,1921763
广东,广电,1921764
广东,广电,1921765
广东,广电,1921766
广东,广电,1921767
广东,广电,1921768
广东,广电,1921769
广东,广电,1922160
广东,广电,1922161
广东,广电,1922162
广东,广电,1922163
广东,广电,1922164
广东,广电,1922165
广东,广电,1922166
广东,广电,1922167
广东,广电,1922168
广东,广电,1922169
广东,广电,1922170
广东,广电,1922171
广东,广电,1922172
广东,广电,1922173
广东,广电,1922174
广东,广电,1922175
广东,广电,1922176
广东,广电,1922177
广东,广电,1922178
广东,广电,1922179
广东,广电,1922200
广东,广电,1922201
广东,广电,1922202
广东,广电,1922203
广东,广电,1922204
广东,广电,1922205
广东,广电,1922206
广东,广电,1922207
广东,广电,1922208
广东,广电,1922209
广东,广电,1922240
广东,广电,1922241
广东,广电,1922242
广东,广电,1922243
广东,广电,1922244
广东,广电,1922245
广东,广电,1922246
广东,广电,1922247
广东,广电,1922248
广东,广电,1922249
广东,广电,1922320
广东,广电,1922343
广东,广电,1922348
广东,广电,1922355
广东,广电,1922364
广东,广电,1922366
广东,广电,1922367
广东,广电,1922368
广东,广电,1922369
广东,广电,1922375
广东,广电,1922404
广东,广电,1922414
广东,广电,1922416
广东,广电,1922430
广东,广电,1922433
广东,广电,1922435
广东,广电,1922436
广东,广电,1922449
广东,广电,1922452
广东,广电,1922455
广东,广电,1922475
广东,广电,1922499
广东,广电,1922520
广东,广电,1922521
广东,广电,1922522
广东,广电,1922523
广东,广电,1922524
广东,广电,1922530
广东,广电,1922533
广东,广电,1922534
广东,广电,1922536
广东,广电,1922537
广东,广电,1922538
广东,广电,1922539
广东,广电,1922553
广东,广电,1922554
广东,广电,1922560
广东,广电,1922561
广东,广电,1922562
广东,广电,1922563
广东,广电,1922564
广东,广电,1922565
广东,广电,1922566
广东,广电,1922567
广东,广电,1922568
广东,广电,1922569
广东,广电,1922660
广东,广电,1922661
广东,广电,1922662
广东,广电,1922663
广东,广电,1922664
广东,广电,1922665
广东,广电,1922666
广东,广电,1922667
广东,广电,1922668
广东,广电,1922669
广东,广电,1922670
广东,广电,1922671
广东,广电,1922672
广东,广电,1922673
广东,广电,1922674
广东,广电,1922675
广东,广电,1922676
广东,广电,1922677
广东,广电,1922678
广东,广电,1922679
广东,广电,1922680
广东,广电,1922681
广东,广电,1922682
广东,广电,1922683
广东,广电,1922684
广东,广电,1922685
广东,广电,1922686
广东,广电,1922687
广东,广电,1922688
广东,广电,1922689
广东,广电,1922730
