省份,运营商,133 号段,141 号段,149 号段,153 号段,162 号段,173 号段,174 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
广东,电信,1330220,1410100,1491100,1530220,1621200,1730190,1749303,1770190,1800000,1810020,1890080,1900200,1910200,1930200,1990220
广东,电信,1330221,1410101,1491101,1530221,1621201,1730191,,1770191,1800002,1810021,1890081,1900201,1910201,1930201,1990221
广东,电信,1330222,1410102,1491102,1530222,1621202,1730192,,1770192,1800003,1810022,1890082,1900202,1910202,1930202,1990222
广东,电信,1330223,1410103,1491103,1530223,1621203,1730193,,1770193,1800080,1810023,1890083,1900203,1910203,1930203,1990223
广东,电信,1330224,1410104,1491104,1530224,1621204,1730194,,1770194,1800081,1810024,1890084,1900204,1910204,1930204,1990224
广东,电信,1330225,1410105,1491105,1530225,1621205,1730195,,1770195,1800082,1810025,1890085,1900205,1910205,1930205,1990225
广东,电信,1330226,1410106,1491106,1530226,1621206,1730196,,1770196,1800083,1810026,1890086,1900206,1910206,1930206,1990226
广东,电信,1330227,1410107,1491107,1530227,1621207,1730197,,1770197,1800084,1810027,1890087,1900207,1910207,1930207,1990227
广东,电信,1330228,1410108,1491108,1530228,1621208,1730198,,1770198,1800085,1810028,1890088,1900208,1910208,1930208,1990228
广东,电信,1330229,1410109,1491109,1530229,1621209,1730199,,1770199,1800086,1810029,1890089,1900209,1910209,1930209,1990229
广东,电信,1330230,1410400,1491110,1530230,1621260,1730200,,1770200,1800087,1810220,1890220,1900660,1910300,1930300,1990230
广东,电信,1330231,1410401,1491111,1530231,1621261,1730201,,1770201,1800088,1810221,1890221,1900661,1910301,1930301,1990231
广东,电信,1330232,1410402,1491112,1530232,1621262,1730202,,1770202,1800089,1810222,1890222,1900662,1910302,1930302,1990232
广东,电信,1330233,1410403,1491113,1530233,1621263,1730203,,1770203,1800090,1810223,1890223,1900663,1910303,1930303,1990233
广东,电信,1330234,1410404,1491114,1530234,1621264,1730204,,1770204,1800091,1810224,1890224,1900664,1910304,1930304,1990234
广东,电信,1330235,1410405,1491115,1530235,1621265,1730205,,1770205,1800092,1810225,1890225,1900665,1910305,1930305,1990235
广东,电信,1330236,1410406,1491116,1530236,1621266,1730206,,1770206,1800093,1810226,1890226,1900667,1910306,1930306,1990236
广东,电信,1330237,1410407,1491117,1530237,1621267,1730207,,1770207,1800094,1810227,1890227,1900668,1910307,1930307,1990237
广东,电信,1330238,1410408,1491118,1530238,1621268,1730208,,1770208,1800095,1810228,1890228,1900669,1910308,1930308,1990238
广东,电信,1330239,1410409,1491119,1530239,1621269,1730209,,1770209,1800096,1810229,1890229,1900750,1910309,1930309,1990239
广东,电信,1330240,,1491120,1530240,1621760,1730260,,1770260,1800097,1810250,1890230,1900751,1910660,1930400,1990240
广东,电信,1330241,,1491121,1530241,1621761,1730261,,1770261,1800098,1810251,1890231,1900752,1910661,1930401,1990241
广东,电信,1330242,,1491122,1530242,1621762,1730262,,1770262,1800099,1810252,1890232,1900753,1910662,1930402,1990242
广东,电信,1330243,,1491123,1530243,1621763,1730263,,1770263,1800220,1810253,1890233,1900754,1910663,1930403,1990243
广东,电信,1330244,,1491124,1530244,1621764,1730264,,1770264,1800221,1810254,1890234,1900755,1910664,1930404,1990244
广东,电信,1330245,,1491125,1530245,1627420,1730265,,1770265,1800222,1810255,1890235,1900756,1910665,1930405,1990245
广东,电信,1330246,,1491126,1530246,1627421,1730266,,1770266,1800223,1810256,1890236,1900757,1910666,1930406,1990246
广东,电信,1330247,,1491127,1530247,1627422,1730267,,1770267,1800224,1810257,1890237,1900758,1910667,1930407,1990247
广东,电信,1330248,,1491128,1530248,1627423,1730268,,1770268,1800225,1810258,1890238,1900759,1910668,1930408,1990248
广东,电信,1330249,,1491129,1530249,1627424,1730269,,1770269,1800226,1810259,1890239,1900760,1910669,1930409,1990249
广东,电信,1330250,,1491130,1530250,1627425,1730300,,1770300,1800227,1810260,1890240,1900761,1910750,1930490,1990250
广东,电信,1330251,,1491131,1530251,1627426,1730301,,1770301,1800228,1810261,1890241,1900762,1910751,1930491,1990251
广东,电信,1330252,,1491132,1530252,1627427,1730302,,1770302,1800229,1810262,1890242,1900763,1910752,1930492,1990252
广东,电信,1330253,,1491133,1530253,1627428,1730303,,1770303,1800250,1810263,1890243,1900764,1910753,1930493,1990253
广东,电信,1330254,,1491134,1530254,1627429,1730304,,1770304,1800251,1810264,1890244,1900765,1910754,1930494,1990254
广东,电信,1330255,,1491135,1530255,1627690,1730305,,1770305,1800252,1810265,1890245,1900766,1910755,1930495,1990255
广东,电信,1330256,,1491136,1530256,1627691,1730306,,1770306,1800253,1810266,1890246,1900767,1910756,1930496,1990256
广东,电信,1330257,,1491137,1530257,1627692,1730307,,1770307,1800254,1810267,1890247,1900768,1910757,1930497,1990257
广东,电信,1330258,,1491138,1530258,1627693,1730308,,1770308,1800255,1810268,1890248,1900769,1910758,1930498,1990258
广东,电信,1330259,,1491139,1530259,1627694,1730309,,1770309,1800256,1810269,1890249,1902051,1910759,1930499,1990259
广东,电信,1330260,,1491140,1530260,1627695,1730400,,1770400,1800257,1810270,1890250,1902052,1910760,1930660,1990260
广东,电信,1330261,,1491141,1530261,1627696,1730401,,1770401,1800258,1810271,1890251,1902054,1910761,1930661,1990261
广东,电信,1330262,,1491142,1530262,1627697,1730402,,1770402,1800259,1810272,1890252,1902060,1910762,1930662,1990262
广东,电信,1330263,,1491143,1530263,1627698,1730403,,1770403,1800260,1810273,1890253,1902061,1910763,1930663,1990263
广东,电信,1330264,,1491144,1530264,1629200,1730404,,1770404,1800261,1810274,1890254,1902062,1910764,1930664,1990264
广东,电信,1330265,,1491145,1530265,1629201,1730405,,1770405,1800262,1810275,1890255,1902063,1910765,1930665,1990265
广东,电信,1330266,,1491146,1530266,1629202,1730406,,1770406,1800263,1810276,1890256,1902064,1910766,1930666,1990266
广东,电信,1330267,,1491147,1530267,1629203,1730407,,1770407,1800264,1810277,1890257,1902065,1910767,1930667,1990267
广东,电信,1330268,,1491148,1530268,1629204,1730408,,1770408,1800265,1810278,1890258,1902066,1910768,1930668,1990268
广东,电信,1330269,,1491149,1530269,1629205,1730409,,1770409,1800266,1810279,1890259,1902067,1910769,1930669,1990269
广东,电信,1330270,,,1530270,1629206,1730440,,1770750,1800267,1810280,1890260,1902068,1912000,1930680,1990270
广东,电信,1330271,,,1530271,1629750,1730441,,1770751,1800268,1810281,1890261,1902069,1912001,1930681,1990271
