省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
广东,移动,1341000,1350000,1360000,1370220,1380009,1390005,1470440,1480009,1500200,1510200,1520200,1570200,1580000,1590000,1650600,1700014,1720112,1780200,1820060,1830000,1840014,1870200,1880200,1950050,1970010,1980200
广东,移动,1341001,1350001,1360001,1370221,1380020,1390006,1470441,1480045,1500201,1510201,1520201,1570201,1580001,1590001,1650601,1700015,1720113,1780201,1820061,1830001,1840200,1870201,1880201,1950051,1970011,1980201
广东,移动,1341002,1350002,1360002,1370222,1380066,1390007,1470442,1480050,1500202,1510202,1520202,1570202,1580002,1590002,1650602,1700016,1720134,1780202,1820062,1830002,1840201,1870202,1880202,1950052,1970012,1980202
广东,移动,1341003,1350003,1360003,1370223,1380075,1390020,1470443,1480060,1500203,1510203,1520203,1570203,1580003,1590003,1650604,1700017,1720135,1780203,1820063,1830003,1840202,1870203,1880203,1950053,1970013,1980203
广东,移动,1341004,1350004,1360004,1370224,1380076,1390022,1470444,1480065,1500204,1510204,1520204,1570204,1580004,1590004,1650605,1700018,1720590,1780204,1820064,1830004,1840203,1870204,1880204,1950054,1970014,1980204
广东,移动,1341005,1350005,1360005,1370225,1380220,1390023,1470445,1480073,1500205,1510205,1520205,1570205,1580005,1590005,1650606,1700019,1720591,1780205,1820065,1830005,1840204,1870205,1880205,1950055,1970015,1980205
广东,移动,1341006,1350006,1360006,1370226,1380221,1390024,1470446,1480093,1500206,1510206,1520206,1570206,1580006,1590006,1650607,1700020,1720592,1780206,1820066,1830006,1840205,1870206,1880206,1950056,1970016,1980206
广东,移动,1341007,1350007,1360007,1370227,1380222,1390025,1470447,1480300,1500207,1510207,1520207,1570207,1580007,1590007,1650608,1700021,1720593,1780207,1820067,1830007,1840206,1870207,1880207,1950057,1970017,1980207
广东,移动,1341008,1350008,1360008,1370228,1380223,1390026,1470448,1480301,1500208,1510208,1520208,1570208,1580008,1590008,1650609,1700022,1720594,1780208,1820068,1830008,1840207,1870208,1880208,1950058,1970018,1980208
广东,移动,1341009,1350009,1360009,1370229,1380224,1390030,1470449,1480302,1500209,1510209,1520209,1570209,1580009,1590009,1650612,1700133,1720595,1780209,1820069,1830009,1840208,1870209,1880209,1950059,1970019,1980209
广东,移动,1341010,1350010,1360010,1370230,1380225,1390220,1470470,1480303,1500750,1510750,1520750,1570660,1580010,1590010,1650613,1700180,1720596,1780650,1820070,1830010,1840209,1870750,1880250,1950060,1970020,1980640
广东,移动,1341011,1350011,1360011,1370231,1380226,1390221,1470471,1480304,1500751,1510751,1520751,1570661,1580011,1590011,1650614,1700181,1720597,1780651,1820071,1830011,1840660,1870751,1880251,1950061,1970021,1980641
广东,移动,1341012,1350012,1360012,1370232,1380227,1390222,1470472,1480305,1500752,1510752,1520752,1570662,1580012,1590012,1650617,1700190,1720598,1780652,1820072,1830012,1840661,1870752,1880252,1950062,1970022,1980642
广东,移动,1341013,1350013,1360013,1370233,1380228,1390223,1470473,1480306,1500753,1510753,1520753,1570663,1580013,1590013,1650619,1700191,1720599,1780653,1820073,1830013,1840662,1870753,1880253,1950063,1970023,1980643
广东,移动,1341014,1350014,1360014,1370234,1380229,1390224,1470474,1480307,1500754,1510754,1520754,1570664,1580014,1590014,1650660,1700192,1720660,1780654,1820074,1830014,1840663,1870754,1880254,1950064,1970024,1980644
广东,移动,1341015,1350015,1360015,1370235,1380230,1390225,1470475,1480308,1500755,1510755,1520755,1570665,1580015,1590015,1650663,1700193,1720661,1780655,1820075,1830015,1840664,1870755,1880255,1950065,1970025,1980645
广东,移动,1341016,1350016,1360016,1370236,1380231,1390226,1470476,1480309,1500756,1510756,1520756,1570666,1580016,1590016,1650700,1700194,1720662,1780656,1820076,1830016,1840665,1870756,1880256,1950066,1970026,1980646
广东,移动,1341017,1350017,1360017,1370237,1380232,1390227,1470477,1480310,1500757,1510757,1520757,1570667,1580017,1590017,1650751,1700195,1720663,1780657,1820077,1830017,1840666,1870757,1880257,1950067,1970027,1980647
广东,移动,1341018,1350018,1360018,1370238,1380233,1390228,1470478,1480311,1500758,1510758,1520758,1570668,1580018,1590018,1650752,1700196,1720664,1780658,1820078,1830018,1840667,1870758,1880258,1950068,1970028,1980648
广东,移动,1341019,1350019,1360019,1370239,1380234,1390229,1470479,1480312,1500759,1510759,1520759,1570669,1580019,1590019,1650753,1700197,1720665,1780659,1820079,1830019,1840668,1870759,1880259,1950069,1970029,1980649
广东,移动,1341020,1350020,1360020,1370240,1380235,1390230,1470480,1480313,1500760,1510760,1520760,1570750,1580020,1590200,1650754,1700198,1720666,1780660,1820080,1830200,1840669,1870760,1880260,1950070,1970030,1980650
广东,移动,1341021,1350021,1360021,1370241,1380236,1390231,1470481,1480314,1500761,1510761,1520761,1570751,1580021,1590201,1650756,1700199,1720667,1780661,1820081,1830201,1840750,1870761,1880261,1950071,1970031,1980651
广东,移动,1341022,1350022,1360022,1370242,1380237,1390232,1470482,1480315,1500762,1510762,1520762,1570752,1580022,1590202,1650757,1700200,1720668,1780662,1820082,1830202,1840751,1870762,1880262,1950072,1970032,1980652
