省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
广东,联通,1300040,1310470,1320200,1452900,1460550,1550200,1560220,1660200,1670019,1710170,1750200,1760200,1850200,1860200,1960200
广东,联通,1300041,1310471,1320201,1452901,1460551,1550201,1560221,1660201,1670020,1710171,1750201,1760201,1850201,1860201,1960201
广东,联通,1300042,1310472,1320202,1452902,1460552,1550202,1560222,1660202,1670051,1710172,1750202,1760202,1850202,1860202,1960202
广东,联通,1300043,1310473,1320203,1452903,1460553,1550203,1560223,1660203,1670063,1710173,1750203,1760203,1850203,1860203,1960203
广东,联通,1300044,1310474,1320204,1452904,1460554,1550204,1560224,1660204,1670076,1710174,1750204,1760204,1850204,1860204,1960204
广东,联通,1300050,1310475,1320205,1452905,1460555,1550205,1560225,1660205,1670087,1710175,1750205,1760205,1850205,1860205,1960205
广东,联通,1300051,1310476,1320206,1452906,1460556,1550206,1560226,1660206,1670109,1710176,1750206,1760206,1850206,1860206,1960206
广东,联通,1300052,1310477,1320207,1452907,1460557,1550207,1560227,1660207,1670118,1710177,1750207,1760207,1850207,1860207,1960207
广东,联通,1300053,1310478,1320208,1452908,1460558,1550208,1560228,1660208,1670124,1710178,1750208,1760208,1850208,1860208,1960208
广东,联通,1300054,1310479,1320209,1452909,1460559,1550209,1560229,1660209,1670144,1710179,1750209,1760209,1850209,1860209,1960209
广东,联通,1300055,1310480,1320210,1452910,1460560,1550750,1560230,1660300,1670150,1710180,1750300,1760300,1850300,1860300,1960660
广东,联通,1300056,1310481,1320211,1452911,1460561,1550751,1560231,1660301,1670160,1710181,1750301,1760301,1850301,1860301,1960661
广东,联通,1300057,1310482,1320212,1452912,1460562,1550752,1560232,1660302,1670174,1710182,1750302,1760302,1850302,1860302,1960662
广东,联通,1300058,1310483,1320213,1452913,1460563,1550753,1560233,1660303,1670175,1710183,1750303,1760303,1850303,1860303,1960663
广东,联通,1300060,1310485,1320214,1452914,1460564,1550754,1560234,1660304,1670182,1710184,1750304,1760304,1850304,1860304,1960664
广东,联通,1300062,1310486,1320215,1452915,1460565,1550755,1560235,1660305,1670196,1710185,1750305,1760305,1850305,1860305,1960665
广东,联通,1300063,1310487,1320216,1452916,1460566,1550756,1560236,1660306,1670203,1710186,1750306,1760306,1850306,1860306,1960666
广东,联通,1300064,1310488,1320217,1452917,1460567,1550757,1560237,1660307,1670204,1710187,1750307,1760307,1850307,1860307,1960667
