省份,运营商,192 号段
广西,广电,1920670
广西,广电,1920671
广西,广电,1920672
广西,广电,1920673
广西,广电,1920674
广西,广电,1920675
广西,广电,1920676
广西,广电,1920677
广西,广电,1920678
广西,广电,1920679
广西,广电,1920770
广西,广电,1920771
广西,广电,1920772
广西,广电,1920773
广西,广电,1920774
广西,广电,1920775
广西,广电,1920776
广西,广电,1920777
广西,广电,1920778
广西,广电,1920779
广西,广电,1920780
广西,广电,1920781
广西,广电,1920782
广西,广电,1920783
广西,广电,1920784
广西,广电,1920785
广西,广电,1920786
广西,广电,1920787
广西,广电,1920788
广西,广电,1920789
广西,广电,1921440
广西,广电,1921441
广西,广电,1921442
广西,广电,1921443
广西,广电,1921444
广西,广电,1921445
广西,广电,1921446
广西,广电,1921447
广西,广电,1921448
广西,广电,1921449
广西,广电,1921670
广西,广电,1921671
广西,广电,1921672
广西,广电,1921673
广西,广电,1921674
广西,广电,1921675
广西,广电,1921676
广西,广电,1921677
广西,广电,1921678
广西,广电,1921679
广西,广电,1921770
广西,广电,1921771
广西,广电,1921772
广西,广电,1921773
广西,广电,1921774
广西,广电,1921775
广西,广电,1921776
广西,广电,1921777
广西,广电,1921778
广西,广电,1921779
广西,广电,1921780
广西,广电,1921781
广西,广电,1921782
广西,广电,1921783
广西,广电,1921784
广西,广电,1921785
广西,广电,1921786
广西,广电,1921787
广西,广电,1921788
广西,广电,1921789
广西,广电,1922383
广西,广电,1922417
广西,广电,1922700
广西,广电,1922701
广西,广电,1922702
广西,广电,1922703
广西,广电,1922704
广西,广电,1922705
广西,广电,1922706
广西,广电,1922707
广西,广电,1922708
广西,广电,1922709
广西,广电,1922770
广西,广电,1922771
广西,广电,1922772
广西,广电,1922773
广西,广电,1922774
广西,广电,1922775
广西,广电,1922776
广西,广电,1922777
广西,广电,1922778
广西,广电,1922779
广西,广电,1923470
广西,广电,1923471
广西,广电,1923472
广西,广电,1923473
广西,广电,1923474
广西,广电,1923475
广西,广电,1923476
广西,广电,1923477
广西,广电,1923478
广西,广电,1923479
广西,广电,1923480
广西,广电,1923481
广西,广电,1923482
广西,广电,1923483
广西,广电,1923484
广西,广电,1923485
广西,广电,1923486
广西,广电,1923487
广西,广电,1923488
广西,广电,1923489
广西,广电,1923670
广西,广电,1923671
广西,广电,1923672
广西,广电,1923673
广西,广电,1923674
广西,广电,1923675
广西,广电,1923676
广西,广电,1923677
广西,广电,1923678
广西,广电,1923679
广西,广电,1923770
广西,广电,1923771
广西,广电,1923772
广西,广电,1923773
广西,广电,1923774
广西,广电,1923775
广西,广电,1923776
广西,广电,1923777
广西,广电,1923778
广西,广电,1923779
广西,广电,1923780
广西,广电,1923781
广西,广电,1923782
广西,广电,1923783
广西,广电,1923784
广西,广电,1923785
广西,广电,1923786
广西,广电,1923787
广西,广电,1923788
广西,广电,1923789
广西,广电,1924360
广西,广电,1924361
广西,广电,1924362
广西,广电,1924363
广西,广电,1924364
广西,广电,1924365
广西,广电,1924366
广西,广电,1924367
广西,广电,1924368
广西,广电,1924369
广西,广电,1924770
广西,广电,1924771
广西,广电,1924772
广西,广电,1924773
广西,广电,1924774
广西,广电,1924775
广西,广电,1924776
广西,广电,1924777
广西,广电,1924778
广西,广电,1924779
广西,广电,1924780
广西,广电,1924781
广西,广电,1924782
广西,广电,1924783
广西,广电,1924784
广西,广电,1924785
广西,广电,1924786
广西,广电,1924787
广西,广电,1924788
广西,广电,1924789
广西,广电,1925770
广西,广电,1925771
广西,广电,1925772
广西,广电,1925773
广西,广电,1925774
广西,广电,1925775
广西,广电,1925776
广西,广电,1925777
广西,广电,1925778
广西,广电,1925779
广西,广电,1925780
广西,广电,1925781
广西,广电,1925782
广西,广电,1925783
广西,广电,1925784
广西,广电,1925785
广西,广电,1925786
广西,广电,1925787
广西,广电,1925788
广西,广电,1925789
广西,广电,1926770
广西,广电,1926771
广西,广电,1926772
广西,广电,1926773
广西,广电,1926774
广西,广电,1926775
广西,广电,1926776
广西,广电,1926777
广西,广电,1926778
广西,广电,1926779
广西,广电,1926780
广西,广电,1926781
广西,广电,1926782
广西,广电,1926783
广西,广电,1926784
广西,广电,1926785
广西,广电,1926786
广西,广电,1926787
广西,广电,1926788
广西,广电,1926789
广西,广电,1926970
广西,广电,1926971
广西,广电,1926972
广西,广电,1926973
广西,广电,1926974
广西,广电,1926975
广西,广电,1926976
广西,广电,1926977
广西,广电,1926978
广西,广电,1926979
广西,广电,1927440
广西,广电,1927441
广西,广电,1927442
广西,广电,1927443
广西,广电,1927444
广西,广电,1927445
广西,广电,1927446
广西,广电,1927447
广西,广电,1927448
广西,广电,1927449
广西,广电,1927670
广西,广电,1927671
广西,广电,1927672
广西,广电,1927673
广西,广电,1927674
广西,广电,1927675
广西,广电,1927676
广西,广电,1927677
广西,广电,1927678
广西,广电,1927679
广西,广电,1927770
广西,广电,1927771
广西,广电,1927772
广西,广电,1927773
广西,广电,1927774
广西,广电,1927775
