省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
广西,电信,1330000,1530770,1621770,1730008,1770770,1800770,1810076,1890770,1900770,1910110,1930440,1990061
广西,电信,1330770,1530771,1621771,1730770,1770771,1800771,1810077,1890771,1900771,1910111,1930441,1990064
广西,电信,1330771,1530772,1621772,1730771,1770772,1800772,1810770,1890772,1900772,1910112,1930442,1990066
广西,电信,1330772,1530773,1621773,1730772,1770773,1800773,1810771,1890773,1900773,1910113,1930443,1990770
广西,电信,1330773,1530774,1621774,1730773,1770774,1800774,1810772,1890774,1900774,1910114,1930444,1990771
广西,电信,1330774,1530775,1621775,1730774,1770775,1800775,1810773,1890775,1900775,1910115,1930445,1990772
广西,电信,1330775,1530776,1621776,1730775,1770776,1800776,1810774,1890776,1900776,1910116,1930446,1990773
广西,电信,1330776,1530777,1621778,1730776,1770777,1800777,1810775,1890777,1900777,1910117,1930447,1990774
广西,电信,1330777,1530778,1621779,1730777,1770778,1800778,1810776,1890778,1900778,1910118,1930448,1990775
广西,电信,1330778,1530779,1621780,1730778,1770779,1800779,1810777,1890779,1900779,1910119,1930449,1990776
广西,电信,1330779,1530780,1621781,1730779,1770780,1800780,1810778,1890780,1900780,1910120,1930770,1990777
广西,电信,1330780,1530781,1621782,1730780,1770781,1800781,1810779,1890781,1900781,1910121,1930771,1990778
广西,电信,1330781,1530782,1621783,1730781,1770782,1800782,1810780,1890782,1900782,1910122,1930772,1990779
广西,电信,1330782,1530783,1621784,1730782,1770783,1800783,1810781,1890783,1900783,1910123,1930773,1990780
广西,电信,1330783,1530784,1621785,1730783,1770784,1800784,1810782,1890784,1900784,1910124,1930774,1990781
广西,电信,1330784,1530785,1621786,1730784,1770785,1800785,1810783,1890785,1900785,1910125,1930775,1990782
广西,电信,1330785,1530786,1621787,1730785,1770786,1800786,1810784,1890786,1900786,1910126,1930776,1990783
广西,电信,1330786,1530787,1621788,1730786,1770787,1800787,1810785,1890787,1900787,1910127,1930777,1990784
广西,电信,1330787,1530788,1621789,1730787,1770788,1800788,1810786,1890788,1900788,1910128,1930778,1990785
广西,电信,1330788,1530789,1627700,1730788,1770789,1800789,1810787,1890789,1900789,1910129,1930779,1990786
广西,电信,1330789,1533785,1627701,1730789,1773660,1807060,1810788,1893470,1901460,1910130,1930780,1990787
广西,电信,1331760,1533789,1627702,1734420,1773661,1807061,1810789,1893471,1901461,1910131,1930781,1990788
广西,电信,1331761,1534770,1627703,1734421,1773662,1807062,1815450,1893472,1901462,1910132,1930782,1990789
广西,电信,1331762,1534771,1627704,1734422,1773663,1807063,1815451,1893473,1901463,1910133,1930783,1991120
广西,电信,1331763,1534772,1627705,1734423,1773664,1807064,1815452,1893474,1901464,1910134,1930784,1991121
广西,电信,1331764,1534773,1627706,1734424,1773665,1807065,1815453,1893475,1901465,1910135,1930785,1991122
广西,电信,1331765,1534774,1627707,1734425,1773666,1807066,1815454,1893476,1901466,1910136,1930786,1991123
广西,电信,1331766,1534775,1627708,1734426,1773667,1807067,1815455,1893477,1901467,1910137,1930787,1991125
广西,电信,1331767,1534776,1627709,1734427,1773668,1807068,1815456,1893478,1901468,1910138,1930788,1991126
