省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
广西,移动,1340770,1350770,1360770,1370770,1380077,1390077,1470077,1482430,1500770,1510770,1520770,1570770,1580770,1590770,1650615,1700034,1720070,1780770,1820770,1830770,1840670,1870770,1880770,1950770,1971077,1980770
广西,移动,1340771,1350771,1360771,1370771,1380078,1390078,1470078,1482431,1500771,1510771,1520771,1570771,1580771,1590771,1650650,1700035,1720071,1780771,1820771,1830771,1840671,1870771,1880771,1950771,1971133,1980771
广西,移动,1340772,1350772,1360772,1370772,1380770,1390770,1470770,1482432,1500772,1510772,1520772,1570772,1580772,1590772,1650770,1700770,1720072,1780772,1820772,1830772,1840672,1870772,1880772,1950772,1971134,1980772
广西,移动,1340773,1350773,1360773,1370773,1380771,1390771,1470771,1482433,1500773,1510773,1520773,1570773,1580773,1590773,1650771,1700771,1720073,1780773,1820773,1830773,1840673,1870773,1880773,1950773,1971135,1980773
广西,移动,1340774,1350774,1360774,1370774,1380772,1390772,1470772,1482434,1500774,1510774,1520774,1570774,1580774,1590774,1650772,1700772,1720074,1780774,1820774,1830774,1840674,1870774,1880774,1950774,1971136,1980774
广西,移动,1340775,1350775,1360775,1370775,1380773,1390773,1470773,1482435,1500775,1510775,1520775,1570775,1580775,1590775,1650773,1700773,1720075,1780775,1820775,1830775,1840675,1870775,1880775,1950775,1971137,1980775
广西,移动,1340776,1350776,1360776,1370776,1380774,1390774,1470774,1482436,1500776,1510776,1520776,1570776,1580776,1590776,1650774,1700774,1720076,1780776,1820776,1830776,1840676,1870776,1880776,1950776,1971138,1980776
广西,移动,1340777,1350777,1360777,1370777,1380775,1390775,1470775,1482437,1500777,1510777,1520777,1570777,1580777,1590777,1650775,1701290,1720077,1780777,1820777,1830777,1840677,1870777,1880777,1950777,1971139,1980777
广西,移动,1340778,1350778,1360778,1370778,1380776,1390776,1470776,1482438,1500778,1510778,1520778,1570778,1580778,1590778,1650776,1701291,1720078,1780778,1820778,1830778,1840678,1870778,1880778,1950778,1971150,1980778
广西,移动,1340779,1350779,1360779,1370779,1380777,1390777,1470777,1482439,1500779,1510779,1520779,1570779,1580779,1590779,1650778,1701292,1720079,1780779,1820779,1830779,1840679,1870779,1880779,1950779,1971151,1980779
广西,移动,1340780,1350780,1360780,1370780,1380778,1390778,1470778,1482865,1500780,1510780,1520780,1571770,1580780,1590780,1650779,1701293,1720080,1780780,1820780,1830780,1840770,1870780,1880780,1952413,1971152,1980780
广西,移动,1340781,1350781,1360781,1370781,1380779,1390779,1470779,1485677,1500781,1510781,1520781,1571771,1580781,1590781,1651132,1701294,1720081,1780781,1820781,1830781,1840771,1870781,1880781,1952414,1971153,1980781
广西,移动,1340782,1350782,1360782,1370782,1380780,1390780,1470780,1485707,1500782,1510782,1520782,1571772,1580782,1590782,1651771,1701295,1720082,1780782,1820782,1830782,1840772,1870782,1880782,1952415,1971154,1980782
广西,移动,1340783,1350783,1360783,1370783,1380781,1390781,1470781,1485749,1500783,1510783,1520783,1571773,1580783,1590783,1651772,1701296,1720083,1780783,1820783,1830783,1840773,1870783,1880783,1952416,1971155,1980783
广西,移动,1340784,1350784,1360784,1370784,1380782,1390782,1470782,1485919,1500784,1510784,1520784,1571774,1580784,1590784,1651773,1701297,1720084,1780784,1820784,1830784,1840774,1870784,1880784,1952417,1971156,1980784
广西,移动,1340785,1350785,1360785,1370785,1380783,1390783,1470783,1486908,1500785,1510785,1520785,1571775,1580785,1590785,1651779,1701298,1720085,1780785,1820785,1830785,1840775,1870785,1880785,1952418,1971157,1980785
广西,移动,1340786,1350786,1360786,1370786,1380784,1390784,1470784,1486910,1500786,1510786,1520786,1571776,1580786,1590786,1652072,1701299,1720086,1780786,1820786,1830786,1840776,1870786,1880786,1952587,1971158,1980786
广西,移动,1340787,1350787,1360787,1370787,1380785,1390785,1470785,1486913,1500787,1510787,1520787,1571777,1580787,1590787,1652172,1702770,1720087,1780787,1820787,1830787,1840777,1870787,1880787,1952589,1971159,1980787
广西,移动,1340788,1350788,1360788,1370788,1380786,1390786,1470786,1486918,1500788,1510788,1520788,1571778,1580788,1590788,1653036,1702771,1720088,1780788,1820788,1830788,1840778,1870788,1880788,1952590,1971160,1980788
广西,移动,1340789,1350789,1360789,1370789,1380787,1390787,1470787,1486929,1500789,1510789,1520789,1571779,1580789,1590789,1653613,1702772,1720089,1780789,1820789,1830789,1840779,1870789,1880789,1952597,1971161,1980789
广西,移动,1344083,1351750,1361770,1373700,1380788,1390788,1470788,1487500,1507700,1510800,1522450,1572370,1587700,1594930,1656310,1702773,1720136,1784000,1824990,1837600,1844820,1877500,1881540,1952598,1971162,1981385
广西,移动,1344084,1351751,1361771,1373701,1380789,1390789,1470789,1487501,1507701,1510801,1522451,1572371,1587701,1594931,1658206,1702774,1720137,1784001,1824991,1837601,1844821,1877501,1881541,1952601,1971163,1981386
广西,移动,1344183,1351752,1361772,1373702,1387700,1397700,1473600,1487502,1507702,1510802,1522452,1572372,1587702,1594932,1658426,1702775,1720620,1784002,1824992,1837602,1844822,1877502,1881542,1952766,1971164,1981387
广西,移动,1344184,1351753,1361773,1373703,1387701,1397701,1473601,1487503,1507703,1510803,1522453,1572373,1587703,1594933,1658464,1702776,1720621,1784003,1824993,1837603,1844823,1877503,1881543,1952771,1971327,1981388
广西,移动,1344283,1351754,1361774,1373704,1387702,1397702,1473602,1487504,1507704,1510804,1522454,1572374,1587704,1594934,1658573,1702777,1720622,1784004,1824994,1837604,1844824,1877504,1881544,1952772,1971328,1981389
广西,移动,1344284,1351755,1361775,1373705,1387703,1397703,1473603,1487505,1507705,1510805,1522455,1572375,1587705,1594935,1658593,1702778,1720623,1784005,1824995,1837605,1844825,1877505,1881545,1952773,1971329,1981390
