省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
广西,联通,1300059,1310040,1320770,1452760,1550670,1560770,1660770,1670044,1710190,1750770,1760770,1850770,1860770,1960770
广西,联通,1300069,1310041,1320771,1452761,1550671,1560771,1660771,1670274,1710191,1750771,1760771,1850771,1860771,1960771
广西,联通,1300590,1310042,1320772,1452762,1550672,1560772,1660772,1670674,1710192,1750772,1760772,1850772,1860772,1960772
广西,联通,1300591,1310043,1320773,1452763,1550673,1560773,1660773,1670771,1710193,1750773,1760773,1850773,1860773,1960773
广西,联通,1300592,1310044,1320774,1452764,1550674,1560774,1660774,1670772,1710194,1750774,1760774,1850774,1860774,1960774
广西,联通,1300593,1310045,1320775,1452765,1550675,1560775,1660775,1670773,1710195,1750775,1760775,1850775,1860775,1960775
广西,联通,1300594,1310046,1320776,1452766,1550676,1560776,1660776,1670774,1710196,1750776,1760776,1850776,1860776,1960776
广西,联通,1300595,1310047,1320777,1452767,1550677,1560777,1660777,1670775,1710197,1750777,1760777,1850777,1860777,1960777
广西,联通,1300596,1310048,1320778,1452768,1550678,1560778,1660778,1670776,1710198,1750778,1760778,1850778,1860778,1960778
广西,联通,1300597,1310049,1320779,1452769,1550679,1560779,1660779,1670778,1710199,1750779,1760779,1850779,1860779,1960779
广西,联通,1300598,1310050,1320780,1452770,1550680,1560780,1661070,1670779,1710200,1750780,1760780,1850780,1860780,1964118
广西,联通,1300599,1310051,1320781,1452771,1550681,1560781,1661071,1671770,1710201,1750781,1760781,1850781,1860781,1967700
广西,联通,1300690,1310052,1320782,1452772,1550682,1560782,1661072,1671771,1710202,1750782,1760782,1850782,1860782,1967701
广西,联通,1300691,1310053,1320783,1452773,1550683,1560783,1661073,1671772,1710203,1750783,1760783,1850783,1860783,1967702
广西,联通,1300692,1310054,1320784,1452774,1550684,1560784,1661074,1671773,1710204,1750784,1760784,1850784,1860784,1967703
广西,联通,1300693,1310055,1320785,1452775,1550685,1560785,1661075,1671774,1710205,1750785,1760785,1850785,1860785,1967704
广西,联通,1300694,1310056,1320786,1452776,1550686,1560786,1661076,1671775,1710206,1750786,1760786,1850786,1860786,1967705
广西,联通,1300695,1310057,1320787,1452777,1550687,1560787,1661077,1671776,1710207,1750787,1760787,1850787,1860787,1967706
广西,联通,1300696,1310058,1320788,1452778,1550688,1560788,1661078,1671777,1710208,1750788,1760788,1850788,1860788,1967707
广西,联通,1300697,1310059,1320789,1452779,1550689,1560789,1661079,1671778,1710209,1750789,1760789,1850789,1860789,1967708
广西,联通,1300698,1311470,1321130,1453760,1550770,1567600,1661770,1671779,1710210,1752670,1767690,1852970,1864880,1967709
广西,联通,1300699,1311471,1321131,1453761,1550771,1567601,1661771,1672770,1710211,1752671,1767691,1852971,1864881,1967710
广西,联通,1301059,1311472,1321132,1453762,1550772,1567602,1661772,1672771,1710212,1752672,1767692,1852972,1864882,1967711
广西,联通,1301480,1311473,1321133,1453763,1550773,1567603,1661773,1672772,1710213,1752673,1767693,1852973,1864883,1967712
广西,联通,1301481,1311474,1321134,1453764,1550774,1567604,1661774,1672773,1710214,1752674,1767694,1852974,1864884,1967713
广西,联通,1301482,1311475,1321135,1453765,1550775,1567605,1661775,1672774,1710215,1752675,1767695,1852975,1864885,1967714
广西,联通,1301483,1311476,1321136,1453766,1550776,1567606,1661776,1672775,1710216,1752676,1767696,1852976,1864886,1967715
广西,联通,1301484,1311477,1321137,1453767,1550777,1567607,1661777,1672776,1710217,1752677,1767697,1852977,1864887,1967716
广西,联通,1301485,1311478,1321138,1453768,1550778,1567608,1661778,1672777,1710218,1752678,1767698,1852978,1864888,1967717
广西,联通,1301486,1311479,1321139,1453769,1550779,1567609,1661779,1672778,1710219,1752679,1767699,1852979,1864889,1967718
广西,联通,1301487,1311760,1321140,1453770,1550780,1567610,1666070,1672779,1713070,1757700,1767700,1852980,1864890,1967719
广西,联通,1301488,1311761,1321141,1453771,1550781,1567611,1666071,1674608,1713071,1757701,1767701,1852981,1864891,
广西,联通,1301489,1311762,1321142,1453772,1550782,1567612,1666072,1674609,1713072,1757702,1767702,1852982,1864892,
广西,联通,1301490,1311763,1321143,1453773,1550783,1567613,1666073,1674864,1713073,1757703,1767703,1852983,1864893,
广西,联通,1301491,1311764,1321144,1453774,1550784,1567614,1666074,1674865,1713074,1757704,1767704,1852984,1864894,
广西,联通,1301492,1311765,1321145,1453775,1550785,1567615,1666075,1674866,1713075,1757705,1767705,1852985,1864895,
广西,联通,1301493,1311766,1321146,1453776,1550786,1567616,1666076,1674867,1713076,1757706,1767706,1852986,1864896,
广西,联通,1301494,1311767,1321147,1453777,1550787,1567617,1666077,1674868,1713077,1757707,1767707,1852987,1864897,
广西,联通,1301495,1311768,1321148,1453778,1550788,1567618,1666078,1674869,1713078,1757708,1767708,1852988,1864898,
广西,联通,1301496,1311769,1321149,1453779,1550789,1567619,1666079,1676856,1713079,1757709,1767709,1852989,1864899,
广西,联通,1301497,1311770,1321150,1453780,1557700,1567620,1666170,1676857,1714770,1757710,1767710,1852990,1864940,
广西,联通,1301498,1311771,1321151,1453781,1557701,1567621,1666171,1676858,1714771,1757711,1767711,1852991,1864941,
广西,联通,1301499,1311772,1321152,1453782,1557702,1567622,1666172,1676859,1714772,1757712,1767712,1852992,1864942,
广西,联通,1302590,1311773,1321153,1453783,1557703,1567623,1666173,1676860,1714773,1757713,1767713,1852993,1864943,
广西,联通,1302591,1311774,1321154,1453784,1557704,1567624,1666174,1676861,1714774,1757714,1767714,1852994,1864944,
广西,联通,1302592,1311775,1321155,1453785,1557705,1567625,1666175,1676862,1714775,1757715,1767715,1852995,1864945,
广西,联通,1302593,1311776,1321156,1453786,1557706,1567626,1666176,1676863,1714776,1757716,1767716,1852996,1864946,
广西,联通,1302594,1311777,1321157,1453787,1557707,1567627,1666177,1676965,1714777,1757717,1767717,1852997,1864947,
广西,联通,1302595,1311778,1321158,1453788,1557708,1567628,1666178,1676967,1714778,1757718,1767718,1852998,1864948,
广西,联通,1302596,1311779,1321159,1453789,1557709,1567629,1666179,1676968,1714779,1757719,1767719,1852999,1864949,
广西,联通,1302597,1312340,1321770,1454520,1557710,1567630,1667480,1676970,1715070,1757720,1767720,1854440,1867700,
广西,联通,1302598,1312341,1321771,1454521,1557711,1567631,1667481,1676971,1715071,1757721,1767721,1854441,1867701,
广西,联通,1302599,1312342,1321772,1454522,1557712,1567632,1667482,1677770,1715072,1757722,1767722,1854442,1867702,
广西,联通,1302690,1312343,1321773,1454523,1557713,1567633,1667483,1677771,1715073,1757723,1767723,1854443,1867703,
广西,联通,1302691,1312344,1321774,1454524,1557714,1567634,1667484,1677772,1715074,1757724,1767724,1854444,1867704,
广西,联通,1302692,1312345,1321775,1454525,1557715,1567635,1667485,1677773,1715075,1757725,1767725,1854445,1867705,
广西,联通,1302693,1312346,1321776,1454526,1557716,1567636,1667486,1677774,1715076,1757726,1767726,1854446,1867706,
