省份,运营商,192 号段
新疆,广电,1920900
新疆,广电,1920901
新疆,广电,1920902
新疆,广电,1920903
新疆,广电,1920904
新疆,广电,1920905
新疆,广电,1920906
新疆,广电,1920907
新疆,广电,1920908
新疆,广电,1920909
新疆,广电,1920990
新疆,广电,1920991
新疆,广电,1920992
新疆,广电,1920993
新疆,广电,1920994
新疆,广电,1920995
新疆,广电,1920996
新疆,广电,1920997
新疆,广电,1920998
新疆,广电,1920999
新疆,广电,1921990
新疆,广电,1921991
新疆,广电,1921992
新疆,广电,1921993
新疆,广电,1921994
新疆,广电,1921995
新疆,广电,1921996
新疆,广电,1921997
新疆,广电,1921998
新疆,广电,1921999
新疆,广电,1922090
新疆,广电,1922091
新疆,广电,1922092
新疆,广电,1922093
新疆,广电,1922094
新疆,广电,1922095
新疆,广电,1922096
新疆,广电,1922097
新疆,广电,1922098
新疆,广电,1922099
新疆,广电,1922150
新疆,广电,1922151
新疆,广电,1922152
新疆,广电,1922153
新疆,广电,1922154
新疆,广电,1922155
新疆,广电,1922156
新疆,广电,1922157
新疆,广电,1922158
新疆,广电,1922159
新疆,广电,1922740
新疆,广电,1922741
新疆,广电,1922742
新疆,广电,1922743
新疆,广电,1922744
新疆,广电,1922745
新疆,广电,1922746
新疆,广电,1922747
新疆,广电,1922748
新疆,广电,1922749
新疆,广电,1922900
新疆,广电,1922901
新疆,广电,1922902
新疆,广电,1922903
新疆,广电,1922904
新疆,广电,1922905
新疆,广电,1922906
新疆,广电,1922907
新疆,广电,1922908
新疆,广电,1922909
新疆,广电,1923990
新疆,广电,1923991
新疆,广电,1923992
新疆,广电,1923993
新疆,广电,1923994
新疆,广电,1923995
新疆,广电,1923996
新疆,广电,1923997
新疆,广电,1923998
新疆,广电,1923999
新疆,广电,1924490
新疆,广电,1924491
新疆,广电,1924492
新疆,广电,1924493
新疆,广电,1924494
新疆,广电,1924495
新疆,广电,1924496
新疆,广电,1924497
新疆,广电,1924498
新疆,广电,1924499
新疆,广电,1924900
新疆,广电,1924901
新疆,广电,1924902
新疆,广电,1924903
新疆,广电,1924904
新疆,广电,1924905
新疆,广电,1924906
新疆,广电,1924907
新疆,广电,1924908
新疆,广电,1924909
新疆,广电,1925240
新疆,广电,1925241
新疆,广电,1925242
新疆,广电,1925243
新疆,广电,1925244
新疆,广电,1925245
新疆,广电,1925246
新疆,广电,1925247
新疆,广电,1925248
新疆,广电,1925249
新疆,广电,1925440
新疆,广电,1925441
新疆,广电,1925442
新疆,广电,1925443
新疆,广电,1925444
新疆,广电,1925445
新疆,广电,1925446
新疆,广电,1925447
新疆,广电,1925448
新疆,广电,1925449
新疆,广电,1925900
新疆,广电,1925901
新疆,广电,1925902
新疆,广电,1925903
新疆,广电,1925904
新疆,广电,1925905
新疆,广电,1925906
新疆,广电,1925907
新疆,广电,1925908
新疆,广电,1925909
新疆,广电,1925910
新疆,广电,1925911
新疆,广电,1925912
新疆,广电,1925913
新疆,广电,1925914
新疆,广电,1925915
新疆,广电,1925916
新疆,广电,1925917
新疆,广电,1925918
新疆,广电,1925919
新疆,广电,1926350
新疆,广电,1926351
新疆,广电,1926352
新疆,广电,1926353
新疆,广电,1926354
新疆,广电,1926355
新疆,广电,1926356
新疆,广电,1926357
新疆,广电,1926358
新疆,广电,1926359
新疆,广电,1926900
新疆,广电,1926901
新疆,广电,1926902
新疆,广电,1926903
新疆,广电,1926904
新疆,广电,1926905
新疆,广电,1926906
新疆,广电,1926907
新疆,广电,1926908
新疆,广电,1926909
新疆,广电,1926990
新疆,广电,1926991
新疆,广电,1926992
新疆,广电,1926993
新疆,广电,1926994
新疆,广电,1926995
新疆,广电,1926996
新疆,广电,1926997
新疆,广电,1926998
新疆,广电,1926999
新疆,广电,1928990
新疆,广电,1928991
新疆,广电,1928992
新疆,广电,1928993
新疆,广电,1928994
新疆,广电,1928995
新疆,广电,1928996
新疆,广电,1928997
新疆,广电,1928998
新疆,广电,1928999
新疆,广电,1929990
新疆,广电,1929991
新疆,广电,1929992
新疆,广电,1929993
新疆,广电,1929994
新疆,广电,1929995
新疆,广电,1929996
新疆,广电,1929997
新疆,广电,1929998
新疆,广电,1929999
