省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,1330990,1530990,1730490,1770490,1800990,1810099,1890990,1900060,1910900,1930070,1990990
新疆,电信,1330991,1530991,1730491,1770491,1800991,1810640,1890991,1900061,1910901,1930071,1990991
新疆,电信,1330992,1530992,1730492,1770492,1800992,1810641,1890992,1900062,1910902,1930072,1990992
新疆,电信,1330993,1530993,1730493,1770493,1800993,1810642,1890993,1900063,1910903,1930073,1990993
新疆,电信,1330994,1530994,1730494,1770494,1800994,1810643,1890994,1900064,1910904,1930074,1990994
新疆,电信,1330995,1530995,1730495,1770495,1800995,1810644,1890995,1900065,1910905,1930075,1990995
新疆,电信,1330996,1530996,1730496,1770496,1800996,1810645,1890996,1900066,1910906,1930076,1990996
新疆,电信,1330997,1530997,1730497,1770497,1800997,1810646,1890997,1900067,1910907,1930077,1990997
新疆,电信,1330998,1530998,1730498,1770498,1800998,1810647,1890998,1900068,1910908,1930078,1990998
新疆,电信,1330999,1530999,1730499,1770499,1800999,1810648,1890999,1900069,1910909,1930079,1990999
新疆,电信,1331900,1533793,1730990,1770990,1801680,1810649,1893570,1900900,1910990,1930900,1991420
新疆,电信,1331901,1533796,1730991,1770991,1801681,1810990,1893571,1900901,1910991,1930901,1991421
新疆,电信,1331902,1533797,1730992,1770992,1801682,1810991,1893572,1900902,1910992,1930902,1991422
新疆,电信,1331903,1533798,1730993,1770993,1801683,1810992,1893573,1900903,1910993,1930903,1991423
新疆,电信,1331904,1534990,1730994,1770994,1801684,1810993,1893574,1900904,1910994,1930904,1991424
新疆,电信,1331905,1534991,1730995,1770995,1801685,1810994,1893575,1900905,1910995,1930905,1991425
新疆,电信,1331906,1534992,1730996,1770996,1801686,1810995,1893576,1900906,1910996,1930906,1991426
新疆,电信,1331907,1534993,1730997,1770997,1801687,1810996,1893577,1900907,1910997,1930907,1991427
新疆,电信,1331908,1534994,1730998,1770998,1801688,1810997,1893578,1900908,1910998,1930908,1991428
新疆,电信,1331909,1534995,1730999,1770999,1801689,1810998,1893579,1900909,1910999,1930909,1991429
新疆,电信,1331970,1534996,1734990,1771690,1801690,1810999,1893580,1900990,1914650,1930990,1991430
新疆,电信,1331971,1534997,1734991,1771691,1801691,1811680,1893581,1900991,1914651,1930991,1991431
新疆,电信,1331972,1534998,1734992,1771692,1801692,1811681,1893582,1900992,1914652,1930992,1991432
新疆,电信,1331973,1534999,1734993,1771693,1801693,1811682,1893583,1900993,1914653,1930993,1991433
新疆,电信,1331974,1535250,1734994,1771694,1801694,1811683,1893584,1900994,1914654,1930994,1991434
新疆,电信,1331975,1535251,1734995,1771695,1801695,1811684,1893585,1900995,1914655,1930995,1991435
新疆,电信,1331976,1535252,1734996,1771696,1801696,1811685,1893586,1900996,1914656,1930996,1991436
新疆,电信,1331977,1535253,1734997,1771697,1801697,1811686,1893587,1900997,1914657,1930997,1991437
新疆,电信,1331978,1535254,1734998,1771698,1801698,1811687,1893588,1900998,1914658,1930998,1991438
新疆,电信,1331979,1535255,1734999,1771699,1801699,1811688,1893589,1900999,1914659,1930999,1991439
新疆,电信,1331980,1535256,1735480,1772670,1803480,1811689,1893590,1901820,1914660,1931240,1991500
新疆,电信,1331981,1535257,1735481,1772671,1803481,1811690,1893591,1901821,1914661,1931241,1991501
新疆,电信,1331982,1535258,1735482,1772672,1803482,1811691,1893592,1901822,1914662,1931242,1991502
新疆,电信,1331983,1535259,1735483,1772673,1803483,1811692,1893593,1901823,1914663,1931243,1991503
新疆,电信,1331984,1535260,1735484,1772674,1803484,1811693,1893594,1901824,1914664,1931244,1991504
新疆,电信,1331985,1535261,1735485,1772675,1803485,1811694,1893595,1901825,1914665,1931245,1991505
新疆,电信,1331986,1535262,1735486,1772676,1803486,1811695,1893596,1901826,1914666,1931246,1991506
新疆,电信,1331987,1535263,1735487,1772677,1803487,1811696,1893597,1901827,1914667,1931247,1991507
新疆,电信,1331988,1535264,1735488,1772678,1803488,1811697,1893598,1901828,1914668,1931248,1991508
新疆,电信,1331989,1535265,1735489,1772679,1803489,1811698,1893599,1901829,1914669,1931249,1991509
新疆,电信,1331990,1535266,1739480,1772680,1804070,1811699,1896380,1901830,1919000,1931640,1991510
新疆,电信,1331991,1535267,1739481,1772681,1804071,1811900,1896381,1901831,1919001,1931641,1991511
