省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
新疆,移动,1344099,1351990,1360990,1370990,1380090,1390000,1470900,1482505,1500140,1510900,1520900,1570090,1580900,1590900,1652425,1700990,1720990,1780990,1820900,1830900,1840900,1870300,1880900,1950900,1970901,1980900
新疆,移动,1344299,1351991,1360991,1370991,1380099,1390003,1470901,1482506,1500141,1510901,1520901,1570091,1580901,1590901,,1700991,1720991,1780991,1820901,1830901,1840901,1870301,1880901,1950901,1970902,1980901
新疆,移动,1344699,1351992,1360992,1370992,1380990,1390990,1470902,1482507,1500142,1510902,1520902,1570092,1580902,1590902,,1701960,1720992,1780992,1820902,1830902,1840902,1870302,1880902,1950902,1970903,1980902
新疆,移动,1344899,1351993,1360993,1370993,1380991,1390991,1470903,1482508,1500143,1510903,1520903,1570093,1580903,1590903,,1701961,1720993,1780993,1820903,1830903,1840903,1870303,1880903,1950903,1970906,1980903
新疆,移动,1344999,1351994,1360994,1370994,1380992,1390992,1470904,1482509,1500144,1510904,1520904,1570094,1580904,1590904,,1701962,1720994,1780994,1820904,1830904,1840904,1870304,1880904,1950904,1970908,1980904
新疆,移动,,1351995,1360995,1370995,1380993,1390993,1470905,,1500145,1510905,1520905,1570095,1580905,1590905,,1701963,1720995,1780995,1820905,1830905,1840905,1870305,1880905,1950905,1970909,1980905
新疆,移动,,1351996,1360996,1370996,1380994,1390994,1470906,,1500146,1510906,1520906,1570096,1580906,1590906,,1701964,1720996,1780996,1820906,1830906,1840906,1870306,1880906,1950906,1971090,1980906
新疆,移动,,1351997,1360997,1370997,1380995,1390995,1470907,,1500147,1510907,1520907,1570097,1580907,1590907,,1701965,1720997,1780997,1820907,1830907,1840907,1870307,1880907,1950907,1971099,1980907
新疆,移动,,1351998,1360998,1370998,1380996,1390996,1470908,,1500148,1510908,1520908,1570098,1580908,1590908,,1703410,1720998,1780998,1820908,1830908,1840908,1870308,1880908,1950908,1971901,1980908
新疆,移动,,1351999,1360999,1370999,1380997,1390997,1470909,,1500149,1510909,1520909,1570099,1580909,1590909,,1703411,1720999,1780999,1820909,1830909,1840909,1870309,1880909,1950909,1971902,1980909
新疆,移动,,1356500,1361990,1377900,1380998,1390998,1470990,,1500150,1510990,1520990,1570190,1580990,1590990,,1703412,1721362,1784440,1820990,1830990,1840980,1870900,1880990,1951480,1971903,1980990
新疆,移动,,1356501,1361991,1377901,1380999,1390999,1470991,,1500151,1510991,1520991,1570191,1580991,1590991,,1703413,1721363,1784441,1820991,1830991,1840981,1870901,1880991,1951481,1971906,1980991
新疆,移动,,1356502,1361992,1377902,1389900,1399900,1470992,,1500152,1510992,1520992,1570192,1580992,1590992,,1703414,1721364,1784442,1820992,1830992,1840982,1870902,1880992,1951482,1971908,1980992
新疆,移动,,1356503,1361993,1377903,1389901,1399901,1470993,,1500153,1510993,1520993,1570193,1580993,1590993,,1703415,1721365,1784443,1820993,1830993,1840983,1870903,1880993,1951483,1971909,1980993
新疆,移动,,1356504,1361994,1377904,1389902,1399902,1470994,,1500154,1510994,1520994,1570194,1580994,1590994,,1703416,1721366,1784444,1820994,1830994,1840984,1870904,1880994,1951484,1972090,1980994
新疆,移动,,1356505,1361995,1377905,1389903,1399903,1470995,,1500155,1510995,1520995,1570195,1580995,1590995,,1703417,1721850,1784445,1820995,1830995,1840985,1870905,1880995,1951485,1972099,1980995
新疆,移动,,1356506,1361996,1377906,1389904,1399904,1470996,,1500156,1510996,1520996,1570196,1580996,1590996,,1703418,1721851,1784446,1820996,1830996,1840986,1870906,1880996,1951486,1972287,1980996
新疆,移动,,1356507,1361997,1377907,1389905,1399905,1470997,,1500157,1510997,1520997,1570197,1580997,1590997,,1703419,1721852,1784447,1820997,1830997,1840987,1870907,1880997,1951487,1972288,1980997
新疆,移动,,1356508,1361998,1377908,1389906,1399906,1470998,,1500158,1510998,1520998,1570198,1580998,1590998,,1705763,1721853,1784448,1820998,1830998,1840988,1870908,1880998,1951488,1972289,1980998
新疆,移动,,1356509,1361999,1377909,1389907,1399907,1470999,,1500159,1510999,1520999,1570199,1580999,1590999,,1708900,1721854,1784449,1820999,1830999,1840989,1870909,1880999,1951489,1972290,1980999
新疆,移动,,1356510,1362990,1377910,1389908,1399908,1471980,,1500160,1516080,1521480,1570900,1588680,1598170,,1708901,1726301,1784840,1824090,1832400,1840990,1870990,1889080,1951490,1972291,1981401
新疆,移动,,1356511,1362991,1377911,1389909,1399909,1471981,,1500161,1516081,1521481,1570901,1588681,1598171,,1708902,1726302,1784841,1824091,1832401,1840991,1870991,1889081,1951491,1972292,1981402
新疆,移动,,1356512,1362992,1377912,1389910,1399910,1471982,,1500162,1516082,1521482,1570902,1588682,1598172,,1708903,1726303,1784842,1824092,1832402,1840992,1870992,1889082,1951492,1972293,1981403
新疆,移动,,1356513,1362993,1377913,1389911,1399911,1471983,,1500163,1516083,1521483,1570903,1588683,1598173,,1708904,1726304,1784843,1824093,1832403,1840993,1870993,1889083,1951493,1972642,1981404
新疆,移动,,1356514,1362994,1377914,1389912,1399912,1471984,,1500164,1516084,1521484,1570904,1588684,1598174,,1708905,1726305,1784844,1824094,1832404,1840994,1870994,1889084,1951494,1972643,1981405
新疆,移动,,1356515,1362995,1377915,1389913,1399913,1471985,,1500165,1516085,1521485,1570905,1588685,1598175,,1708906,1726306,1784845,1824095,1832405,1840995,1870995,1889085,1951495,1972644,1981406
新疆,移动,,1356516,1362996,1377916,1389914,1399914,1471986,,1500166,1516086,1521486,1570906,1588686,1598176,,1708907,1726307,1784846,1824096,1832406,1840996,1870996,1889086,1951496,1972645,1981407
新疆,移动,,1356517,1362997,1377917,1389915,1399915,1471987,,1500167,1516087,1521487,1570907,1588687,1598177,,1708908,1726308,1784847,1824097,1832407,1840997,1870997,1889087,1951497,1972646,1981408
新疆,移动,,1356518,1362998,1377918,1389916,1399916,1471988,,1500168,1516088,1521488,1570908,1588688,1598178,,1708909,1726309,1784848,1824098,1832408,1840998,1870998,1889088,1951498,1972647,1981409
新疆,移动,,1356519,1362999,1377919,1389917,1399917,1471989,,1500169,1516089,1521489,1570909,1588689,1598179,,1709690,1726360,1784849,1824099,1832409,1840999,1870999,1889089,1951499,1972648,1981410
新疆,移动,,1356520,1363990,1377920,1389918,1399918,1471990,,1500300,1516090,1521490,1570990,1588690,1599900,,1709691,1726361,1786750,1829060,1839900,1844000,1871990,1889090,1952509,1972649,1981411
新疆,移动,,1356521,1363991,1377921,1389919,1399919,1471991,,1500301,1516091,1521491,1570991,1588691,1599901,,1709692,1726362,1786751,1829061,1839901,1844001,1871991,1889091,1952511,1972654,1981412
新疆,移动,,1356522,1363992,1377922,1389920,1399920,1471992,,1500302,1516092,1521492,1570992,1588692,1599902,,1709693,1726363,1786752,1829062,1839902,1844002,1871992,1889092,1952991,1972674,1981413
新疆,移动,,1356523,1363993,1377923,1389921,1399921,1471993,,1500303,1516093,1521493,1570993,1588693,1599903,,1709694,1726364,1786753,1829063,1839903,1844003,1871993,1889093,1952992,1972684,1981414
新疆,移动,,1356524,1363994,1377924,1389922,1399922,1471994,,1500304,1516094,1521494,1570994,1588694,1599904,,1709695,1727531,1786754,1829064,1839904,1844004,1871994,1889094,1952993,1972694,1988290
新疆,移动,,1356525,1363995,1377925,1389923,1399923,1471995,,1500305,1516095,1521495,1570995,1588695,1599905,,1709696,1727532,1786755,1829065,1839905,1844005,1871995,1889095,1953080,1972704,1988291
新疆,移动,,1356526,1363996,1377926,1389924,1399924,1471996,,1500306,1516096,1521496,1570996,1588696,1599906,,1709697,1727634,1786756,1829066,1839906,1844006,1871996,1889096,1953106,1972809,1988292
新疆,移动,,1356527,1363997,1377927,1389925,1399925,1471997,,1500307,1516097,1521497,1570997,1588697,1599907,,1709698,1727743,1786757,1829067,1839907,1844007,1871997,1889097,1953164,1972810,1988293
新疆,移动,,1356528,1363998,1377928,1389926,1399926,1471998,,1500308,1516098,1521498,1570998,1588698,1599908,,1709699,1727745,1786758,1829068,1839908,1844008,1871998,1889098,1953277,1972811,1988294
新疆,移动,,1356529,1363999,1377929,1389927,1399927,1471999,,1500309,1516099,1521499,1570999,1588699,1599909,,,1727746,1786759,1829069,1839909,1844009,1871999,1889099,1953447,1972815,1988295
新疆,移动,,1356530,1364990,1377930,1389928,1399928,1476589,,1500900,1519900,1527600,1571490,1589400,1599910,,,1727747,1788100,1829070,1839910,1844010,1874260,1889290,1953731,1972819,1988296
新疆,移动,,1356531,1364991,1377931,1389929,1399929,1479900,,1500901,1519901,1527601,1571491,1589401,1599911,,,1727790,1788101,1829071,1839911,1844011,1874261,1889291,1954970,1972820,1988297
新疆,移动,,1356532,1364992,1377932,1389930,1399930,1479901,,1500902,1519902,1527602,1571492,1589402,1599912,,,1727791,1788102,1829072,1839912,1844012,1874262,1889292,1954971,1972821,1988298
新疆,移动,,1356533,1364993,1377933,1389931,1399931,1479902,,1500903,1519903,1527603,1571493,1589403,1599913,,,1727792,1788103,1829073,1839913,1844013,1874263,1889293,1954972,1972822,1988299
新疆,移动,,1356534,1364994,1377934,1389932,1399932,1479903,,1500904,1519904,1527604,1571494,1589404,1599914,,,1727793,1788104,1829074,1839914,1844014,1874264,1889294,1954973,1972823,1989010
新疆,移动,,1356535,1364995,1377935,1389933,1399933,1479904,,1500905,1519905,1527605,1571495,1589405,1599915,,,1727795,1788105,1829075,1839915,1844015,1874265,1889295,1954974,1972887,1989011
新疆,移动,,1356536,1364996,1377936,1389934,1399934,1479905,,1500906,1519906,1527606,1571496,1589406,1599916,,,1727797,1788106,1829076,1839916,1844016,1874266,1889296,1954975,1972888,1989012
新疆,移动,,1356537,1364997,1377937,1389935,1399935,1479906,,1500907,1519907,1527607,1571497,1589407,1599917,,,1727911,1788107,1829077,1839917,1844017,1874267,1889297,1954976,1972901,1989013
新疆,移动,,1356538,1364998,1377938,1389936,1399936,1479907,,1500908,1519908,1527608,1571498,1589408,1599918,,,1729575,1788108,1829078,1839918,1844018,1874268,1889298,1954977,1972902,1989014
新疆,移动,,1356539,1364999,1377939,1389937,1399937,1479908,,1500909,1519909,1527609,1571499,1589409,1599919,,,1729576,1788109,1829079,1839919,1844019,1874269,1889299,1954978,1972903,1989015
新疆,移动,,1356540,1365750,1377940,1389938,1399938,1479909,,1500990,1519910,1527610,1571900,1589410,1599920,,,1729577,1788110,1829080,1839920,1844020,1874270,1889900,1954979,1972906,1989016
新疆,移动,,1356541,1365751,1377941,1389939,1399939,1479910,,1500991,1519911,1527611,1571901,1589411,1599921,,,1729578,1788111,1829081,1839921,1844021,1874271,1889901,1954980,1972908,1989017
新疆,移动,,1356542,1365752,1377942,1389940,1399940,1479911,,1500992,1519912,1527612,1571902,1589412,1599922,,,1729579,1788112,1829082,1839922,1844022,1874272,1889902,1954981,1972909,1989018
新疆,移动,,1356543,1365753,1377943,1389941,1399941,1479912,,1500993,1519913,1527613,1571903,1589413,1599923,,,1729629,1788113,1829083,1839923,1844023,1874273,1889903,1954982,1974910,1989019
新疆,移动,,1356544,1365754,1377944,1389942,1399942,1479913,,1500994,1519914,1527614,1571904,1589414,1599924,,,,1788114,1829084,1839924,1844024,1874274,1889904,1954983,1974911,1989020
