省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
新疆,联通,1300096,1310900,1320100,1450960,1550900,1560990,1660900,1718440,1750900,1760900,1850900,1860900,1960900
新疆,联通,1300960,1310901,1320101,1450961,1550901,1560991,1660901,1718441,1750901,1760901,1850901,1860901,1960901
新疆,联通,1300961,1310902,1320102,1450962,1550902,1560992,1660902,1718442,1750902,1760902,1850902,1860902,1960902
新疆,联通,1300962,1310903,1320103,1450963,1550903,1560993,1660903,1718443,1750903,1760903,1850903,1860903,1960903
新疆,联通,1300963,1310904,1320104,1450964,1550904,1560994,1660904,1718444,1750904,1760904,1850904,1860904,1960904
新疆,联通,1300964,1310905,1320105,1450965,1550905,1560995,1660905,1718445,1750905,1760905,1850905,1860905,1960905
新疆,联通,1300965,1310906,1320106,1450966,1550906,1560996,1660906,1718446,1750906,1760906,1850906,1860906,1960906
新疆,联通,1300966,1310907,1320107,1450967,1550907,1560997,1660907,1718447,1750907,1760907,1850907,1860907,1960907
新疆,联通,1300967,1310908,1320108,1450968,1550908,1560998,1660908,1718448,1750908,1760908,1850908,1860908,1960908
新疆,联通,1300968,1310909,1320109,1450969,1550909,1560999,1660909,1718449,1750909,1760909,1850909,1860909,1960909
新疆,联通,1300969,1310990,1320110,1450970,1550990,1562810,1660990,,1750990,1760990,1850990,1860990,1960990
新疆,联通,1301096,1310991,1320111,1450971,1550991,1562811,1660991,,1750991,1760991,1850991,1860991,1960991
新疆,联通,1302960,1310992,1320112,1450972,1550992,1562812,1660992,,1750992,1760992,1850992,1860992,1960992
新疆,联通,1302961,1310993,1320113,1450973,1550993,1562813,1660993,,1750993,1760993,1850993,1860993,1960993
新疆,联通,1302962,1310994,1320114,1450974,1550994,1562814,1660994,,1750994,1760994,1850994,1860994,1960994
新疆,联通,1302963,1310995,1320115,1450975,1550995,1562815,1660995,,1750995,1760995,1850995,1860995,1960995
新疆,联通,1302964,1310996,1320116,1450976,1550996,1562816,1660996,,1750996,1760996,1850996,1860996,1960996
新疆,联通,1302965,1310997,1320117,1450977,1550997,1562817,1660997,,1750997,1760997,1850997,1860997,1960997
新疆,联通,1302966,1310998,1320118,1450978,1550998,1562818,1660998,,1750998,1760998,1850998,1860998,1960998
新疆,联通,1302967,1310999,1320119,1450979,1550999,1562819,1660999,,1750999,1760999,1850999,1860999,1960999
新疆,联通,1303120,1311900,1320120,1450980,1555920,1562820,1666761,,1759000,1761900,1854490,1869010,1969000
新疆,联通,1303121,1311901,1320121,1450981,1555921,1562821,1666860,,1759001,1761901,1854491,1869011,1969001
新疆,联通,1303122,1311902,1320122,1450982,1555922,1562822,1666861,,1759002,1761902,1854492,1869012,1969002
新疆,联通,1303123,1311903,1320123,1450983,1555923,1562823,1666862,,1759003,1761903,1854493,1869013,1969003
新疆,联通,1303124,1311904,1320124,1450984,1555924,1562824,1666863,,1759004,1761904,1854494,1869014,1969004
新疆,联通,1303125,1311905,1320125,1450985,1555925,1562825,1666864,,1759005,1761905,1854495,1869015,1969005
新疆,联通,1303126,1311906,1320126,1450986,1555926,1562826,1666865,,1759006,1761906,1854496,1869016,1969006
新疆,联通,1303127,1311907,1320127,1450987,1555927,1562827,1666866,,1759007,1761907,1854497,1869017,1969007
新疆,联通,1303128,1311908,1320128,1450988,1555928,1562828,1666867,,1759008,1761908,1854499,1869018,1969008
新疆,联通,1303129,1311909,1320129,1450989,1555929,1562829,1666868,,1759009,1769000,1859040,1869019,1969009
新疆,联通,1303130,1311990,1320130,1450990,1555930,1564690,1666869,,1759010,1769001,1859041,1869020,1969010
新疆,联通,1303131,1311991,1320131,1450991,1555931,1564691,1666870,,1759011,1769002,1859042,1869021,1969011
新疆,联通,1303132,1311992,1320132,1450992,1555932,1564692,1666871,,1759012,1769003,1859043,1869022,1969012
新疆,联通,1303133,1311993,1320133,1450993,1555933,1564693,1666872,,1759013,1769004,1859044,1869023,1969013
新疆,联通,1303134,1311994,1320134,1450994,1555934,1564694,1666873,,1759014,1769005,1859045,1869024,1969014
新疆,联通,1303135,1311995,1320135,1450995,1555935,1564695,1666874,,1759015,1769006,1859046,1869025,1969015
新疆,联通,1303136,1311996,1320136,1450996,1555936,1564696,1666875,,1759016,1769007,1859047,1869026,1969016
新疆,联通,1303137,1311997,1320137,1450997,1555937,1564697,1666876,,1759017,1769008,1859048,1869027,1969017
新疆,联通,1303138,1311998,1320138,1450998,1555938,1564698,1666877,,1759018,1769009,1859049,1869028,1969018
新疆,联通,1303139,1311999,1320139,1450999,1555939,1564699,1666878,,1759019,1769010,1859050,1869029,1969019
新疆,联通,1303940,1312396,1320900,1452780,1555940,1566030,1666879,,1759020,1769011,1859051,1869030,
新疆,联通,1303941,1313960,1320901,1452781,1555941,1566031,1666920,,1759021,1769012,1859052,1869031,
新疆,联通,1303942,1313961,1320902,1452782,1555942,1566032,1666921,,1759022,1769013,1859053,1869032,
新疆,联通,1303943,1313962,1320903,1452783,1555943,1566033,1666922,,1759023,1769014,1859054,1869033,
新疆,联通,1303944,1313963,1320904,1452784,1555944,1566034,1666923,,1759024,1769015,1859055,1869034,
新疆,联通,1303945,1313964,1320905,1452785,1555945,1566035,1666924,,1759025,1769016,1859056,1869035,
新疆,联通,1303946,1313965,1320906,1452786,1555946,1566036,1666925,,1759026,1769017,1859057,1869036,
新疆,联通,1303947,1313966,1320907,1452787,1555947,1566037,1666926,,1759027,1769018,1859058,1869037,
新疆,联通,1303948,1313967,1320908,1452788,1555948,1566038,1666927,,1759028,1769019,1859059,1869038,
新疆,联通,1303949,1313968,1320909,1452789,1555949,1566039,1666928,,1759029,1769020,1859900,1869039,
新疆,联通,1304045,1313969,1320990,1452790,1556900,1568480,1666929,,1759030,1769021,1859901,1869060,
新疆,联通,1304046,1313970,1320991,1452791,1556901,1568481,1666930,,1759031,1769022,1859902,1869061,
新疆,联通,1304047,1313971,1320992,1452792,1556902,1568482,1666931,,1759032,1769023,1859903,1869062,
新疆,联通,1304048,1313972,1320993,1452793,1556903,1568483,1666932,,1759033,1769024,1859904,1869063,
新疆,联通,1304049,1313973,1320994,1452794,1556904,1568484,1666933,,1759034,1769025,1859905,1869064,
新疆,联通,1304050,1313974,1320995,1452795,1556905,1568485,1666934,,1759035,1769026,1859906,1869065,
新疆,联通,1304051,1313975,1320996,1452796,1556906,1568486,1666935,,1759036,1769027,1859907,1869066,
新疆,联通,1304052,1313976,1320997,1452797,1556907,1568487,1666936,,1759037,1769028,1859908,1869067,
新疆,联通,1304053,1313977,1320998,1452798,1556908,1568488,1666937,,1759038,1769029,1859909,1869068,
新疆,联通,1304054,1313978,1320999,1452799,1556909,1568489,1666938,,1759039,1769030,1859910,1869069,
新疆,联通,1304055,1313979,1323900,1453790,1556910,1568830,1666939,,1759040,1769031,1859911,1869080,
新疆,联通,1304056,1313980,1323901,1453791,1556911,1568831,1666940,,1759041,1769032,1859912,1869081,
新疆,联通,1304057,1313981,1323902,1453792,1556912,1568832,1666941,,1759042,1769033,1859913,1869082,
新疆,联通,1304058,1313982,1323903,1453793,1556913,1568833,1666942,,1759043,1769034,1859914,1869083,
新疆,联通,1304059,1313983,1323904,1453794,1556914,1568834,1666943,,1759044,1769035,1859915,1869084,
新疆,联通,1307000,1313984,1323905,1453795,1556915,1568835,1666944,,1759045,1769036,1859916,1869085,
新疆,联通,1307001,1313985,1323906,1453796,1556916,1568836,1666945,,1759046,1769037,1859917,1869086,
新疆,联通,1307002,1313986,1323907,1453797,1556917,1568837,1666946,,1759047,1769038,1859918,1869087,
新疆,联通,1307003,1313987,1323908,1453798,1556918,1568838,1666947,,1759048,1769039,1859919,1869088,
