省份,运营商,192 号段
江苏,广电,1920150
江苏,广电,1920151
江苏,广电,1920152
江苏,广电,1920153
江苏,广电,1920154
江苏,广电,1920155
江苏,广电,1920156
江苏,广电,1920157
江苏,广电,1920158
江苏,广电,1920159
江苏,广电,1920160
江苏,广电,1920161
江苏,广电,1920162
江苏,广电,1920163
江苏,广电,1920164
江苏,广电,1920165
江苏,广电,1920166
江苏,广电,1920167
江苏,广电,1920168
江苏,广电,1920169
江苏,广电,1920170
江苏,广电,1920171
江苏,广电,1920172
江苏,广电,1920173
江苏,广电,1920174
江苏,广电,1920175
江苏,广电,1920176
江苏,广电,1920177
江苏,广电,1920178
江苏,广电,1920179
江苏,广电,1920180
江苏,广电,1920181
江苏,广电,1920182
江苏,广电,1920183
江苏,广电,1920184
江苏,广电,1920185
江苏,广电,1920186
江苏,广电,1920187
江苏,广电,1920188
江苏,广电,1920189
江苏,广电,1920190
江苏,广电,1920191
江苏,广电,1920192
江苏,广电,1920193
江苏,广电,1920194
江苏,广电,1920195
江苏,广电,1920196
江苏,广电,1920197
江苏,广电,1920198
江苏,广电,1920199
江苏,广电,1920260
江苏,广电,1920261
江苏,广电,1920262
江苏,广电,1920263
江苏,广电,1920264
江苏,广电,1920265
江苏,广电,1920266
江苏,广电,1920267
江苏,广电,1920268
江苏,广电,1920269
江苏,广电,1920500
江苏,广电,1920501
江苏,广电,1920502
江苏,广电,1920503
江苏,广电,1920504
江苏,广电,1920505
江苏,广电,1920506
江苏,广电,1920507
江苏,广电,1920508
江苏,广电,1920509
江苏,广电,1920510
江苏,广电,1920511
江苏,广电,1920512
江苏,广电,1920513
江苏,广电,1920514
江苏,广电,1920515
江苏,广电,1920516
江苏,广电,1920517
江苏,广电,1920518
江苏,广电,1920519
江苏,广电,1920520
江苏,广电,1920521
江苏,广电,1920522
江苏,广电,1920523
江苏,广电,1920524
江苏,广电,1920525
江苏,广电,1920526
江苏,广电,1920527
江苏,广电,1920528
江苏,广电,1920529
江苏,广电,1921190
江苏,广电,1921191
江苏,广电,1921192
江苏,广电,1921193
江苏,广电,1921194
江苏,广电,1921195
江苏,广电,1921196
江苏,广电,1921197
江苏,广电,1921198
江苏,广电,1921199
江苏,广电,1921500
江苏,广电,1921501
江苏,广电,1921502
江苏,广电,1921503
江苏,广电,1921504
江苏,广电,1921505
江苏,广电,1921506
江苏,广电,1921507
江苏,广电,1921508
江苏,广电,1921509
江苏,广电,1921510
江苏,广电,1921511
江苏,广电,1921512
江苏,广电,1921513
江苏,广电,1921514
江苏,广电,1921515
江苏,广电,1921516
江苏,广电,1921517
江苏,广电,1921518
江苏,广电,1921519
江苏,广电,1921520
江苏,广电,1921521
江苏,广电,1921522
江苏,广电,1921523
江苏,广电,1921524
江苏,广电,1921525
江苏,广电,1921526
江苏,广电,1921527
江苏,广电,1921528
江苏,广电,1921529
江苏,广电,1922302
江苏,广电,1922305
江苏,广电,1922319
江苏,广电,1922323
江苏,广电,1922325
江苏,广电,1922332
江苏,广电,1922359
江苏,广电,1922389
江苏,广电,1922402
江苏,广电,1922405
江苏,广电,1922419
江苏,广电,1922425
江苏,广电,1922451
江苏,广电,1922459
江苏,广电,1922463
江苏,广电,1922469
江苏,广电,1923140
江苏,广电,1923141
江苏,广电,1923142
江苏,广电,1923143
江苏,广电,1923144
江苏,广电,1923145
江苏,广电,1923146
江苏,广电,1923147
江苏,广电,1923148
江苏,广电,1923149
江苏,广电,1923150
江苏,广电,1923151
江苏,广电,1923152
江苏,广电,1923153
江苏,广电,1923154
江苏,广电,1923155
江苏,广电,1923156
江苏,广电,1923157
江苏,广电,1923158
江苏,广电,1923159
江苏,广电,1923160
江苏,广电,1923161
江苏,广电,1923162
江苏,广电,1923163
江苏,广电,1923164
江苏,广电,1923165
江苏,广电,1923166
江苏,广电,1923167
江苏,广电,1923168
江苏,广电,1923169
江苏,广电,1923170
江苏,广电,1923171
江苏,广电,1923172
