省份,运营商,133 号段,141 号段,149 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
江苏,电信,1330077,1410000,1491200,1530140,1621250,1730050,1770140,1800010,1810060,1890060,1900250,1910250,1930150,1990081
江苏,电信,1330078,1410001,1491201,1530141,1621251,1730051,1770141,1800011,1810061,1890061,1900251,1910251,1930151,1990083
江苏,电信,1330140,1410002,1491202,1530142,1621252,1730052,1770142,1800012,1810062,1890062,1900252,1910252,1930152,1990085
江苏,电信,1330141,1410003,1491203,1530143,1621253,1730053,1770143,1800013,1810063,1890063,1900253,1910253,1930153,1990140
江苏,电信,1330142,1410004,1491204,1530144,1621254,1730054,1770144,1800014,1810064,1890064,1900254,1910254,1930154,1990141
江苏,电信,1330143,1410005,1491205,1530145,1621255,1730055,1770145,1800015,1810065,1890065,1900255,1910255,1930155,1990142
江苏,电信,1330144,1410006,1491206,1530146,1621256,1730056,1770146,1800016,1810066,1890066,1900256,1910256,1930156,1990143
江苏,电信,1330145,1410007,1491207,1530147,1621257,1730057,1770147,1800017,1810067,1890067,1900257,1910257,1930157,1990144
江苏,电信,1330146,1410008,1491208,1530148,1621258,1730058,1770148,1800018,1810068,1890068,1900258,1910258,1930158,1990145
江苏,电信,1330147,1410009,1491209,1530149,1621259,1730059,1770149,1800019,1810069,1890069,1900259,1910259,1930159,1990146
江苏,电信,1330148,1410010,1491210,1530150,1621440,1730060,1770150,1800140,1810140,1890140,1900510,1910510,1930510,1990147
江苏,电信,1330149,1410011,1491211,1530151,1621441,1730061,1770151,1800141,1810141,1890141,1900511,1910511,1930511,1990148
江苏,电信,1330150,1410012,1491212,1530152,1621442,1730062,1770152,1800142,1810142,1890142,1900512,1910512,1930512,1990149
江苏,电信,1330151,1410013,1491213,1530153,1621443,1730063,1770153,1800143,1810143,1890143,1900513,1910513,1930513,1990150
江苏,电信,1330152,1410014,1491214,1530154,1621445,1730064,1770154,1800144,1810144,1890144,1900514,1910514,1930514,1990151
江苏,电信,1330153,1410015,1491215,1530155,1621446,1730065,1770155,1800145,1810145,1890145,1900515,1910515,1930515,1990152
江苏,电信,1330154,1410016,1491216,1530156,1621447,1730066,1770156,1800146,1810146,1890146,1900516,1910516,1930516,1990153
江苏,电信,1330155,1410017,1491217,1530157,1621448,1730067,1770157,1800147,1810147,1890147,1900517,1910517,1930517,1990154
江苏,电信,1330156,1410018,1491218,1530158,1621449,1730068,1770158,1800148,1810148,1890148,1900518,1910518,1930518,1990155
江苏,电信,1330157,1410019,1491219,1530159,1621500,1730069,1770159,1800149,1810149,1890149,1900519,1910519,1930519,1990156
江苏,电信,1330158,1410020,1491220,1530510,1621501,1730140,1770250,1800150,1810150,1890150,1900520,1910520,1930520,1990157
江苏,电信,1330159,1410021,1491221,1530511,1621502,1730141,1770251,1800151,1810151,1890151,1900521,1910521,1930521,1990158
江苏,电信,1330510,1410022,1491222,1530512,1621503,1730142,1770252,1800152,1810152,1890152,1900522,1910522,1930522,1990159
江苏,电信,1330511,1410023,1491223,1530513,1621504,1730143,1770253,1800153,1810153,1890153,1900523,1910523,1930523,1990510
江苏,电信,1330512,1410024,1491224,1530514,1621505,1730144,1770254,1800154,1810154,1890154,1900524,1910524,1930524,1990511
江苏,电信,1330513,1410025,1491225,1530515,1621506,1730145,1770255,1800155,1810155,1890155,1900525,1910525,1930525,1990512
江苏,电信,1330514,1410026,1491226,1530516,1621507,1730146,1770256,1800156,1810156,1890156,1900526,1910526,1930526,1990513
江苏,电信,1330515,1410027,1491227,1530517,1621508,1730147,1770257,1800157,1810157,1890157,1900527,1910527,1930527,1990514
江苏,电信,1330516,1410028,1491228,1530518,1621509,1730148,1770258,1800158,1810158,1890158,1900528,1910528,1930528,1990515
江苏,电信,1330517,1410029,1491229,1530519,1621510,1730149,1770259,1800159,1810159,1890159,1900529,1910529,1930529,1990516
江苏,电信,1330518,1410030,1491230,1530520,1621511,1730150,1770510,1800510,1810510,1890510,1902500,1910610,1930610,1990517
江苏,电信,1330519,1410031,1491231,1530521,1621512,1730151,1770511,1800511,1810511,1890511,1902501,1910611,1930611,1990518
江苏,电信,1330520,1410032,1491232,1530522,1621513,1730152,1770512,1800512,1810512,1890512,1902502,1910612,1930612,1990519
江苏,电信,1330521,1410033,1491233,1530523,1621514,1730153,1770513,1800513,1810513,1890513,1902503,1910613,1930613,1990520
江苏,电信,1330522,1410034,1491234,1530524,1621515,1730154,1770514,1800514,1810514,1890514,1902504,1910614,1930614,1990521
江苏,电信,1330523,1410035,1491235,1530525,1621516,1730155,1770515,1800515,1810515,1890515,1902505,1910615,1930615,1990522
江苏,电信,1330524,1410036,1491236,1530526,1621517,1730156,1770516,1800516,1810516,1890516,1902506,1910616,1930616,1990523
江苏,电信,1330525,1410037,1491237,1530527,1621518,1730157,1770517,1800517,1810517,1890517,1902507,1910617,1930617,1990524
江苏,电信,1330526,1410038,1491238,1530528,1621519,1730158,1770518,1800518,1810518,1890518,1902508,1910618,1930618,1990525
江苏,电信,1330527,1410039,1491239,1530529,1621520,1730159,1770519,1800519,1810519,1890519,1902509,1910619,1930619,1990526
江苏,电信,1330528,1410040,1491240,1530610,1621521,1730250,1770520,1800520,1810520,1890520,1902510,1910620,1930620,1990527
江苏,电信,1330529,1410041,1491241,1530611,1621522,1730251,1770521,1800521,1810521,1890521,1902511,1910621,1930621,1990528
江苏,电信,1330610,1410042,1491242,1530612,1621523,1730252,1770522,1800522,1810522,1890522,1902512,1910622,1930622,1990529
江苏,电信,1330611,1410043,1491243,1530613,1621524,1730253,1770523,1800523,1810523,1890523,1902513,1910623,1930623,1990610
江苏,电信,1330612,1410044,1491244,1530614,1621525,1730254,1770524,1800524,1810524,1890524,1902514,1910624,1930624,1990611
江苏,电信,1330613,1410045,1491245,1530615,1621526,1730255,1770525,1800525,1810525,1890525,1902515,1910625,1930625,1990612
江苏,电信,1330614,1410046,1491246,1530616,1621527,1730256,1770526,1800526,1810526,1890526,1902516,1910626,1930626,1990613
江苏,电信,1330615,1410047,1491247,1530617,1621528,1730257,1770527,1800527,1810527,1890527,1902517,1910627,1930627,1990614
江苏,电信,1330616,1410048,1491248,1530618,1621529,1730258,1770528,1800528,1810528,1890528,1902518,1910628,1930628,1990615
江苏,电信,1330617,1410049,1491249,1530619,1622500,1730259,1770529,1800529,1810529,1890529,1902519,1910629,1930629,1990616
江苏,电信,1330618,1410300,1491250,1530620,1622501,1730510,1770610,1800610,1810610,1890610,1903370,1915170,1935150,1990617
江苏,电信,1330619,1410301,1491251,1530621,1622502,1730511,1770611,1800611,1810611,1890611,1903371,1915171,1935151,1990618
江苏,电信,1330620,1410302,1491252,1530622,1622503,1730512,1770612,1800612,1810612,1890612,1903372,1915172,1935152,1990619
江苏,电信,1330621,1410303,1491253,1530623,1622504,1730513,1770613,1800613,1810613,1890613,1903373,1915173,1935153,1990620
江苏,电信,1330622,1410304,1491254,1530624,1622505,1730514,1770614,1800614,1810614,1890614,1903374,1915174,1935154,1990621
江苏,电信,1330623,1410305,1491255,1530625,1622506,1730515,1770615,1800615,1810615,1890615,1903375,1915175,1935155,1990622
江苏,电信,1330624,1410306,1491256,1530626,1622507,1730516,1770616,1800616,1810616,1890616,1903376,1915176,1935156,1990623
江苏,电信,1330625,1410307,1491257,1530627,1622508,1730517,1770617,1800617,1810617,1890617,1903377,1915177,1935157,1990624
江苏,电信,1330626,1410308,1491258,1530628,1622509,1730518,1770618,1800618,1810618,1890618,1903378,1915178,1935158,1990625
江苏,电信,1330627,1410309,1491259,1530629,1622510,1730519,1770619,1800619,1810619,1890619,1903379,1915179,1935159,1990626
江苏,电信,1330628,1410310,1491260,1531200,1622511,1730520,1770620,1800620,1810620,1890620,1904000,,1935160,1990627
江苏,电信,1330629,1410311,1491261,1531201,1622512,1730521,1770621,1800621,1810621,1890621,1904001,,1935161,1990628
