省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
江苏,移动,1340000,1350510,1360140,1370140,1380025,1390015,1470010,1483341,1500510,1510510,1520510,1570510,1580510,1590510,1650147,1700140,1720090,1780250,1820500,1830510,1840250,1870510,1880050,1950090,1970118,1980250
江苏,移动,1340001,1350511,1360141,1370141,1380051,1390051,1470011,1484373,1500511,1510511,1520511,1570511,1580511,1590511,1650250,1700141,1720091,1780251,1820501,1830511,1840251,1870511,1880051,1950091,1970119,1980251
江苏,移动,1340002,1350512,1360142,1370142,1380052,1390052,1470012,1484511,1500512,1510512,1520512,1570512,1580512,1590512,1650251,1700142,1720092,1780252,1820502,1830512,1840252,1870512,1880052,1950092,1970120,1980252
江苏,移动,1340003,1350513,1360143,1370143,1380140,1390061,1470013,1484556,1500513,1510513,1520513,1570513,1580513,1590513,1650252,1700143,1720093,1780253,1820503,1830513,1840253,1870513,1880053,1950093,1970121,1980253
江苏,移动,1340004,1350514,1360144,1370144,1380141,1390062,1470014,1484575,1500514,1510514,1520514,1570514,1580514,1590514,1650253,1700144,1720094,1780254,1820504,1830514,1840254,1870514,1880054,1950094,1970122,1980254
江苏,移动,1340005,1350515,1360145,1370145,1380142,1390140,1470015,1484713,1500515,1510515,1520515,1570515,1580515,1590515,1650254,1700145,1720095,1780255,1820505,1830515,1840255,1870515,1880055,1950095,1970123,1980255
江苏,移动,1340006,1350516,1360146,1370146,1380143,1390141,1470016,1488003,1500516,1510516,1520516,1570516,1580516,1590516,1650256,1700146,1720096,1780256,1820506,1830516,1840256,1870516,1880056,1950096,1970124,1980256
江苏,移动,1340007,1350517,1360147,1370147,1380144,1390142,1470017,1488004,1500517,1510517,1520517,1570517,1580517,1590517,1650257,1700147,1720097,1780257,1820507,1830517,1840257,1870517,1880057,1950097,1970125,1980257
江苏,移动,1340008,1350518,1360148,1370148,1380145,1390143,1470018,1488060,1500518,1510518,1520518,1570518,1580518,1590518,1650258,1700148,1720098,1780258,1820508,1830518,1840258,1870518,1880058,1950098,1970126,1980258
江苏,移动,1340009,1350519,1360149,1370149,1380146,1390144,1470019,1488061,1500519,1510519,1520519,1570519,1580519,1590519,1650259,1700149,1720099,1780259,1820509,1830519,1840259,1870519,1880059,1950099,1970127,1980259
江苏,移动,1340120,1350520,1360150,1370150,1380147,1390145,1470510,1488314,1500520,1510520,1520520,1570520,1580520,1590520,1650303,1700150,1720114,1780260,1820510,1830520,1840510,1870520,1880060,1950110,1970128,1980260
江苏,移动,1340121,1350521,1360151,1370151,1380148,1390146,1470511,1488450,1500521,1510521,1520521,1570521,1580521,1590521,1650325,1700151,1720115,1780261,1820511,1830521,1840511,1870521,1880061,1950111,1970129,1980261
江苏,移动,1340122,1350522,1360152,1370152,1380149,1390147,1470512,1488451,1500522,1510522,1520522,1570522,1580522,1590522,1650340,1700152,1720190,1780262,1820512,1830522,1840512,1870522,1880062,1950112,1970220,1980262
江苏,移动,1340123,1350523,1360153,1370153,1380150,1390148,1470513,1488605,1500523,1510523,1520523,1570523,1580523,1590523,1650364,1700153,1720191,1780263,1820513,1830523,1840513,1870523,1880063,1950113,1970221,1980263
