省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
江苏,联通,1300001,1310180,1320510,1450800,1460000,1550130,1560140,1660250,1670025,1710550,1750140,1760140,1850140,1860140,1960250
江苏,联通,1300006,1310181,1320511,1450801,1460001,1550131,1560141,1660251,1670026,1710551,1750141,1760141,1850141,1860141,1960251
江苏,联通,1300025,1310182,1320512,1450802,1460002,1550132,1560142,1660252,1670059,1710552,1750142,1760142,1850142,1860142,1960252
江苏,联通,1300026,1310183,1320513,1450803,1460003,1550133,1560143,1660253,1670075,1710553,1750143,1760143,1850143,1860143,1960253
江苏,联通,1300028,1310184,1320514,1450804,1460004,1550134,1560144,1660254,1670081,1710554,1750144,1760144,1850144,1860144,1960254
江苏,联通,1300029,1310185,1320515,1450805,1460005,1550135,1560145,1660255,1670083,1710555,1750145,1760145,1850145,1860145,1960255
江苏,联通,1300030,1310186,1320516,1450806,1460006,1550136,1560146,1660256,1670084,1710556,1750146,1760146,1850146,1860146,1960256
江苏,联通,1300031,1310187,1320517,1450807,1460007,1550137,1560147,1660257,1670104,1710557,1750147,1760147,1850147,1860147,1960257
江苏,联通,1300032,1310188,1320518,1450808,1460008,1550138,1560148,1660258,1670129,1710558,1750148,1760148,1850148,1860148,1960258
江苏,联通,1300033,1310189,1320519,1450809,1460009,1550139,1560149,1660259,1670134,1710559,1750149,1760149,1850149,1860149,1960259
江苏,联通,1300034,1310190,1320520,1450810,1460010,1550140,1560150,1660510,1670149,1710940,1750150,1760150,1850150,1860150,1960510
江苏,联通,1300035,1310191,1320521,1450811,1460011,1550141,1560151,1660511,1670151,1710941,1750151,1760151,1850151,1860151,1960511
江苏,联通,1300036,1310192,1320522,1450812,1460012,1550142,1560152,1660512,1670152,1710942,1750152,1760152,1850152,1860152,1960512
江苏,联通,1300037,1310193,1320523,1450813,1460013,1550143,1560153,1660513,1670187,1710943,1750153,1760153,1850153,1860153,1960513
江苏,联通,1300038,1310194,1320524,1450814,1460014,1550144,1560154,1660514,1670192,1710944,1750154,1760154,1850154,1860154,1960514
江苏,联通,1300039,1310195,1320525,1450815,1460015,1550145,1560155,1660515,1670193,1710945,1750155,1760155,1850155,1860155,1960515
江苏,联通,1300250,1310196,1320526,1450816,1460016,1550146,1560156,1660516,1670205,1710946,1750156,1760156,1850156,1860156,1960516
江苏,联通,1300251,1310197,1320527,1450817,1460017,1550147,1560157,1660517,1670214,1710947,1750157,1760157,1850157,1860157,1960517
江苏,联通,1300252,1310198,1320528,1450818,1460018,1550148,1560158,1660518,1670236,1710948,1750158,1760158,1850158,1860158,1960518
江苏,联通,1300253,1310199,1320529,1450819,1460019,1550149,1560159,1660519,1670240,1710949,1750159,1760159,1850159,1860159,1960519
江苏,联通,1300254,1311500,1321800,1450820,1460020,1550150,1560510,1660520,1670244,1710950,1750250,1760250,1850250,1860250,1960520
江苏,联通,1300255,1311501,1321801,1450821,1460021,1550151,1560511,1660521,1670250,1710951,1750251,1760251,1850251,1860251,1960521
江苏,联通,1300256,1311502,1321802,1450822,1460022,1550152,1560512,1660522,1670254,1710952,1750252,1760252,1850252,1860252,1960522
江苏,联通,1300257,1311503,1321803,1450823,1460023,1550153,1560513,1660523,1670257,1710953,1750253,1760253,1850253,1860253,1960523
江苏,联通,1300258,1311504,1321804,1450824,1460024,1550154,1560514,1660524,1670273,1710954,1750254,1760254,1850254,1860254,1960524
