省份,运营商,192 号段
江西,广电,1920790
江西,广电,1920791
江西,广电,1920792
江西,广电,1920793
江西,广电,1920794
江西,广电,1920795
江西,广电,1920796
江西,广电,1920797
江西,广电,1920798
江西,广电,1920799
江西,广电,1921120
江西,广电,1921121
江西,广电,1921122
江西,广电,1921123
江西,广电,1921124
江西,广电,1921125
江西,广电,1921126
江西,广电,1921127
江西,广电,1921128
江西,广电,1921129
江西,广电,1921150
江西,广电,1921151
江西,广电,1921152
江西,广电,1921153
江西,广电,1921154
江西,广电,1921155
江西,广电,1921156
江西,广电,1921157
江西,广电,1921158
江西,广电,1921159
江西,广电,1921790
江西,广电,1921791
江西,广电,1921792
江西,广电,1921793
江西,广电,1921794
江西,广电,1921795
江西,广电,1921796
江西,广电,1921797
江西,广电,1921798
江西,广电,1921799
江西,广电,1921970
江西,广电,1921971
江西,广电,1921972
江西,广电,1921973
江西,广电,1921974
江西,广电,1921975
江西,广电,1921976
江西,广电,1921977
江西,广电,1921978
江西,广电,1921979
江西,广电,1921980
江西,广电,1921981
江西,广电,1921982
江西,广电,1921983
江西,广电,1921984
江西,广电,1921985
江西,广电,1921986
江西,广电,1921987
江西,广电,1921988
江西,广电,1921989
江西,广电,1922349
江西,广电,1922382
江西,广电,1922400
江西,广电,1922497
江西,广电,1923700
江西,广电,1923701
江西,广电,1923702
江西,广电,1923703
江西,广电,1923704
江西,广电,1923705
江西,广电,1923706
江西,广电,1923707
江西,广电,1923708
江西,广电,1923709
江西,广电,1924700
江西,广电,1924701
江西,广电,1924702
江西,广电,1924703
江西,广电,1924704
江西,广电,1924705
江西,广电,1924706
江西,广电,1924707
江西,广电,1924708
江西,广电,1924709
江西,广电,1924790
江西,广电,1924791
江西,广电,1924792
江西,广电,1924793
江西,广电,1924794
江西,广电,1924795
江西,广电,1924796
江西,广电,1924797
江西,广电,1924798
江西,广电,1924799
江西,广电,1924800
江西,广电,1924801
江西,广电,1924802
江西,广电,1924803
江西,广电,1924804
江西,广电,1924805
江西,广电,1924806
江西,广电,1924807
江西,广电,1924808
江西,广电,1924809
江西,广电,1925400
江西,广电,1925401
江西,广电,1925402
江西,广电,1925403
江西,广电,1925404
江西,广电,1925405
江西,广电,1925406
江西,广电,1925407
江西,广电,1925408
江西,广电,1925409
江西,广电,1925410
江西,广电,1925411
江西,广电,1925412
江西,广电,1925413
江西,广电,1925414
江西,广电,1925415
江西,广电,1925416
江西,广电,1925417
江西,广电,1925418
江西,广电,1925419
江西,广电,1925700
江西,广电,1925701
江西,广电,1925702
江西,广电,1925703
江西,广电,1925704
江西,广电,1925705
江西,广电,1925706
江西,广电,1925707
江西,广电,1925708
江西,广电,1925709
江西,广电,1925790
江西,广电,1925791
江西,广电,1925792
江西,广电,1925793
江西,广电,1925794
江西,广电,1925795
江西,广电,1925796
江西,广电,1925797
江西,广电,1925798
江西,广电,1925799
江西,广电,1926240
江西,广电,1926241
江西,广电,1926242
江西,广电,1926243
江西,广电,1926244
江西,广电,1926245
江西,广电,1926246
江西,广电,1926247
江西,广电,1926248
江西,广电,1926249
江西,广电,1926700
江西,广电,1926701
江西,广电,1926702
江西,广电,1926703
江西,广电,1926704
江西,广电,1926705
江西,广电,1926706
江西,广电,1926707
江西,广电,1926708
江西,广电,1926709
江西,广电,1926790
江西,广电,1926791
江西,广电,1926792
江西,广电,1926793
江西,广电,1926794
江西,广电,1926795
江西,广电,1926796
江西,广电,1926797
江西,广电,1926798
江西,广电,1926799
江西,广电,1927790
江西,广电,1927791
江西,广电,1927792
江西,广电,1927793
江西,广电,1927794
江西,广电,1927795
江西,广电,1927796
江西,广电,1927797
江西,广电,1927798
江西,广电,1927799
江西,广电,1928120
江西,广电,1928121
江西,广电,1928122
江西,广电,1928123
江西,广电,1928124
江西,广电,1928125
江西,广电,1928126
江西,广电,1928127
江西,广电,1928128
江西,广电,1928129
江西,广电,1928450
江西,广电,1928451
江西,广电,1928452
江西,广电,1928453
江西,广电,1928454
江西,广电,1928455
江西,广电,1928456
江西,广电,1928457
江西,广电,1928458
江西,广电,1928459
江西,广电,1928460
江西,广电,1928461
江西,广电,1928462
江西,广电,1928463
江西,广电,1928464
江西,广电,1928465
江西,广电,1928466
江西,广电,1928467
江西,广电,1928468
江西,广电,1928469
江西,广电,1928790
江西,广电,1928791
江西,广电,1928792
江西,广电,1928793
江西,广电,1928794
江西,广电,1928795
江西,广电,1928796
江西,广电,1928797
江西,广电,1928798
江西,广电,1928799
江西,广电,1929450
江西,广电,1929451
江西,广电,1929452
江西,广电,1929453
江西,广电,1929454
江西,广电,1929455
江西,广电,1929456
江西,广电,1929457
江西,广电,1929458
江西,广电,1929459
江西,广电,1929790
江西,广电,1929791
江西,广电,1929792
江西,广电,1929793
江西,广电,1929794
江西,广电,1929795
江西,广电,1929796
江西,广电,1929797
江西,广电,1929798
江西,广电,1929799
