省份,运营商,133 号段,153 号段,162 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
江西,电信,1330700,1530700,1621790,1730700,1770700,1800020,1810078,1890700,1900700,1910010,1930700,1990700
江西,电信,1330701,1530701,1621791,1730701,1770701,1800021,1810079,1890701,1900701,1910011,1930701,1990701
江西,电信,1330702,1530702,1621792,1730702,1770702,1800022,1810700,1890702,1900702,1910012,1930702,1990702
江西,电信,1330703,1530703,1621793,1730703,1770703,1800023,1810701,1890703,1900703,1910013,1930703,1990703
江西,电信,1330704,1530704,1621794,1730704,1770704,1800024,1810702,1890704,1900704,1910014,1930704,1990704
江西,电信,1330705,1530705,1621795,1730705,1770705,1800025,1810703,1890705,1900705,1910015,1930705,1990705
江西,电信,1330706,1530706,1621796,1730706,1770706,1800026,1810704,1890706,1900706,1910016,1930706,1990706
江西,电信,1330707,1530707,1621797,1730707,1770707,1800027,1810705,1890707,1900707,1910017,1930707,1990707
江西,电信,1330708,1530708,1621798,1730708,1770708,1800028,1810706,1890708,1900708,1910018,1930708,1990708
江西,电信,1330709,1530709,1621799,1730709,1770709,1800029,1810707,1890709,1900709,1910019,1930709,1990709
江西,电信,1330790,1530790,1622790,1730790,1770790,1800070,1810708,1890790,1900790,1910020,1930790,1990790
江西,电信,1330791,1530791,1622791,1730791,1770791,1800071,1810709,1890791,1900791,1910021,1930791,1990791
江西,电信,1330792,1530792,1622792,1730792,1770792,1800072,1810790,1890792,1900792,1910022,1930792,1990792
江西,电信,1330793,1530793,1622793,1730793,1770793,1800073,1810791,1890793,1900793,1910023,1930793,1990793
江西,电信,1330794,1530794,1622794,1730794,1770794,1800074,1810792,1890794,1900794,1910024,1930794,1990794
江西,电信,1330795,1530795,1622795,1730795,1770795,1800075,1810793,1890795,1900795,1910025,1930795,1990795
江西,电信,1330796,1530796,1622796,1730796,1770796,1800076,1810794,1890796,1900796,1910026,1930796,1990796
江西,电信,1330797,1530797,1622797,1730797,1770797,1800077,1810795,1890797,1900797,1910027,1930797,1990797
江西,电信,1330798,1530798,1622798,1730798,1770798,1800078,1810796,1890798,1900798,1910028,1930798,1990798
江西,电信,1330799,1530799,1622799,1730799,1770799,1800079,1810797,1890799,1900799,1910029,1930799,1990799
江西,电信,1331700,1533775,1626950,1734660,1774660,1800700,1810798,1894220,1904450,1910150,1931350,1991440
江西,电信,1331701,1534790,1626951,1734661,1774661,1800701,1810799,1894221,1904451,1910151,1931351,1991441
江西,电信,1331702,1534791,1627901,1734662,1774662,1800702,1814660,1894222,1904452,1910152,1931352,1991442
江西,电信,1331703,1534792,1627902,1734663,1774663,1800703,1814661,1894223,1904453,1910153,1931353,1991443
江西,电信,1331704,1534793,1627903,1734664,1774664,1800704,1814662,1894224,1904454,1910154,1931354,1991444
江西,电信,1331705,1534794,1627904,1734665,1774665,1800705,1814663,1894225,1904455,1910155,1931355,1991445
江西,电信,1331706,1534795,1627905,1734666,1774666,1800706,1814664,1894226,1904456,1910156,1931356,1991446
江西,电信,1331707,1534796,1627906,1734667,1774667,1800707,1814665,1894227,1904457,1910157,1931357,1991447
江西,电信,1331708,1534797,1627907,1734668,1774668,1800708,1814666,1894228,1904458,1910158,1931358,1991448
江西,电信,1331709,1534798,1627908,1734669,1774669,1800709,1814667,1894229,1904459,1910159,1931359,1991449
江西,电信,1331790,1534799,1627909,1734670,1777000,1800790,1814668,1894230,1904460,1910490,1931460,1991450
江西,电信,1331791,1535000,1627910,1734671,1777001,1800791,1814669,1894231,1904461,1910491,1931461,1991451
江西,电信,1331792,1535001,1627911,1734672,1777002,1800792,1814670,1894232,1904462,1910492,1931462,1991452
江西,电信,1331793,1535002,1627912,1734673,1777003,1800793,1814671,1894233,1904463,1910493,1931463,1991453
江西,电信,1331794,1535003,1627913,1734674,1777004,1800794,1814672,1894234,1904464,1910494,1931464,1991454
江西,电信,1331795,1535004,1627914,1734675,1777005,1800795,1814673,1894235,1904465,1910495,1931465,1991455
江西,电信,1331796,1535005,1627915,1734676,1777006,1800796,1814674,1894236,1904466,1910496,1931466,1991456
江西,电信,1331797,1535006,1627916,1734677,1777007,1800797,1814675,1894237,1904467,1910497,1931467,1991457
江西,电信,1331798,1535007,1627917,1734678,1777008,1800798,1814676,1894238,1904468,1910498,1931468,1991458
江西,电信,1331799,1535008,1627918,1734679,1777009,1800799,1814677,1894239,1904469,1910499,1931469,1991459
江西,电信,1331930,1535009,1627919,1737000,1777010,1804660,1814678,1897000,1904770,1910700,1931850,1991460
江西,电信,1331931,1535010,1627920,1737001,1777011,1804661,1814679,1897001,1904771,1910701,1931851,1991461
江西,电信,1331932,1535011,1627921,1737002,1777012,1804662,1816070,1897002,1904772,1910702,1931852,1991462
江西,电信,1331933,1535012,1627923,1737003,1777013,1804663,1816071,1897003,1904773,1910703,1931853,1991463
江西,电信,1331934,1535013,1627924,1737004,1777014,1804664,1816072,1897004,1904774,1910704,1931854,1991464
江西,电信,1331935,1535014,1627925,1737005,1777015,1804665,1816073,1897005,1904775,1910705,1931855,1991465
江西,电信,1331936,1535015,1627926,1737006,1777016,1804666,1816074,1897006,1904776,1910706,1931856,1991466
江西,电信,1331937,1535016,1627927,1737007,1777017,1804667,1816075,1897007,1904777,1910707,1931857,1991467
江西,电信,1331938,1535017,1627928,1737008,1777018,1804668,1816076,1897008,1904778,1910708,1931858,1991468
江西,电信,1331939,1535018,1627929,1737009,1777019,1804669,1816077,1897009,1904779,1910709,1931859,1991469
江西,电信,1331940,1535019,1627990,1737010,1777020,1804670,1816078,1897010,1904780,1910790,1931860,1991470
江西,电信,1331941,1535020,1627991,1737011,1777021,1804671,1816079,1897011,1904781,1910791,1931861,1991471
江西,电信,1331942,1535021,,1737012,1777022,1804672,1816210,1897012,1904782,1910792,1931862,1991472
