省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
江西,移动,1340700,1350700,1360700,1370700,1380065,1390070,1470700,1480595,1500700,1510700,1520700,1570700,1580700,1590700,1650582,1700702,1720126,1780700,1820700,1830700,1840700,1870250,1880700,1950020,1970790,1980700
江西,移动,1340701,1350701,1360701,1370701,1380067,1390072,1470701,1480596,1500701,1510701,1520701,1570701,1580701,1590701,1650790,1700703,1720127,1780701,1820701,1830701,1840701,1870251,1880701,1950021,1970791,1980701
江西,移动,1340702,1350702,1360702,1370702,1380070,1390079,1470702,1480597,1500702,1510702,1520702,1570702,1580702,1590702,1650791,1700704,1720700,1780702,1820702,1830702,1840702,1870252,1880702,1950022,1970792,1980702
江西,移动,1340703,1350703,1360703,1370703,1380079,1390700,1470703,1480598,1500703,1510703,1520703,1570703,1580703,1590703,1650792,1700705,1720701,1780703,1820703,1830703,1840703,1870253,1880703,1950023,1970793,1980703
江西,移动,1340704,1350704,1360704,1370704,1380350,1390701,1470704,1480599,1500704,1510704,1520704,1570704,1580704,1590704,1650793,1700706,1720702,1780704,1820704,1830704,1840704,1870254,1880704,1950024,1970794,1980704
江西,移动,1340705,1350705,1360705,1370705,1380351,1390702,1470705,1480930,1500705,1510705,1520705,1570705,1580705,1590705,1650794,1700707,1720703,1780705,1820705,1830705,1840705,1870255,1880705,1950025,1970795,1980705
江西,移动,1340706,1350706,1360706,1370706,1380352,1390703,1470706,1480931,1500706,1510706,1520706,1570706,1580706,1590706,1650795,1700708,1720704,1780706,1820706,1830706,1840706,1870256,1880706,1950026,1970796,1980706
江西,移动,1340707,1350707,1360707,1370707,1380353,1390704,1470707,1480932,1500707,1510707,1520707,1570707,1580707,1590707,1650796,1700709,1720705,1780707,1820707,1830707,1840707,1870257,1880707,1950027,1970797,1980707
江西,移动,1340708,1350708,1360708,1370708,1380354,1390705,1470708,1480933,1500708,1510708,1520708,1570708,1580708,1590708,1650797,1700790,1720706,1780708,1820708,1830708,1840708,1870258,1880708,1950028,1970798,1980708
江西,移动,1340709,1350709,1360709,1370709,1380355,1390706,1470709,1480934,1500709,1510709,1520709,1570709,1580709,1590709,1650798,1700791,1720707,1780709,1820709,1830709,1840709,1870259,1880709,1950029,1970799,1980709
江西,移动,1340790,1350790,1360790,1370790,1380356,1390707,1470790,1480935,1500790,1510790,1520790,1570790,1580790,1590790,1650836,1700792,1720708,1780790,1820790,1830790,1840780,1870260,1880790,1950700,1971070,1980790
