省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
江西,联通,1300620,1311780,1320700,1452650,1550700,1560700,1660700,1670194,1711340,1750700,1760700,1850700,1860700,1960700
江西,联通,1300621,1311781,1320701,1452651,1550701,1560701,1660701,1670245,1711341,1750701,1760701,1850701,1860701,1960701
江西,联通,1300622,1311782,1320702,1452652,1550702,1560702,1660702,1670264,1711342,1750702,1760702,1850702,1860702,1960702
江西,联通,1300623,1311783,1320703,1452653,1550703,1560703,1660703,1670634,1711343,1750703,1760703,1850703,1860703,1960703
江西,联通,1300624,1311784,1320704,1452654,1550704,1560704,1660704,1670701,1711344,1750704,1760704,1850704,1860704,1960704
江西,联通,1300625,1311785,1320705,1452655,1550705,1560705,1660705,1670790,1711345,1750705,1760705,1850705,1860705,1960705
江西,联通,1300626,1311786,1320706,1452656,1550706,1560706,1660706,1670791,1711346,1750706,1760706,1850706,1860706,1960706
江西,联通,1300627,1311787,1320707,1452657,1550707,1560707,1660707,1670792,1711347,1750707,1760707,1850707,1860707,1960707
江西,联通,1300628,1311788,1320708,1452658,1550708,1560708,1660708,1670793,1711348,1750708,1760708,1850708,1860708,1960708
江西,联通,1300629,1311789,1320709,1452659,1550709,1560709,1660709,1670794,1711349,1750709,1760709,1850709,1860709,1960709
江西,联通,1300720,1311790,1320790,1452660,1550790,1560790,1660780,1670795,1713290,1750790,1760790,1850790,1860790,1960790
江西,联通,1300721,1311791,1320791,1452661,1550791,1560791,1660781,1670796,1713291,1750791,1760791,1850791,1860791,1960791
江西,联通,1300722,1311792,1320792,1452662,1550792,1560792,1660782,1670797,1713292,1750792,1760792,1850792,1860792,1960792
江西,联通,1300723,1311793,1320793,1452663,1550793,1560793,1660783,1670798,1713293,1750793,1760793,1850793,1860793,1960793
江西,联通,1300724,1311794,1320794,1452664,1550794,1560794,1660784,1671150,1713294,1750794,1760794,1850794,1860794,1960794
江西,联通,1300725,1311795,1320795,1452665,1550795,1560795,1660785,1671151,1713295,1750795,1760795,1850795,1860795,1960795
江西,联通,1300726,1311796,1320796,1452666,1550796,1560796,1660786,1671152,1713296,1750796,1760796,1850796,1860796,1960796
江西,联通,1300727,1311797,1320797,1452667,1550797,1560797,1660787,1671153,1713297,1750797,1760797,1850797,1860797,1960797
江西,联通,1300728,1311798,1320798,1452668,1550798,1560798,1660788,1671154,1713298,1750798,1760798,1850798,1860798,1960798
江西,联通,1300729,1311799,1320799,1452669,1550799,1560799,1660789,1671155,1713299,1750799,1760799,1850799,1860799,1960799
