省份,运营商,192 号段
河北,广电,1920300
河北,广电,1920301
河北,广电,1920302
河北,广电,1920303
河北,广电,1920304
河北,广电,1920305
河北,广电,1920306
河北,广电,1920307
河北,广电,1920308
河北,广电,1920309
河北,广电,1920310
河北,广电,1920311
河北,广电,1920312
河北,广电,1920313
河北,广电,1920314
河北,广电,1920315
河北,广电,1920316
河北,广电,1920317
河北,广电,1920318
河北,广电,1920319
河北,广电,1920320
河北,广电,1920321
河北,广电,1920322
河北,广电,1920323
河北,广电,1920324
河北,广电,1920325
河北,广电,1920326
河北,广电,1920327
河北,广电,1920328
河北,广电,1920329
河北,广电,1920330
河北,广电,1920331
河北,广电,1920332
河北,广电,1920333
河北,广电,1920334
河北,广电,1920335
河北,广电,1920336
河北,广电,1920337
河北,广电,1920338
河北,广电,1920339
河北,广电,1921140
河北,广电,1921141
河北,广电,1921142
河北,广电,1921143
河北,广电,1921144
河北,广电,1921145
河北,广电,1921146
河北,广电,1921147
河北,广电,1921148
河北,广电,1921149
河北,广电,1921300
河北,广电,1921301
河北,广电,1921302
河北,广电,1921303
河北,广电,1921304
河北,广电,1921305
河北,广电,1921306
河北,广电,1921307
河北,广电,1921308
河北,广电,1921309
河北,广电,1921310
河北,广电,1921311
河北,广电,1921312
河北,广电,1921313
河北,广电,1921314
河北,广电,1921315
河北,广电,1921316
河北,广电,1921317
河北,广电,1921318
河北,广电,1921319
河北,广电,1921320
河北,广电,1921321
河北,广电,1921322
河北,广电,1921323
河北,广电,1921324
河北,广电,1921325
河北,广电,1921326
河北,广电,1921327
河北,广电,1921328
河北,广电,1921329
河北,广电,1921330
河北,广电,1921331
河北,广电,1921332
河北,广电,1921333
河北,广电,1921334
河北,广电,1921335
河北,广电,1921336
河北,广电,1921337
河北,广电,1921338
河北,广电,1921339
河北,广电,1922030
河北,广电,1922031
河北,广电,1922032
河北,广电,1922033
河北,广电,1922034
河北,广电,1922035
河北,广电,1922036
河北,广电,1922037
河北,广电,1922038
河北,广电,1922039
河北,广电,1922080
河北,广电,1922081
河北,广电,1922082
河北,广电,1922083
河北,广电,1922084
河北,广电,1922085
河北,广电,1922086
河北,广电,1922087
河北,广电,1922088
河北,广电,1922089
河北,广电,1922100
河北,广电,1922101
河北,广电,1922102
河北,广电,1922103
河北,广电,1922104
河北,广电,1922105
河北,广电,1922106
河北,广电,1922107
河北,广电,1922108
河北,广电,1922109
河北,广电,1922130
河北,广电,1922131
河北,广电,1922132
河北,广电,1922133
河北,广电,1922134
河北,广电,1922135
河北,广电,1922136
河北,广电,1922137
河北,广电,1922138
